human gene	mouse gene	Proportion of common genomic anchors	Proportion of common protein-coding genes
ENSG00000225083	ENSMUSG00000110311	0.416201117	0.575757576
ENSG00000225870	ENSMUSG00000031510	0.525217391	0.666666667
ENSG00000225870	ENSMUSG00000096957	0.46969697	0.428571429
ENSG00000225870	ENSMUSG00000097421	0.250403877	0.107142857
ENSG00000225870	ENSMUSG00000109623	0.512110727	0.625
ENSG00000225870	ENSMUSG00000109810	0.498269896	0.666666667
ENSG00000225870	ENSMUSG00000109986	0.516521739	0.625
ENSG00000226903	ENSMUSG00000047935	0.4171875	0.25
ENSG00000226903	ENSMUSG00000101899	0.489966555	0.32
ENSG00000226903	ENSMUSG00000109995	0.375432526	0.470588235
ENSG00000226903	ENSMUSG00000110160	0.439418417	0.296296296
ENSG00000226921	ENSMUSG00000110278	0.354362416	0.677419355
ENSG00000227248	ENSMUSG00000095279	0.605214153	0.714285714
ENSG00000227248	ENSMUSG00000108918	0.69259962	0.857142857
ENSG00000227248	ENSMUSG00000109040	0.420289855	0.666666667
ENSG00000227248	ENSMUSG00000109054	0.485928705	0.5
ENSG00000227248	ENSMUSG00000109095	0.668582375	0.666666667
ENSG00000227248	ENSMUSG00000109139	0.658203125	0.666666667
ENSG00000227248	ENSMUSG00000109162	0.681904762	0.75
ENSG00000227248	ENSMUSG00000109286	0.540041068	0.666666667
ENSG00000227248	ENSMUSG00000109359	0.647749511	0.666666667
ENSG00000227248	ENSMUSG00000109385	0.562118126	0.666666667
ENSG00000227248	ENSMUSG00000109418	0.647173489	0.666666667
ENSG00000227248	ENSMUSG00000109529	0.649122807	0.666666667
ENSG00000227352	ENSMUSG00000086500	0.493848858	0.625
ENSG00000229152	ENSMUSG00000086500	0.456942004	0.5
ENSG00000229152	ENSMUSG00000110245	0.512287335	0.4
ENSG00000229520	ENSMUSG00000031510	0.269565217	0.266666667
ENSG00000229520	ENSMUSG00000074469	0.366508689	0.230769231
ENSG00000229520	ENSMUSG00000097421	0.445880452	0.285714286
ENSG00000229520	ENSMUSG00000101899	0.483277592	0.28
ENSG00000229520	ENSMUSG00000109623	0.264705882	0.25
ENSG00000229520	ENSMUSG00000109921	0.488038278	0.275862069
ENSG00000229520	ENSMUSG00000109986	0.267826087	0.25
ENSG00000229520	ENSMUSG00000110160	0.500807754	0.259259259
ENSG00000229520	ENSMUSG00000110412	0.494156928	0.28
ENSG00000229792	ENSMUSG00000096938	0.485815603	0.230769231
ENSG00000229792	ENSMUSG00000108847	0.476021314	0.25
ENSG00000229792	ENSMUSG00000108997	0.614159292	0.25
ENSG00000229792	ENSMUSG00000109067	0.610619469	0.266666667
ENSG00000229792	ENSMUSG00000109089	0.548330404	0.266666667
ENSG00000229792	ENSMUSG00000109151	0.440707965	0.25
ENSG00000229792	ENSMUSG00000109271	0.607773852	0.25
ENSG00000229792	ENSMUSG00000109432	0.587412587	0.266666667
ENSG00000229792	ENSMUSG00000109503	0.583916084	0.266666667
ENSG00000229938	ENSMUSG00000038917	0.413005272	0.333333333
ENSG00000229938	ENSMUSG00000108961	0.439790576	0.3125
ENSG00000229938	ENSMUSG00000108969	0.433333333	0.333333333
ENSG00000229938	ENSMUSG00000109084	0.394316163	0.333333333
ENSG00000229938	ENSMUSG00000109258	0.534391534	0.333333333
ENSG00000229938	ENSMUSG00000109291	0.428822496	0.333333333
ENSG00000229938	ENSMUSG00000109473	0.433043478	0.333333333
ENSG00000229938	ENSMUSG00000109508	0.370766488	0.333333333
ENSG00000231428	ENSMUSG00000085573	0.55141844	0.75
ENSG00000231428	ENSMUSG00000096938	0.517730496	0.692307692
ENSG00000231428	ENSMUSG00000108847	0.543516874	0.75
ENSG00000231428	ENSMUSG00000109089	0.462214411	0.533333333
ENSG00000231428	ENSMUSG00000109151	0.566371681	0.75
ENSG00000231882	ENSMUSG00000086770	0.494590417	0.612903226
ENSG00000232487	ENSMUSG00000110278	0.259060403	0.612903226
ENSG00000232684	ENSMUSG00000074469	0.503949447	0.692307692
ENSG00000232684	ENSMUSG00000079146	0.480952381	0.620689655
ENSG00000232684	ENSMUSG00000084780	0.500782473	0.655172414
ENSG00000232684	ENSMUSG00000085465	0.484177215	0.642857143
ENSG00000232684	ENSMUSG00000086770	0.452859351	0.580645161
ENSG00000232814	ENSMUSG00000084783	0.541899441	0.733333333
ENSG00000232814	ENSMUSG00000109358	0.476618705	0.714285714
ENSG00000232814	ENSMUSG00000110245	0.570888469	0.666666667
ENSG00000233613	ENSMUSG00000091443	0.425499232	0.53125
ENSG00000233613	ENSMUSG00000099338	0.47242921	0.636363636
ENSG00000233613	ENSMUSG00000110311	0.425977654	0.606060606
ENSG00000233613	ENSMUSG00000110412	0.313856427	0.52
ENSG00000233644	ENSMUSG00000031510	0.51826087	0.666666667
ENSG00000233644	ENSMUSG00000086500	0.490333919	0.625
ENSG00000233644	ENSMUSG00000096957	0.462121212	0.428571429
ENSG00000233644	ENSMUSG00000097421	0.248788368	0.107142857
ENSG00000233644	ENSMUSG00000109623	0.505190311	0.625
ENSG00000233644	ENSMUSG00000109772	0.466321244	0.529411765
ENSG00000233644	ENSMUSG00000109810	0.491349481	0.666666667
ENSG00000233644	ENSMUSG00000109986	0.509565217	0.625
ENSG00000233695	ENSMUSG00000110311	0.346368715	0.575757576
ENSG00000234854	ENSMUSG00000085573	0.519503546	0.583333333
ENSG00000234854	ENSMUSG00000096938	0.60106383	0.538461538
ENSG00000234854	ENSMUSG00000108847	0.591474245	0.583333333
ENSG00000234854	ENSMUSG00000108997	0.509734513	0.5
ENSG00000234854	ENSMUSG00000109067	0.50619469	0.533333333
ENSG00000234854	ENSMUSG00000109089	0.583479789	0.533333333
ENSG00000234854	ENSMUSG00000109151	0.56460177	0.583333333
ENSG00000234854	ENSMUSG00000109271	0.512367491	0.5
ENSG00000234854	ENSMUSG00000109432	0.484265734	0.533333333
ENSG00000234854	ENSMUSG00000109503	0.480769231	0.533333333
ENSG00000235280	ENSMUSG00000079146	0.53015873	0.724137931
ENSG00000235280	ENSMUSG00000084780	0.496087637	0.689655172
ENSG00000235280	ENSMUSG00000085465	0.522151899	0.714285714
ENSG00000235280	ENSMUSG00000086770	0.527047913	0.677419355
ENSG00000235875	ENSMUSG00000086500	0.481546573	0.5625
ENSG00000235875	ENSMUSG00000110245	0.461247637	0.4
ENSG00000236053	ENSMUSG00000096938	0.446808511	0.230769231
ENSG00000236053	ENSMUSG00000108847	0.426287744	0.25
ENSG00000236053	ENSMUSG00000108997	0.589380531	0.25
ENSG00000236053	ENSMUSG00000109067	0.594690265	0.266666667
ENSG00000236053	ENSMUSG00000109089	0.509666081	0.266666667
ENSG00000236053	ENSMUSG00000109271	0.574204947	0.25
ENSG00000236053	ENSMUSG00000109432	0.601398601	0.266666667
ENSG00000236053	ENSMUSG00000109503	0.59965035	0.266666667
ENSG00000236242	ENSMUSG00000038917	0.458699473	0.4
ENSG00000236242	ENSMUSG00000108961	0.483420593	0.375
ENSG00000236242	ENSMUSG00000108969	0.477192982	0.4
ENSG00000236242	ENSMUSG00000109084	0.452930728	0.4
ENSG00000236242	ENSMUSG00000109258	0.578483245	0.4
ENSG00000236242	ENSMUSG00000109291	0.472759227	0.4
ENSG00000236242	ENSMUSG00000109473	0.476521739	0.4
ENSG00000236242	ENSMUSG00000109508	0.429590018	0.4
ENSG00000255874	ENSMUSG00000086500	0.453427065	0.4375
ENSG00000255874	ENSMUSG00000110245	0.52173913	0.4
ENSG00000259831	ENSMUSG00000086500	0.451669596	0.4375
ENSG00000259831	ENSMUSG00000110245	0.519848771	0.4
ENSG00000260102	ENSMUSG00000047935	0.4734375	0.357142857
ENSG00000260102	ENSMUSG00000101899	0.471571906	0.4
ENSG00000260102	ENSMUSG00000109582	0.506289308	0.392857143
ENSG00000260102	ENSMUSG00000110160	0.489499192	0.37037037
ENSG00000260343	ENSMUSG00000047935	0.465625	0.392857143
ENSG00000260343	ENSMUSG00000054910	0.443573668	0.384615385
ENSG00000260343	ENSMUSG00000086500	0.267135325	0.1875
ENSG00000260343	ENSMUSG00000101899	0.463210702	0.44
ENSG00000260343	ENSMUSG00000109582	0.504716981	0.428571429
ENSG00000260343	ENSMUSG00000110160	0.481421648	0.407407407
ENSG00000260385	ENSMUSG00000047935	0.4796875	0.214285714
ENSG00000260385	ENSMUSG00000101899	0.481605351	0.24
ENSG00000260385	ENSMUSG00000109582	0.45754717	0.25
ENSG00000260385	ENSMUSG00000110160	0.499192246	0.222222222
ENSG00000260910	ENSMUSG00000110278	0.348993289	0.64516129
ENSG00000267868	ENSMUSG00000079146	0.528571429	0.724137931
ENSG00000267868	ENSMUSG00000084780	0.494522692	0.689655172
ENSG00000267868	ENSMUSG00000085465	0.52056962	0.714285714
ENSG00000267868	ENSMUSG00000086770	0.525502318	0.677419355
ENSG00000269356	ENSMUSG00000054910	0.445141066	0.769230769
ENSG00000269356	ENSMUSG00000091443	0.476190476	0.5625
ENSG00000269356	ENSMUSG00000109582	0.323899371	0.642857143
ENSG00000269376	ENSMUSG00000054910	0.445141066	0.769230769
ENSG00000269376	ENSMUSG00000091443	0.477726575	0.5625
ENSG00000269376	ENSMUSG00000109582	0.323899371	0.642857143
ENSG00000274331	ENSMUSG00000038917	0.507908612	0.533333333
ENSG00000274331	ENSMUSG00000084783	0.467411546	0.533333333
ENSG00000274331	ENSMUSG00000108969	0.484210526	0.533333333
ENSG00000274331	ENSMUSG00000109029	0.568457539	0.75
ENSG00000274331	ENSMUSG00000109084	0.522202487	0.533333333
ENSG00000274331	ENSMUSG00000109291	0.493848858	0.533333333
ENSG00000274331	ENSMUSG00000109358	0.508992806	0.642857143
ENSG00000274331	ENSMUSG00000109473	0.47826087	0.533333333
ENSG00000274331	ENSMUSG00000109508	0.536541889	0.533333333
ENSG00000274331	ENSMUSG00000110245	0.43100189	0.466666667
ENSG00000274718	ENSMUSG00000109183	0.661654135	0.833333333
ENSG00000274718	ENSMUSG00000109545	0.463099631	0.428571429
ENSG00000274718	ENSMUSG00000109551	0.561122244	0.555555556
ENSG00000274922	ENSMUSG00000074469	0.510268562	0.692307692
ENSG00000274922	ENSMUSG00000079146	0.46984127	0.586206897
ENSG00000274922	ENSMUSG00000084780	0.489827856	0.620689655
ENSG00000274922	ENSMUSG00000085465	0.473101266	0.607142857
ENSG00000274922	ENSMUSG00000086770	0.442040185	0.548387097
ENSG00000275216	ENSMUSG00000085573	0.276595745	0.166666667
ENSG00000275216	ENSMUSG00000096938	0.437943262	0.230769231
ENSG00000275216	ENSMUSG00000108847	0.39964476	0.166666667
ENSG00000275216	ENSMUSG00000108997	0.580530973	0.25
ENSG00000275216	ENSMUSG00000109067	0.585840708	0.266666667
ENSG00000275216	ENSMUSG00000109089	0.500878735	0.266666667
ENSG00000275216	ENSMUSG00000109271	0.565371025	0.25
ENSG00000275216	ENSMUSG00000109432	0.592657343	0.266666667
ENSG00000275216	ENSMUSG00000109503	0.596153846	0.266666667
ENSG00000275248	ENSMUSG00000085573	0.523049645	0.666666667
ENSG00000275248	ENSMUSG00000096938	0.60106383	0.615384615
ENSG00000275248	ENSMUSG00000108847	0.595026643	0.666666667
ENSG00000275248	ENSMUSG00000108997	0.483185841	0.4375
ENSG00000275248	ENSMUSG00000109067	0.479646018	0.466666667
ENSG00000275248	ENSMUSG00000109089	0.55711775	0.466666667
ENSG00000275248	ENSMUSG00000109151	0.568141593	0.666666667
ENSG00000275248	ENSMUSG00000109271	0.485865724	0.4375
ENSG00000275248	ENSMUSG00000109432	0.458041958	0.466666667
ENSG00000275248	ENSMUSG00000109503	0.454545455	0.466666667
ENSG00000275611	ENSMUSG00000085573	0.441489362	0.75
ENSG00000275611	ENSMUSG00000096957	0.524621212	0.642857143
ENSG00000275741	ENSMUSG00000085573	0.523049645	0.666666667
ENSG00000275741	ENSMUSG00000096938	0.604609929	0.615384615
ENSG00000275741	ENSMUSG00000108847	0.595026643	0.666666667
ENSG00000275741	ENSMUSG00000108997	0.484955752	0.4375
ENSG00000275741	ENSMUSG00000109067	0.481415929	0.466666667
ENSG00000275741	ENSMUSG00000109089	0.55887522	0.466666667
ENSG00000275741	ENSMUSG00000109151	0.568141593	0.666666667
ENSG00000275741	ENSMUSG00000109271	0.487632509	0.4375
ENSG00000275741	ENSMUSG00000109432	0.45979021	0.466666667
ENSG00000275741	ENSMUSG00000109503	0.456293706	0.466666667
ENSG00000275830	ENSMUSG00000038917	0.495606327	0.533333333
ENSG00000275830	ENSMUSG00000084783	0.472998138	0.533333333
ENSG00000275830	ENSMUSG00000109029	0.573656846	0.75
ENSG00000275830	ENSMUSG00000109084	0.509769094	0.533333333
ENSG00000275830	ENSMUSG00000109358	0.514388489	0.642857143
ENSG00000275830	ENSMUSG00000109508	0.524064171	0.533333333
ENSG00000275830	ENSMUSG00000110245	0.438563327	0.466666667
ENSG00000275880	ENSMUSG00000084783	0.52141527	0.6
ENSG00000275880	ENSMUSG00000109358	0.456834532	0.571428571
ENSG00000275880	ENSMUSG00000110245	0.580340265	0.666666667
ENSG00000276248	ENSMUSG00000091443	0.391705069	0.5
ENSG00000276248	ENSMUSG00000099338	0.439642325	0.606060606
ENSG00000276248	ENSMUSG00000110311	0.425977654	0.636363636
ENSG00000276248	ENSMUSG00000110412	0.313856427	0.56
ENSG00000276269	ENSMUSG00000038917	0.486818981	0.533333333
ENSG00000276269	ENSMUSG00000084783	0.469273743	0.533333333
ENSG00000276269	ENSMUSG00000109029	0.570190641	0.75
ENSG00000276269	ENSMUSG00000109084	0.500888099	0.533333333
ENSG00000276269	ENSMUSG00000109358	0.510791367	0.642857143
ENSG00000276269	ENSMUSG00000109508	0.515151515	0.533333333
ENSG00000276269	ENSMUSG00000110245	0.434782609	0.466666667
ENSG00000276434	ENSMUSG00000047935	0.28125	0.428571429
ENSG00000276434	ENSMUSG00000107531	0.479136691	0.647058824
ENSG00000276434	ENSMUSG00000107742	0.471181556	0.666666667
ENSG00000276434	ENSMUSG00000110160	0.290791599	0.444444444
ENSG00000276434	ENSMUSG00000110278	0.330201342	0.483870968
ENSG00000276740	ENSMUSG00000108918	0.525616698	0.625
ENSG00000276740	ENSMUSG00000109040	0.65010352	0.666666667
ENSG00000276740	ENSMUSG00000109095	0.586206897	0.666666667
ENSG00000276740	ENSMUSG00000109124	0.629237288	0.625
ENSG00000276740	ENSMUSG00000109139	0.623046875	0.666666667
ENSG00000276740	ENSMUSG00000109162	0.552380952	0.625
ENSG00000276740	ENSMUSG00000109286	0.706365503	0.666666667
ENSG00000276740	ENSMUSG00000109359	0.645792564	0.666666667
ENSG00000276740	ENSMUSG00000109385	0.712830957	0.666666667
ENSG00000276740	ENSMUSG00000109418	0.641325536	0.666666667
ENSG00000276740	ENSMUSG00000109529	0.637426901	0.666666667
ENSG00000276916	ENSMUSG00000091443	0.399385561	0.5
ENSG00000276916	ENSMUSG00000099338	0.44709389	0.606060606
ENSG00000276916	ENSMUSG00000110311	0.430167598	0.636363636
ENSG00000276916	ENSMUSG00000110412	0.318864775	0.56
ENSG00000277159	ENSMUSG00000074469	0.516587678	0.615384615
ENSG00000277159	ENSMUSG00000079146	0.455555556	0.517241379
ENSG00000277159	ENSMUSG00000084780	0.475743349	0.551724138
ENSG00000277159	ENSMUSG00000085465	0.458860759	0.535714286
ENSG00000277159	ENSMUSG00000086770	0.42812983	0.483870968
ENSG00000277246	ENSMUSG00000109183	0.573308271	0.428571429
ENSG00000277246	ENSMUSG00000109545	0.614391144	0.714285714
ENSG00000277545	ENSMUSG00000047935	0.3421875	0.607142857
ENSG00000277545	ENSMUSG00000054910	0.487460815	0.730769231
ENSG00000277545	ENSMUSG00000109582	0.40408805	0.642857143
ENSG00000277545	ENSMUSG00000109772	0.2417962	0.2
ENSG00000277767	ENSMUSG00000031510	0.514782609	0.6
ENSG00000277767	ENSMUSG00000096957	0.503787879	0.357142857
ENSG00000277767	ENSMUSG00000109623	0.524221453	0.5625
ENSG00000277767	ENSMUSG00000109810	0.534602076	0.6
ENSG00000277767	ENSMUSG00000109986	0.523478261	0.5625
ENSG00000277863	ENSMUSG00000109040	0.635610766	0.222222222
ENSG00000277863	ENSMUSG00000109124	0.701271186	0.25
ENSG00000277863	ENSMUSG00000109286	0.513347023	0.222222222
ENSG00000277863	ENSMUSG00000109385	0.482688391	0.222222222
ENSG00000278698	ENSMUSG00000109040	0.519668737	0.222222222
ENSG00000278698	ENSMUSG00000109124	0.582627119	0.25
ENSG00000279157	ENSMUSG00000109040	0.65010352	0.222222222
ENSG00000279157	ENSMUSG00000109124	0.716101695	0.25
ENSG00000279157	ENSMUSG00000109286	0.527720739	0.222222222
ENSG00000279157	ENSMUSG00000109385	0.49694501	0.222222222
ENSG00000279237	ENSMUSG00000084783	0.515828678	0.6
ENSG00000279237	ENSMUSG00000109029	0.459272097	0.75
ENSG00000279237	ENSMUSG00000109358	0.555755396	0.714285714
ENSG00000279237	ENSMUSG00000110245	0.482041588	0.533333333
ENSG00000279770	ENSMUSG00000047935	0.296875	0.571428571
ENSG00000279770	ENSMUSG00000107742	0.367435159	0.515151515
ENSG00000279770	ENSMUSG00000110278	0.343624161	0.612903226
ENSG00000279965	ENSMUSG00000085573	0.556737589	0.833333333
ENSG00000279965	ENSMUSG00000096938	0.476950355	0.769230769
ENSG00000279965	ENSMUSG00000108847	0.502664298	0.833333333
ENSG00000279965	ENSMUSG00000109089	0.421792619	0.6
ENSG00000279965	ENSMUSG00000109151	0.525663717	0.833333333
ENSG00000283347	ENSMUSG00000110278	0.218791946	0.483870968
ENSG00000226620	ENSMUSG00000099890	0.879120879	0.333333333
ENSG00000226620	ENSMUSG00000109316	0.78021978	0.333333333
ENSG00000230156	ENSMUSG00000040467	0.829646018	0.666666667
ENSG00000230156	ENSMUSG00000108932	0.803571429	0.333333333
ENSG00000230156	ENSMUSG00000108941	0.717777778	0.333333333
ENSG00000230156	ENSMUSG00000109062	0.837662338	0.666666667
ENSG00000230156	ENSMUSG00000109371	0.80952381	0.666666667
ENSG00000230156	ENSMUSG00000109436	0.832214765	0.333333333
ENSG00000232307	ENSMUSG00000109260	0.904458599	0
ENSG00000233532	ENSMUSG00000040467	0.754424779	0.25
ENSG00000233532	ENSMUSG00000108932	0.821428571	0.5
ENSG00000233532	ENSMUSG00000108941	0.88	0.5
ENSG00000233532	ENSMUSG00000109056	0.828125	0.5
ENSG00000233532	ENSMUSG00000109062	0.675324675	0.25
ENSG00000233532	ENSMUSG00000109371	0.634199134	0.25
ENSG00000233532	ENSMUSG00000109436	0.791946309	0.5
ENSG00000233532	ENSMUSG00000109515	0.851441242	0.5
ENSG00000272274	ENSMUSG00000040467	0.85619469	0.666666667
ENSG00000272274	ENSMUSG00000108932	0.839285714	0.333333333
ENSG00000272274	ENSMUSG00000108941	0.764444444	0.333333333
ENSG00000272274	ENSMUSG00000109062	0.857142857	0.666666667
ENSG00000272274	ENSMUSG00000109371	0.811688312	0.666666667
ENSG00000272274	ENSMUSG00000109436	0.859060403	0.333333333
ENSG00000274204	ENSMUSG00000108912	0.882222222	0.75
ENSG00000274204	ENSMUSG00000109127	0.635371179	0.5
ENSG00000274204	ENSMUSG00000109190	0.797413793	0.5
ENSG00000274204	ENSMUSG00000109346	0.591397849	0.5
ENSG00000274204	ENSMUSG00000109438	0.875278396	0.75
ENSG00000274204	ENSMUSG00000109568	0.879732739	0.75
ENSG00000276740	ENSMUSG00000108848	0.615711253	0.625
ENSG00000276740	ENSMUSG00000109346	0.410752688	0.25
ENSG00000277863	ENSMUSG00000108848	0.730360934	0.285714286
ENSG00000277863	ENSMUSG00000108912	0.608888889	0.5
ENSG00000277863	ENSMUSG00000109190	0.681034483	0.666666667
ENSG00000277863	ENSMUSG00000109346	0.815053763	0.5
ENSG00000277863	ENSMUSG00000109438	0.619153675	0.5
ENSG00000277863	ENSMUSG00000109568	0.614699332	0.5
ENSG00000278698	ENSMUSG00000108848	0.611464968	0.285714286
ENSG00000278698	ENSMUSG00000108912	0.737777778	0.5
ENSG00000278698	ENSMUSG00000109190	0.780172414	0.666666667
ENSG00000278698	ENSMUSG00000109346	0.819354839	0.5
ENSG00000278698	ENSMUSG00000109438	0.748329621	0.5
ENSG00000278698	ENSMUSG00000109568	0.743875278	0.5
ENSG00000279157	ENSMUSG00000108848	0.74522293	0.285714286
ENSG00000279157	ENSMUSG00000108912	0.586666667	0.5
ENSG00000279157	ENSMUSG00000109190	0.659482759	0.666666667
ENSG00000279157	ENSMUSG00000109346	0.797849462	0.5
ENSG00000279157	ENSMUSG00000109438	0.59688196	0.5
ENSG00000279157	ENSMUSG00000109568	0.592427617	0.5
ENSG00000280455	ENSMUSG00000099890	0.873913043	0.333333333
ENSG00000280455	ENSMUSG00000109316	0.743478261	0.333333333
ENSG00000186960	ENSMUSG00000104861	0.77247191	0.666666667
ENSG00000250365	ENSMUSG00000097159	0.698770492	0.857142857
ENSG00000257056	ENSMUSG00000100844	0.761363636	0.666666667
ENSG00000257126	ENSMUSG00000100844	0.745042493	0.333333333
ENSG00000257185	ENSMUSG00000104308	0.794749403	1
ENSG00000257472	ENSMUSG00000100315	0.699570815	0.727272727
ENSG00000257522	ENSMUSG00000100844	0.404371585	0.666666667
ENSG00000257523	ENSMUSG00000100844	0.728045326	0.666666667
ENSG00000257612	ENSMUSG00000104308	0.820143885	1
ENSG00000257748	ENSMUSG00000100844	0.771428571	0.666666667
ENSG00000257831	ENSMUSG00000097159	0.739754098	0.846153846
ENSG00000257842	ENSMUSG00000104308	0.69382716	1
ENSG00000258028	ENSMUSG00000104861	0.646551724	0.666666667
ENSG00000258038	ENSMUSG00000104861	0.717647059	0.666666667
ENSG00000258081	ENSMUSG00000104308	0.707692308	1
ENSG00000258580	ENSMUSG00000100315	0.592274678	0.636363636
ENSG00000258655	ENSMUSG00000100315	0.727467811	0.727272727
ENSG00000274762	ENSMUSG00000104861	0.783861671	0.666666667
ENSG00000136315	ENSMUSG00000089761	0.546875	0.611111111
ENSG00000136315	ENSMUSG00000094991	0.488839286	0.605633803
ENSG00000136315	ENSMUSG00000103010	0.252232143	0.456140351
ENSG00000157306	ENSMUSG00000093452	0.724310777	0.821428571
ENSG00000157306	ENSMUSG00000097652	0.660194175	0.817073171
ENSG00000157306	ENSMUSG00000100162	0.720698254	0.841463415
ENSG00000157306	ENSMUSG00000101680	0.653846154	0.829268293
ENSG00000157306	ENSMUSG00000102798	0.579812207	0.682926829
ENSG00000178107	ENSMUSG00000089761	0.47008547	0.5
ENSG00000178107	ENSMUSG00000097533	0.286324786	0.392156863
ENSG00000215256	ENSMUSG00000086341	0.555012225	0.69047619
ENSG00000237054	ENSMUSG00000040840	0.652173913	0.491525424
ENSG00000248358	ENSMUSG00000104598	0.521551724	0.387096774
ENSG00000248358	ENSMUSG00000105418	0.407327586	0.161290323
ENSG00000251002	ENSMUSG00000104658	0.631346578	0.688888889
ENSG00000251002	ENSMUSG00000105418	0.269315673	0.111111111
ENSG00000251002	ENSMUSG00000105703	0.558498896	0.644444444
ENSG00000251002	ENSMUSG00000105963	0.554083885	0.644444444
ENSG00000251002	ENSMUSG00000106112	0.620309051	0.688888889
ENSG00000254846	ENSMUSG00000103730	0.349514563	0.514285714
ENSG00000255472	ENSMUSG00000089761	0.501075269	0.583333333
ENSG00000255472	ENSMUSG00000094991	0.443010753	0.577464789
ENSG00000257096	ENSMUSG00000097533	0.317894737	0.487179487
ENSG00000257096	ENSMUSG00000105868	0.351578947	0.513513514
ENSG00000257285	ENSMUSG00000040840	0.661327231	0.525423729
ENSG00000258441	ENSMUSG00000097633	0.443277311	0.557692308
ENSG00000258444	ENSMUSG00000093452	0.696741855	0.785714286
ENSG00000258444	ENSMUSG00000097652	0.716019417	0.827160494
ENSG00000258444	ENSMUSG00000100162	0.695760599	0.804878049
ENSG00000258444	ENSMUSG00000101680	0.709134615	0.839506173
ENSG00000258444	ENSMUSG00000102798	0.661971831	0.728395062
ENSG00000258457	ENSMUSG00000040840	0.688787185	0.559322034
ENSG00000258458	ENSMUSG00000104658	0.646788991	0.804878049
ENSG00000258458	ENSMUSG00000105501	0.752293578	0.87804878
ENSG00000258458	ENSMUSG00000105703	0.756880734	0.87804878
ENSG00000258458	ENSMUSG00000105963	0.52293578	0.658536585
ENSG00000258458	ENSMUSG00000106112	0.674311927	0.804878049
ENSG00000258459	ENSMUSG00000097431	0.366093366	0.515151515
ENSG00000258464	ENSMUSG00000104056	0.61209068	0.823529412
ENSG00000258464	ENSMUSG00000104389	0.611111111	0.823529412
ENSG00000258471	ENSMUSG00000097633	0.442013129	0.518518519
ENSG00000258515	ENSMUSG00000097431	0.409876543	0.545454545
ENSG00000258573	ENSMUSG00000089761	0.454965358	0.5
ENSG00000258573	ENSMUSG00000094991	0.429561201	0.521126761
ENSG00000258573	ENSMUSG00000103010	0.263279446	0.426229508
ENSG00000258604	ENSMUSG00000089761	0.503239741	0.583333333
ENSG00000258604	ENSMUSG00000094991	0.444924406	0.577464789
ENSG00000258727	ENSMUSG00000093452	0.719298246	0.833333333
ENSG00000258727	ENSMUSG00000097652	0.652912621	0.785714286
ENSG00000258727	ENSMUSG00000100162	0.715710723	0.80952381
ENSG00000258727	ENSMUSG00000101680	0.646634615	0.797619048
ENSG00000258727	ENSMUSG00000102798	0.572769953	0.654761905
ENSG00000258768	ENSMUSG00000103730	0.316301703	0.485714286
ENSG00000258810	ENSMUSG00000089761	0.564356436	0.583333333
ENSG00000258810	ENSMUSG00000094991	0.5	0.577464789
ENSG00000258810	ENSMUSG00000103010	0.27970297	0.440677966
ENSG00000258908	ENSMUSG00000103730	0.427184466	0.6
ENSG00000259001	ENSMUSG00000103730	0.347087379	0.5
ENSG00000259018	ENSMUSG00000040840	0.512585812	0.544303797
ENSG00000259018	ENSMUSG00000093452	0.664160401	0.714285714
ENSG00000259018	ENSMUSG00000097652	0.701456311	0.784810127
ENSG00000259018	ENSMUSG00000100162	0.668329177	0.731707317
ENSG00000259018	ENSMUSG00000101680	0.694711538	0.784810127
ENSG00000259018	ENSMUSG00000102798	0.676056338	0.772151899
ENSG00000259054	ENSMUSG00000104658	0.677345538	0.804878049
ENSG00000259054	ENSMUSG00000105418	0.327231121	0.12195122
ENSG00000259054	ENSMUSG00000105501	0.633867277	0.756097561
ENSG00000259054	ENSMUSG00000105703	0.654462243	0.756097561
ENSG00000259054	ENSMUSG00000105963	0.565217391	0.707317073
ENSG00000259054	ENSMUSG00000106112	0.695652174	0.804878049
ENSG00000259334	ENSMUSG00000086341	0.545232274	0.69047619
ENSG00000260669	ENSMUSG00000086341	0.474327628	0.535714286
ENSG00000260830	ENSMUSG00000097533	0.36400818	0.534883721
ENSG00000260830	ENSMUSG00000105868	0.331288344	0.488372093
ENSG00000273618	ENSMUSG00000093452	0.731829574	0.847058824
ENSG00000273618	ENSMUSG00000097652	0.667475728	0.811764706
ENSG00000273618	ENSMUSG00000100162	0.730673317	0.835294118
ENSG00000273618	ENSMUSG00000101680	0.661057692	0.823529412
ENSG00000273618	ENSMUSG00000102798	0.58685446	0.682352941
ENSG00000274002	ENSMUSG00000093452	0.666666667	0.821428571
ENSG00000274002	ENSMUSG00000097652	0.601941748	0.761904762
ENSG00000274002	ENSMUSG00000100162	0.663341646	0.797619048
ENSG00000274002	ENSMUSG00000101680	0.596153846	0.773809524
ENSG00000274002	ENSMUSG00000102798	0.523474178	0.619047619
ENSG00000275552	ENSMUSG00000104658	0.675990676	0.80952381
ENSG00000275552	ENSMUSG00000105501	0.678321678	0.80952381
ENSG00000275552	ENSMUSG00000105703	0.699300699	0.80952381
ENSG00000275552	ENSMUSG00000105963	0.552447552	0.666666667
ENSG00000275552	ENSMUSG00000106112	0.694638695	0.80952381
ENSG00000278784	ENSMUSG00000086341	0.476772616	0.55952381
