Gene1	Gene2	Proportion of common genomic anchors	Proportion of common protein-coding genes
ENSG00000237579	XLOC_005668_ops	0.589041096	0.685714286
ENSG00000237579	XLOC_005670_ops	0.612	0.685714286
ENSG00000237579	XLOC_005672_ops	0.55049505	0.628571429
ENSG00000237579	XLOC_005674_ops	0.461693548	0.542857143
ENSG00000237581	XLOC_017550_ops	0.059701493	0.153846154
ENSG00000237581	XLOC_017551_ops	0.06	0.153846154
ENSG00000237585	XLOC_038889_ops	0.268656716	0.25
ENSG00000237585	XLOC_038895_ops	0.542079208	0.466666667
ENSG00000237585	XLOC_038901_ops	0.576732673	0.666666667
ENSG00000237585	XLOC_038906_ops	0.352238806	0.5
ENSG00000237585	XLOC_038907_ops	0.343283582	0.5
ENSG00000237588	XLOC_015172_ops	0.39587242	0.515151515
ENSG00000237588	XLOC_015176_ops	0.52141527	0.560606061
ENSG00000237588	XLOC_015177_ops	0.555353902	0.606060606
ENSG00000237588	XLOC_015178_ops	0.56036036	0.621212121
ENSG00000237588	XLOC_015180_ops	0.491319444	0.716981132
ENSG00000237588	XLOC_015181_ops	0.505119454	0.716981132
ENSG00000237588	XLOC_015182_ops	0.518965517	0.716981132
ENSG00000237588	XLOC_015183_ops	0.515570934	0.716981132
ENSG00000237588	XLOC_015184_ops	0.577205882	0.773584906
ENSG00000237588	XLOC_015186_ops	0.597701149	0.811320755
ENSG00000237588	XLOC_015189_ops	0.562862669	0.735849057
ENSG00000237588	XLOC_015190_ops	0.535372849	0.679245283
ENSG00000237588	XLOC_015191_ops	0.530769231	0.679245283
ENSG00000237590	XLOC_000161_ops	0.303448276	0.153846154
ENSG00000237590	XLOC_000164_ops	0.12183908	0.076923077
ENSG00000237590	XLOC_005067_ops	0.174712644	0.111111111
ENSG00000237590	XLOC_005071_ops	0.172413793	0.181818182
ENSG00000237594	XLOC_027809_ops	0.372611465	0.428571429
ENSG00000237594	XLOC_027810_ops	0.363057325	0.380952381
ENSG00000237594	XLOC_027811_ops	0.366242038	0.380952381
ENSG00000237594	XLOC_027812_ops	0.388535032	0.380952381
ENSG00000237594	XLOC_027813_ops	0.449044586	0.380952381
ENSG00000237595	XLOC_003315_ops	0.205	0.333333333
ENSG00000237595	XLOC_003317_ops	0.407713499	0.590909091
ENSG00000237595	XLOC_003321_ops	0.473829201	0.636363636
ENSG00000237595	XLOC_003326_ops	0.438016529	0.5
ENSG00000237595	XLOC_008223_ops	0.29476584	0.363636364
ENSG00000237595	XLOC_008229_ops	0.2525	0.444444444
ENSG00000237596	XLOC_016661_ops	0.491990847	0.384615385
ENSG00000237596	XLOC_016664_ops	0.473684211	0.615384615
ENSG00000237596	XLOC_016665_ops	0.459954233	0.384615385
ENSG00000237596	XLOC_016666_ops	0.359267735	0.538461538
ENSG00000237605	XLOC_014644_ops	0.408775982	0.513513514
ENSG00000237605	XLOC_014645_ops	0.408775982	0.486486486
ENSG00000237605	XLOC_014647_ops	0.427251732	0.621621622
ENSG00000237605	XLOC_014648_ops	0.510140406	0.78125
ENSG00000237605	XLOC_014649_ops	0.54028436	0.8125
ENSG00000237605	XLOC_014650_ops	0.542536116	0.75
ENSG00000237609	XLOC_024629_ops	0.226720648	0.466666667
ENSG00000237609	XLOC_024630_ops	0.204081633	0.466666667
ENSG00000237609	XLOC_024632_ops	0.257936508	0.625
ENSG00000237609	XLOC_024633_ops	0.3125	0.666666667
ENSG00000237609	XLOC_024637_ops	0.392156863	0.611111111
ENSG00000237609	XLOC_024638_ops	0.25	0.476190476
ENSG00000237637	XLOC_029413_ops	0.458937198	0.461538462
ENSG00000237637	XLOC_029414_ops	0.466183575	0.384615385
ENSG00000237637	XLOC_029416_ops	0.439903846	0.4
ENSG00000237638	XLOC_004062_ops	0.509950249	0.5
ENSG00000237638	XLOC_004063_ops	0.529850746	0.5
ENSG00000237638	XLOC_004064_ops	0.564676617	0.7
ENSG00000237638	XLOC_004065_ops	0.554726368	0.7
ENSG00000237638	XLOC_004066_ops	0.577114428	0.8
ENSG00000237638	XLOC_004067_ops	0.537313433	0.9
ENSG00000237638	XLOC_004068_ops	0.539800995	0.9
ENSG00000237638	XLOC_004069_ops	0.360696517	0.7
ENSG00000237640	XLOC_015828_ops	0.145985401	0.397260274
ENSG00000237640	XLOC_015829_ops	0.150364964	0.438356164
ENSG00000237640	XLOC_015831_ops	0.15620438	0.438356164
ENSG00000237640	XLOC_034725_ops	0.138686131	0.136986301
ENSG00000237643	XLOC_012349_ops	0.633027523	0.875
ENSG00000237643	XLOC_012350_ops	0.619266055	1
ENSG00000237643	XLOC_012351_ops	0.594036697	0.777777778
ENSG00000237643	XLOC_012352_ops	0.577981651	0.666666667
ENSG00000237646	XLOC_024650_ops	0.265714286	0.294117647
ENSG00000237646	XLOC_024651_ops	0.254691689	0.277777778
ENSG00000237646	XLOC_024652_ops	0.252777778	0.277777778
ENSG00000237646	XLOC_024653_ops	0.266288952	0.333333333
ENSG00000237646	XLOC_027723_ops	0.240740741	0.294117647
ENSG00000237646	XLOC_027725_ops	0.278378378	0.333333333
ENSG00000237646	XLOC_027727_ops	0.270833333	0.388888889
ENSG00000237654	XLOC_026173_ops	0.352530541	0.75
ENSG00000237655	XLOC_025649_ops	0.403547672	0.142857143
ENSG00000237655	XLOC_025654_ops	0.513452915	0.125
ENSG00000237655	XLOC_025655_ops	0.50896861	0.125
ENSG00000237655	XLOC_025656_ops	0.515695067	0.125
ENSG00000237655	XLOC_025659_ops	0.517102616	0.384615385
ENSG00000237655	XLOC_025662_ops	0.535211268	0.384615385
ENSG00000237655	XLOC_025663_ops	0.496981891	0.733333333
ENSG00000237655	XLOC_025664_ops	0.436619718	0.733333333
ENSG00000237667	XLOC_003600_ops	0.245136187	0.222222222
ENSG00000237667	XLOC_003601_ops	0.342412451	0.333333333
ENSG00000237670	XLOC_004754_ops	0.126436782	0.384615385
ENSG00000237670	XLOC_004756_ops	0.147798742	0.25
ENSG00000237675	XLOC_000231_ops	0.302281369	0.647058824
ENSG00000237675	XLOC_000234_ops	0.561616162	0.8125
ENSG00000237675	XLOC_000235_ops	0.553535354	0.8125
ENSG00000237675	XLOC_000237_ops	0.474789916	0.5
ENSG00000237675	XLOC_000238_ops	0.784722222	0.764705882
ENSG00000237685	XLOC_019390_ops	0.310055866	0.375
ENSG00000237685	XLOC_019391_ops	0.368715084	0.352941176
ENSG00000237685	XLOC_019392_ops	0.442922374	0.4375
ENSG00000237685	XLOC_019394_ops	0.561643836	0.625
ENSG00000237686	XLOC_012231_ops	0.388286334	0.333333333
ENSG00000237686	XLOC_016128_ops	0.36875	0.607843137
ENSG00000237686	XLOC_016129_ops	0.392086331	0.627906977
ENSG00000237686	XLOC_016137_ops	0.40647482	0.302325581
ENSG00000237686	XLOC_016139_ops	0.386117137	0.307692308
ENSG00000237686	XLOC_016140_ops	0.383947939	0.307692308
ENSG00000237686	XLOC_016141_ops	0.355748373	0.153846154
ENSG00000237686	XLOC_016142_ops	0.349240781	0.153846154
ENSG00000237686	XLOC_016144_ops	0.340563991	0.179487179
ENSG00000237686	XLOC_016145_ops	0.318872017	0.205128205
ENSG00000237687	XLOC_003207_ops	0.192926045	0.24137931
ENSG00000237687	XLOC_003208_ops	0.204180064	0.224137931
ENSG00000237687	XLOC_003209_ops	0.207395498	0.24137931
ENSG00000237687	XLOC_003210_ops	0.213826367	0.24137931
ENSG00000237687	XLOC_003212_ops	0.149517685	0.189655172
ENSG00000237687	XLOC_003213_ops	0.144694534	0.189655172
ENSG00000237687	XLOC_003214_ops	0.135048232	0.172413793
ENSG00000237687	XLOC_003221_ops	0.102702703	0.255813953
ENSG00000237687	XLOC_003223_ops	0.087387387	0.255813953
ENSG00000237687	XLOC_003225_ops	0.182707993	0.302325581
ENSG00000237687	XLOC_003226_ops	0.161500816	0.279069767
ENSG00000237699	XLOC_039923_ops	0.2700491	0.608695652
ENSG00000237699	XLOC_039928_ops	0.247135843	0.652173913
ENSG00000237699	XLOC_039929_ops	0.242225859	0.565217391
ENSG00000237705	XLOC_021269_ops	0.246666667	0.4
ENSG00000237705	XLOC_021272_ops	0.459016393	0.666666667
ENSG00000237705	XLOC_021276_ops	0.510538642	0.454545455
ENSG00000237705	XLOC_021277_ops	0.484777518	0.3
ENSG00000237707	XLOC_010407_ops	0.652061856	0.85
ENSG00000237707	XLOC_010408_ops	0.664948454	0.75
ENSG00000237713	XLOC_045195_ops	0.446254072	0.285714286
ENSG00000237713	XLOC_045197_ops	0.587412587	0.285714286
ENSG00000237713	XLOC_045198_ops	0.607142857	0.285714286
ENSG00000237713	XLOC_045199_ops	0.631386861	0.285714286
ENSG00000237713	XLOC_045201_ops	0.617100372	0.285714286
ENSG00000237714	XLOC_002003_ops	0.150224215	0.095238095
ENSG00000237714	XLOC_002012_ops	0.349295775	0.3125
ENSG00000237714	XLOC_006872_ops	0.122807018	0.11627907
ENSG00000237714	XLOC_006876_ops	0.221973094	0.19047619
ENSG00000237716	XLOC_019444_ops	0.245238095	0.461538462
ENSG00000237716	XLOC_019446_ops	0.335329341	0.307692308
ENSG00000237716	XLOC_019447_ops	0.365269461	0.307692308
ENSG00000237716	XLOC_022847_ops	0.131455399	0.153846154
ENSG00000237716	XLOC_022851_ops	0.309859155	0.461538462
ENSG00000237716	XLOC_022852_ops	0.262910798	0.384615385
ENSG00000237716	XLOC_022854_ops	0.20657277	0.307692308
ENSG00000237718	XLOC_009356_ops	0.318021201	0.422535211
ENSG00000237718	XLOC_009357_ops	0.330388693	0.450704225
ENSG00000237718	XLOC_009358_ops	0.365724382	0.507042254
ENSG00000237718	XLOC_009362_ops	0.395759717	0.591549296
ENSG00000237718	XLOC_009363_ops	0.413427562	0.605633803
ENSG00000237718	XLOC_009364_ops	0.408127208	0.61971831
ENSG00000237718	XLOC_009366_ops	0.402826855	0.605633803
ENSG00000237718	XLOC_009367_ops	0.381625442	0.563380282
ENSG00000237718	XLOC_009369_ops	0.367491166	0.492957746
ENSG00000237718	XLOC_009370_ops	0.316254417	0.394366197
ENSG00000237718	XLOC_009371_ops	0.249116608	0.338028169
ENSG00000237718	XLOC_009372_ops	0.243816254	0.295774648
ENSG00000237721	XLOC_024629_ops	0.226720648	0.466666667
ENSG00000237721	XLOC_024630_ops	0.204081633	0.466666667
ENSG00000237721	XLOC_024632_ops	0.253968254	0.625
ENSG00000237721	XLOC_024633_ops	0.309178744	0.666666667
ENSG00000237721	XLOC_024637_ops	0.388235294	0.611111111
ENSG00000237721	XLOC_024638_ops	0.246835443	0.476190476
ENSG00000237728	XLOC_027125_ops	0.129604366	0.172413793
ENSG00000237728	XLOC_027129_ops	0.165450122	0.151515152
ENSG00000237728	XLOC_027132_ops	0.169154229	0.151515152
ENSG00000237728	XLOC_027133_ops	0.168108776	0.147058824
ENSG00000237728	XLOC_030236_ops	0.257777778	0.227272727
ENSG00000237728	XLOC_030237_ops	0.166007905	0.153846154
ENSG00000237734	XLOC_034497_ops	0.376443418	0.363636364
ENSG00000237734	XLOC_034500_ops	0.618937644	0.692307692
ENSG00000237734	XLOC_034502_ops	0.31626506	0.307692308
ENSG00000237735	XLOC_027670_ops	0.083032491	0.142857143
ENSG00000237735	XLOC_027671_ops	0.088967972	0.142857143
ENSG00000237735	XLOC_027672_ops	0.09252669	0.142857143
ENSG00000237737	XLOC_004537_ops	0.188544153	0.166666667
ENSG00000237737	XLOC_004827_ops	0.138228942	0.214285714
ENSG00000237737	XLOC_004828_ops	0.136069114	0.214285714
ENSG00000237737	XLOC_009816_ops	0.179948586	0.256410256
ENSG00000237737	XLOC_009820_ops	0.163716814	0.214285714
ENSG00000237737	XLOC_031946_ops	0.116945107	0.428571429
ENSG00000237737	XLOC_033712_ops	0.092039801	0.255813953
ENSG00000237737	XLOC_033713_ops	0.10199005	0.282608696
ENSG00000237738	XLOC_036593_ops	0.208	0.3
ENSG00000237738	XLOC_036594_ops	0.244	0.333333333
ENSG00000237738	XLOC_036595_ops	0.266	0.333333333
ENSG00000237738	XLOC_036597_ops	0.248	0.3
ENSG00000237738	XLOC_036599_ops	0.163987138	0.181818182
ENSG00000237738	XLOC_036600_ops	0.159163987	0.181818182
ENSG00000237741	XLOC_045960_ops	0.781818182	0.444444444
ENSG00000237741	XLOC_045961_ops	0.789473684	0.444444444
ENSG00000237742	XLOC_016606_ops	0.564766839	0.777777778
ENSG00000237742	XLOC_016608_ops	0.5	0.333333333
ENSG00000237750	XLOC_025534_ops	0.45302714	0.8
ENSG00000237750	XLOC_025535_ops	0.436325678	0.333333333
ENSG00000237753	XLOC_008854_ops	0.34375	0.208333333
ENSG00000237753	XLOC_008855_ops	0.346590909	0.208333333
ENSG00000237753	XLOC_008856_ops	0.315340909	0.291666667
ENSG00000237753	XLOC_008857_ops	0.318181818	0.291666667
ENSG00000237753	XLOC_008858_ops	0.318181818	0.291666667
ENSG00000237753	XLOC_008860_ops	0.369318182	0.375
ENSG00000237753	XLOC_008861_ops	0.280742459	0.296296296
ENSG00000237753	XLOC_008863_ops	0.180974478	0.259259259
ENSG00000237753	XLOC_008865_ops	0.155452436	0.222222222
ENSG00000237756	XLOC_010358_ops	0.63546798	0.714285714
ENSG00000237756	XLOC_010359_ops	0.660098522	0.428571429
ENSG00000237759	XLOC_014837_ops	0.327922078	0.818181818
ENSG00000237759	XLOC_014839_ops	0.545698925	0.833333333
ENSG00000237759	XLOC_014840_ops	0.537349398	0.666666667
ENSG00000237759	XLOC_014842_ops	0.425	0.583333333
ENSG00000237759	XLOC_014845_ops	0.448051948	0.545454545
ENSG00000237761	XLOC_005622_ops	0.362637363	0.636363636
ENSG00000237761	XLOC_005632_ops	0.457875458	0.470588235
ENSG00000237767	XLOC_007449_ops	0.315104167	0.625
ENSG00000237767	XLOC_007450_ops	0.341597796	0.375
ENSG00000237768	XLOC_000352_ops	0.463700234	0.441176471
ENSG00000237768	XLOC_000353_ops	0.608988764	0.735294118
ENSG00000237768	XLOC_000358_ops	0.609977324	0.676470588
ENSG00000237768	XLOC_000359_ops	0.579646018	0.588235294
ENSG00000237768	XLOC_000360_ops	0.563318777	0.588235294
ENSG00000237772	XLOC_025400_ops	0.575596817	0.75
ENSG00000237773	XLOC_042937_ops	0.337378641	0.538461538
ENSG00000237773	XLOC_042938_ops	0.378172589	0.692307692
ENSG00000237773	XLOC_042939_ops	0.479217604	0.769230769
ENSG00000237773	XLOC_042940_ops	0.524752475	0.769230769
ENSG00000237773	XLOC_042942_ops	0.598971722	0.846153846
ENSG00000237775	XLOC_012048_ops	0.168224299	0.153061224
ENSG00000237775	XLOC_015912_ops	0.091662828	0.551724138
ENSG00000237775	XLOC_015913_ops	0.095601436	0.563218391
ENSG00000237775	XLOC_015914_ops	0.093873953	0.574712644
ENSG00000237775	XLOC_015915_ops	0.093832599	0.574712644
ENSG00000237775	XLOC_015917_ops	0.0941331	0.632183908
ENSG00000237775	XLOC_015920_ops	0.35154827	0.565656566
ENSG00000237775	XLOC_015923_ops	0.358834244	0.515151515
ENSG00000237775	XLOC_015924_ops	0.360655738	0.525252525
ENSG00000237775	XLOC_015926_ops	0.419243986	0.565656566
ENSG00000237775	XLOC_015927_ops	0.39347079	0.515151515
ENSG00000237781	XLOC_017200_ops	0.279166667	0.382716049
ENSG00000237781	XLOC_017218_ops	0.329166667	0.407407407
ENSG00000237781	XLOC_017219_ops	0.33125	0.456790123
ENSG00000237781	XLOC_017221_ops	0.385416667	0.49382716
ENSG00000237781	XLOC_017223_ops	0.373417722	0.455696203
ENSG00000237781	XLOC_017224_ops	0.400843882	0.481012658
ENSG00000237781	XLOC_017226_ops	0.451476793	0.506329114
ENSG00000237781	XLOC_017228_ops	0.5	0.556962025
ENSG00000237781	XLOC_017231_ops	0.565121413	0.651515152
ENSG00000237781	XLOC_017232_ops	0.460652591	0.636363636
ENSG00000237781	XLOC_017233_ops	0.499051233	0.696969697
ENSG00000237781	XLOC_017237_ops	0.540892193	0.742424242
ENSG00000237781	XLOC_017238_ops	0.557798165	0.742424242
ENSG00000237781	XLOC_017240_ops	0.513711152	0.727272727
ENSG00000237781	XLOC_017242_ops	0.447897623	0.666666667
ENSG00000237781	XLOC_017243_ops	0.610062893	0.676056338
ENSG00000237781	XLOC_017244_ops	0.555555556	0.605633803
ENSG00000237781	XLOC_017245_ops	0.531380753	0.577464789
ENSG00000237786	XLOC_022774_ops	0.550128535	0.538461538
ENSG00000237786	XLOC_022775_ops	0.629820051	0.636363636
ENSG00000237786	XLOC_022777_ops	0.562982005	0.666666667
ENSG00000237787	XLOC_040737_ops	0.472463768	0.8
ENSG00000237787	XLOC_040739_ops	0.576811594	1
ENSG00000237787	XLOC_040740_ops	0.588405797	1
ENSG00000237787	XLOC_040744_ops	0.663768116	0.714285714
ENSG00000237797	XLOC_042510_ops	0.581469649	0.555555556
ENSG00000237798	XLOC_025611_ops	0.532879819	0.769230769
ENSG00000237798	XLOC_025620_ops	0.399092971	0.75
ENSG00000237798	XLOC_025622_ops	0.481751825	0.6
ENSG00000237798	XLOC_028694_ops	0.412735849	0.8
ENSG00000237798	XLOC_028699_ops	0.493917275	0.733333333
ENSG00000237803	XLOC_004247_ops	0.38372093	0.461538462
ENSG00000237803	XLOC_004253_ops	0.339534884	0.4
ENSG00000237807	XLOC_018678_ops	0.462540717	0.5
ENSG00000237807	XLOC_018679_ops	0.478827362	0.5
ENSG00000237807	XLOC_018681_ops	0.553745928	0.642857143
ENSG00000237807	XLOC_018685_ops	0.332247557	0.538461538
ENSG00000237807	XLOC_018686_ops	0.184210526	0.25
ENSG00000237813	XLOC_044204_ops	0.505668934	0.4
ENSG00000237813	XLOC_044209_ops	0.471655329	0.7
ENSG00000237813	XLOC_044210_ops	0.403628118	0.7
ENSG00000237813	XLOC_044211_ops	0.367346939	0.8
ENSG00000237819	XLOC_042650_ops	0.476415094	0.55
ENSG00000237819	XLOC_042652_ops	0.503448276	0.47826087
ENSG00000237832	XLOC_003965_ops	0.655701754	0.25
ENSG00000237832	XLOC_003969_ops	0.736842105	0.5
ENSG00000237836	XLOC_039643_ops	0.41005291	0.352941176
ENSG00000237837	XLOC_008305_ops	0.182389937	0.346153846
ENSG00000237837	XLOC_008306_ops	0.174004193	0.344827586
ENSG00000237837	XLOC_008307_ops	0.171686747	0.206896552
ENSG00000237838	XLOC_042766_ops	0.36	0.666666667
ENSG00000237843	XLOC_040401_ops	0.394514768	0.166666667
ENSG00000237843	XLOC_040404_ops	0.613963039	0.8
ENSG00000237843	XLOC_040408_ops	0.250513347	0.625
ENSG00000237844	XLOC_028607_ops	0.444148936	0.25
ENSG00000237844	XLOC_028608_ops	0.347457627	0.285714286
ENSG00000237845	XLOC_010973_ops	0.429515419	0.5
ENSG00000237845	XLOC_010975_ops	0.544052863	0.6875
ENSG00000237845	XLOC_010977_ops	0.528634361	0.8125
ENSG00000237845	XLOC_010978_ops	0.385462555	0.6875
ENSG00000237851	XLOC_012815_ops	0.272727273	0.545454545
ENSG00000237851	XLOC_012816_ops	0.496314496	0.545454545
ENSG00000237851	XLOC_012819_ops	0.371007371	0.545454545
ENSG00000237851	XLOC_012821_ops	0.420588235	0.6
ENSG00000237852	XLOC_014071_ops	0.680672269	0.777777778
ENSG00000237852	XLOC_014075_ops	0.482035928	0.555555556
ENSG00000237853	XLOC_010161_ops	0.454326923	0.333333333
ENSG00000237853	XLOC_010165_ops	0.547029703	0.571428571
ENSG00000237853	XLOC_010166_ops	0.574850299	0.444444444
ENSG00000237862	XLOC_043708_ops	0.431858407	0.541666667
ENSG00000237862	XLOC_043712_ops	0.339823009	0.458333333
ENSG00000237862	XLOC_043713_ops	0.323170732	0.316666667
ENSG00000237862	XLOC_043717_ops	0.31097561	0.333333333
ENSG00000237862	XLOC_043718_ops	0.323170732	0.333333333
ENSG00000237862	XLOC_043719_ops	0.268292683	0.266666667
ENSG00000237863	XLOC_045241_ops	0.095238095	0.117647059
ENSG00000237864	XLOC_027753_ops	0.230603448	0.448275862
ENSG00000237864	XLOC_027757_ops	0.357758621	0.655172414
ENSG00000237864	XLOC_027758_ops	0.385775862	0.586206897
ENSG00000237864	XLOC_027759_ops	0.370689655	0.551724138
ENSG00000237864	XLOC_027760_ops	0.362068966	0.551724138
ENSG00000237864	XLOC_027761_ops	0.293103448	0.448275862
ENSG00000237864	XLOC_027762_ops	0.290948276	0.482758621
ENSG00000237870	XLOC_044204_ops	0.564732143	0.5
ENSG00000237870	XLOC_044209_ops	0.441964286	0.75
ENSG00000237870	XLOC_044210_ops	0.375	0.75
ENSG00000237870	XLOC_044211_ops	0.325892857	0.6
ENSG00000237874	XLOC_012428_ops	0.488943489	0.666666667
ENSG00000237874	XLOC_012430_ops	0.56019656	0.666666667
ENSG00000237874	XLOC_012431_ops	0.587223587	0.75
ENSG00000237874	XLOC_012433_ops	0.616707617	0.75
ENSG00000237874	XLOC_012434_ops	0.621621622	0.75
ENSG00000237874	XLOC_012435_ops	0.528255528	0.666666667
ENSG00000237874	XLOC_012436_ops	0.427518428	0.333333333
ENSG00000237879	XLOC_026272_ops	0.253246753	0.307692308
ENSG00000237879	XLOC_026274_ops	0.309446254	0.461538462
ENSG00000237879	XLOC_026275_ops	0.337748344	0.461538462
ENSG00000237879	XLOC_026277_ops	0.463576159	0.461538462
ENSG00000237879	XLOC_026281_ops	0.527186761	0.545454545
ENSG00000237879	XLOC_026283_ops	0.541371158	0.636363636
ENSG00000237879	XLOC_026284_ops	0.510638298	0.636363636
ENSG00000237879	XLOC_026290_ops	0.275747508	0.357142857
ENSG00000237880	XLOC_038472_ops	0.241735537	0.428571429
ENSG00000237880	XLOC_038473_ops	0.259958071	0.384615385
ENSG00000237880	XLOC_038474_ops	0.283549784	0.428571429
ENSG00000237883	XLOC_009530_ops	0.243534483	0.166666667
ENSG00000237883	XLOC_009824_ops	0.114224138	0.166666667
ENSG00000237883	XLOC_009827_ops	0.266666667	0.282608696
ENSG00000237883	XLOC_009828_ops	0.253588517	0.217391304
ENSG00000237883	XLOC_033710_ops	0.109913793	0.452380952
ENSG00000237883	XLOC_033712_ops	0.090517241	0.372093023
ENSG00000237883	XLOC_033713_ops	0.081896552	0.347826087
ENSG00000237886	XLOC_003130_ops	0.041769042	0.074074074
ENSG00000237886	XLOC_003131_ops	0.041769042	0.074074074
ENSG00000237886	XLOC_003132_ops	0.045045045	0.098765432
ENSG00000237886	XLOC_003133_ops	0.036855037	0.160493827
ENSG00000237886	XLOC_007999_ops	0.09009009	0.12345679
ENSG00000237886	XLOC_008000_ops	0.087633088	0.12345679
ENSG00000237886	XLOC_008001_ops	0.093366093	0.148148148
ENSG00000237886	XLOC_008002_ops	0.135954136	0.172839506
ENSG00000237886	XLOC_008004_ops	0.126945127	0.148148148
ENSG00000237886	XLOC_008005_ops	0.233628319	0.115942029
ENSG00000237886	XLOC_008075_ops	0.100660066	0.083333333
ENSG00000237892	XLOC_039022_ops	0.250972763	0.333333333
ENSG00000237892	XLOC_039023_ops	0.324427481	0.5
ENSG00000237892	XLOC_039024_ops	0.442125237	0.523809524
ENSG00000237892	XLOC_039029_ops	0.551569507	0.555555556
ENSG00000237896	XLOC_044075_ops	0.600928074	0.666666667
ENSG00000237896	XLOC_044076_ops	0.559164733	0.833333333
ENSG00000237899	XLOC_030659_ops	0.262357414	0.448275862
ENSG00000237899	XLOC_030660_ops	0.205323194	0.297297297
ENSG00000237899	XLOC_030688_ops	0.085551331	0.119047619
ENSG00000237899	XLOC_030689_ops	0.093155894	0.12195122
ENSG00000237899	XLOC_030690_ops	0.095057034	0.119047619
ENSG00000237899	XLOC_030698_ops	0.178707224	0.24137931
ENSG00000237903	XLOC_045381_ops	0.365771812	0.392857143
ENSG00000237903	XLOC_045382_ops	0.409395973	0.392857143
ENSG00000237903	XLOC_045383_ops	0.382550336	0.357142857
ENSG00000237903	XLOC_045385_ops	0.206477733	0.14893617
ENSG00000237903	XLOC_045387_ops	0.207171315	0.134615385
ENSG00000237903	XLOC_045388_ops	0.197628458	0.134615385
ENSG00000237903	XLOC_045903_ops	0.136752137	0.106382979
ENSG00000237914	XLOC_002652_ops	0.24744898	0.387096774
ENSG00000237914	XLOC_002653_ops	0.25	0.387096774
ENSG00000237914	XLOC_002655_ops	0.257653061	0.387096774
ENSG00000237914	XLOC_002656_ops	0.224489796	0.387096774
ENSG00000237914	XLOC_002657_ops	0.244897959	0.387096774
ENSG00000237914	XLOC_002659_ops	0.234693878	0.419354839
ENSG00000237919	XLOC_010075_ops	0.470588235	0.625
ENSG00000237919	XLOC_010077_ops	0.642857143	0.75
ENSG00000237919	XLOC_010079_ops	0.630252101	0.777777778
ENSG00000237919	XLOC_010080_ops	0.663865546	0.875
ENSG00000237919	XLOC_010081_ops	0.668067227	0.888888889
ENSG00000237919	XLOC_010084_ops	0.676470588	0.888888889
ENSG00000237919	XLOC_010086_ops	0.588235294	0.888888889
ENSG00000237919	XLOC_010087_ops	0.504201681	0.875
ENSG00000237919	XLOC_010088_ops	0.489361702	0.75
ENSG00000237921	XLOC_042921_ops	0.26686217	0.333333333
ENSG00000237921	XLOC_042927_ops	0.439882698	0.555555556
ENSG00000237921	XLOC_042928_ops	0.563049853	0.888888889
ENSG00000237921	XLOC_042929_ops	0.656891496	0.8
ENSG00000237923	XLOC_012048_ops	0.168224299	0.153061224
ENSG00000237923	XLOC_015912_ops	0.091662828	0.564705882
ENSG00000237923	XLOC_015913_ops	0.095601436	0.576470588
ENSG00000237923	XLOC_015914_ops	0.093873953	0.588235294
ENSG00000237923	XLOC_015915_ops	0.093832599	0.588235294
ENSG00000237923	XLOC_015917_ops	0.09150613	0.623529412
ENSG00000237923	XLOC_015920_ops	0.35154827	0.565656566
ENSG00000237923	XLOC_015923_ops	0.358834244	0.515151515
ENSG00000237923	XLOC_015924_ops	0.360655738	0.525252525
ENSG00000237927	XLOC_016822_ops	0.271493213	0.65
ENSG00000237927	XLOC_016823_ops	0.312217195	0.684210526
ENSG00000237927	XLOC_016826_ops	0.640271493	0.789473684
ENSG00000237928	XLOC_010165_ops	0.862694301	0.714285714
ENSG00000237928	XLOC_010166_ops	0.743523316	0.5
ENSG00000237934	XLOC_026806_ops	0.065292096	0.677419355
ENSG00000237934	XLOC_026810_ops	0.261792453	0.482758621
ENSG00000237934	XLOC_030743_ops	0.262975779	0.208333333
ENSG00000237937	XLOC_028967_ops	0.407335907	0.4
ENSG00000237937	XLOC_028969_ops	0.533834586	0.625
ENSG00000237937	XLOC_028970_ops	0.539473684	0.733333333
ENSG00000237937	XLOC_028972_ops	0.571428571	1
ENSG00000237937	XLOC_028974_ops	0.582706767	1
ENSG00000237937	XLOC_028975_ops	0.592105263	1
ENSG00000237937	XLOC_028978_ops	0.353281853	0.35
ENSG00000237937	XLOC_028979_ops	0.347490347	0.35
ENSG00000237938	XLOC_026871_ops	0.384615385	0.35
ENSG00000237938	XLOC_026872_ops	0.405253283	0.375
ENSG00000237938	XLOC_026873_ops	0.422138837	0.525
ENSG00000237938	XLOC_026874_ops	0.452157598	0.55
ENSG00000237938	XLOC_026877_ops	0.37593985	0.487804878
ENSG00000237938	XLOC_026878_ops	0.385338346	0.512195122
ENSG00000237938	XLOC_026879_ops	0.398496241	0.56097561
ENSG00000237938	XLOC_026880_ops	0.379699248	0.536585366
ENSG00000237938	XLOC_026883_ops	0.404135338	0.585365854
ENSG00000237938	XLOC_026886_ops	0.410351201	0.542857143
ENSG00000237938	XLOC_026887_ops	0.415896488	0.542857143
ENSG00000237938	XLOC_026890_ops	0.384473198	0.514285714
ENSG00000237938	XLOC_026891_ops	0.251879699	0.365853659
ENSG00000237938	XLOC_026892_ops	0.236842105	0.341463415
ENSG00000237938	XLOC_026918_ops	0.10840708	0.151515152
ENSG00000237938	XLOC_026919_ops	0.115044248	0.151515152
