human gene	chicken gene	human transcript	chicken transcript	motif-pattern similarity score	gap penalty score
ENSG00000237167	XLOC_029176_chc	ENST00000420213	TCONS_00132259_chc	4.406	63.567
ENSG00000234132	XLOC_038277_chc	ENST00000415359	TCONS_00191832_chc	3.473	57.929
ENSG00000224691	XLOC_042859_chc	ENST00000428391	TCONS_00212304_chc	12.384	12.738
ENSG00000256364	XLOC_034001_chc	ENST00000541383	TCONS_00162610_chc	4.351	34.42
ENSG00000280117	XLOC_033840_chc	ENST00000623279	TCONS_00161556_chc	20.322	35.539
ENSG00000281398	XLOC_032297_chc	ENST00000514110	TCONS_00151721_chc	5.22	37.473
ENSG00000279137	XLOC_034775_chc	ENST00000624132	TCONS_00167658_chc	3.918	13.429
ENSG00000273356	XLOC_031086_chc	ENST00000608605	TCONS_00145459_chc	8.627	15.961
ENSG00000261924	XLOC_035019_chc	ENST00000573602	TCONS_00169597_chc	9.092	42.999
ENSG00000263176	XLOC_038794_chc	ENST00000577175	TCONS_00194865_chc	5.373	5.138
ENSG00000283392	XLOC_031181_chc	ENST00000635800	TCONS_00145859_chc	5.491	48.865
ENSG00000229498	XLOC_020092_chc	ENST00000366278	TCONS_00079949_chc	5.121	75.333
ENSG00000278716	XLOC_030568_chc	ENST00000620845	TCONS_00142046_chc	5.739	33.791
ENSG00000279488	XLOC_039397_chc	ENST00000624592	TCONS_00198960_chc	7.565	38.398
ENSG00000270006	XLOC_030589_chc	ENST00000602282	TCONS_00142089_chc	4.486	40.826
ENSG00000260148	XLOC_030281_chc	ENST00000565829	TCONS_00141051_chc	4.589	28.545
ENSG00000244649	XLOC_039022_chc	ENST00000478824	TCONS_00195949_chc	7.744	53.552
ENSG00000224090	XLOC_026895_chc	ENST00000441450	TCONS_00117503_chc	3.409	48.792
ENSG00000272914	XLOC_008616_chc	ENST00000608729	TCONS_00033762_chc	6.658	55.747
ENSG00000259442	XLOC_030053_chc	ENST00000558342	TCONS_00138451_chc	3.666	28.237
ENSG00000204055	XLOC_034662_chc	ENST00000451229	TCONS_00168340_chc	4.032	36.486
ENSG00000259854	XLOC_022298_chc	ENST00000562341	TCONS_00093236_chc	7.11	43.767
ENSG00000255857	XLOC_033688_chc	ENST00000542265	TCONS_00160913_chc	3.286	49.605
ENSG00000271646	XLOC_021035_chc	ENST00000605834	TCONS_00083541_chc	6.29	61.621
ENSG00000225361	XLOC_034701_chc	ENST00000603624	TCONS_00167319_chc	3.685	38.179
ENSG00000279136	XLOC_033379_chc	ENST00000623562	TCONS_00158013_chc	8.235	25.768
ENSG00000253161	XLOC_037074_chc	ENST00000519738	TCONS_00184520_chc	3.364	15.443
ENSG00000282864	XLOC_003076_chc	ENST00000635272	TCONS_00009619_chc	4.831	151.286
ENSG00000225778	XLOC_004283_chc	ENST00000445498	TCONS_00012399_chc	7.826	49.29
ENSG00000227373	XLOC_027333_chc	ENST00000426899	TCONS_00126716_chc	9.441	22.691
ENSG00000233154	XLOC_001687_chc	ENST00000443219	TCONS_00024523_chc	5.495	58.387
ENSG00000179219	XLOC_030569_chc	ENST00000366314	TCONS_00142049_chc	8.385	72.498
ENSG00000279801	XLOC_035144_chc	ENST00000624282	TCONS_00170257_chc	7.144	26.019
ENSG00000260942	XLOC_028507_chc	ENST00000567819	TCONS_00129334_chc	7.941	50.661
ENSG00000259654	XLOC_030050_chc	ENST00000558044	TCONS_00138417_chc	7.294	60.695
ENSG00000267857	XLOC_026603_chc	ENST00000596207	TCONS_00116369_chc	6.77	33.266
ENSG00000262227	XLOC_035438_chc	ENST00000574260	TCONS_00172907_chc	4.017	37.316
ENSG00000225439	XLOC_037122_chc	ENST00000529783	TCONS_00184794_chc	5.578	34.31
ENSG00000253837	XLOC_037083_chc	ENST00000519692	TCONS_00184539_chc	7.52	25.717
ENSG00000262202	XLOC_035780_chc	ENST00000573866	TCONS_00175028_chc	5.943	38.994
ENSG00000254928	XLOC_004126_chc	ENST00000530510	TCONS_00011963_chc	6.937	10.214
ENSG00000254907	XLOC_023614_chc	ENST00000526220	TCONS_00098052_chc	4.709	52.366
ENSG00000272620	XLOC_019989_chc	ENST00000608442	TCONS_00079646_chc	7.467	46.052
ENSG00000258634	XLOC_038312_chc	ENST00000554749	TCONS_00191924_chc	7.959	46.931
ENSG00000196893	XLOC_035782_chc	ENST00000354432	TCONS_00175052_chc	4.991	30.391
ENSG00000233360	XLOC_005144_chc	ENST00000456099	TCONS_00014785_chc	9.617	78.941
ENSG00000226917	XLOC_038594_chc	ENST00000448211	TCONS_00193324_chc	4.939	12.403
ENSG00000229750	XLOC_026132_chc	ENST00000449168	TCONS_00114298_chc	4.514	39.828
ENSG00000278876	XLOC_035040_chc	ENST00000623802	TCONS_00169705_chc	4.414	52.835
ENSG00000236107	XLOC_026872_chc	ENST00000447809	TCONS_00117443_chc	5.153	154.312
ENSG00000266578	XLOC_013161_chc	ENST00000578787	TCONS_00045741_chc	8.992	42.91
ENSG00000269915	XLOC_021987_chc	ENST00000527021	TCONS_00091998_chc	11.709	14.399
ENSG00000227398	XLOC_011259_chc	ENST00000429315	TCONS_00054140_chc	3.849	17.156
ENSG00000235271	XLOC_033592_chc	ENST00000447149	TCONS_00160376_chc	6.142	35.672
ENSG00000230226	XLOC_036114_chc	ENST00000458368	TCONS_00177805_chc	5.109	36.884
ENSG00000267130	XLOC_030444_chc	ENST00000593041	TCONS_00141568_chc	4.912	51.298
ENSG00000246211	XLOC_004129_chc	ENST00000502071	TCONS_00011971_chc	3.736	43.612
ENSG00000237021	XLOC_017576_chc	ENST00000448740	TCONS_00065990_chc	4.847	35.612
ENSG00000260905	XLOC_033215_chc	ENST00000566098	TCONS_00157254_chc	7.577	67.102
ENSG00000267665	XLOC_035150_chc	ENST00000592572	TCONS_00170328_chc	4.243	53.035
ENSG00000260271	XLOC_017778_chc	ENST00000569865	TCONS_00066497_chc	5.434	68.619
ENSG00000228021	XLOC_025111_chc	ENST00000621613	TCONS_00107668_chc	7.338	29.231
ENSG00000203288	XLOC_038120_chc	ENST00000389897	TCONS_00190998_chc	10.433	77.761
ENSG00000260868	XLOC_026840_chc	ENST00000563759	TCONS_00117246_chc	6.758	95.157
ENSG00000246851	XLOC_034660_chc	ENST00000502188	TCONS_00167047_chc	6.438	25.599
ENSG00000259615	XLOC_030217_chc	ENST00000560477	TCONS_00139257_chc	3.929	21.977
ENSG00000233183	XLOC_038612_chc	ENST00000451317	TCONS_00193506_chc	7.114	58.597
ENSG00000259964	XLOC_030158_chc	ENST00000569258	TCONS_00139097_chc	6.453	18.781
ENSG00000263501	XLOC_038753_chc	ENST00000580253	TCONS_00194678_chc	3.826	96.269
ENSG00000267280	XLOC_035571_chc	ENST00000591313	TCONS_00176028_chc	3.641	32.337
ENSG00000262877	XLOC_035309_chc	ENST00000571724	TCONS_00171027_chc	8.628	61.084
ENSG00000223561	XLOC_011880_chc	ENST00000423689	TCONS_00042513_chc	4.303	16.718
ENSG00000231050	XLOC_036904_chc	ENST00000412228	TCONS_00182963_chc	7.124	44.283
ENSG00000228918	XLOC_027308_chc	ENST00000608183	TCONS_00121412_chc	4.848	34.199
ENSG00000214353	XLOC_030706_chc	ENST00000562507	TCONS_00142705_chc	8.789	43.206
ENSG00000279246	XLOC_023213_chc	ENST00000623765	TCONS_00096357_chc	6.487	84.108
ENSG00000259347	XLOC_030151_chc	ENST00000558097	TCONS_00139059_chc	5.83	67.229
ENSG00000226567	XLOC_031520_chc	ENST00000412578	TCONS_00147140_chc	5.544	38.887
ENSG00000225206	XLOC_028053_chc	ENST00000424528	TCONS_00124898_chc	3.654	25.742
ENSG00000233101	XLOC_039012_chc	ENST00000466037	TCONS_00195915_chc	4.756	35.693
ENSG00000262585	XLOC_035019_chc	ENST00000576738	TCONS_00169597_chc	4.953	61.133
ENSG00000263585	XLOC_035037_chc	ENST00000583521	TCONS_00169694_chc	4.127	17.514
ENSG00000278097	XLOC_035844_chc	ENST00000578447	TCONS_00175348_chc	5.372	42.386
ENSG00000224743	XLOC_003713_chc	ENST00000590721	TCONS_00010877_chc	3.47	43.883
ENSG00000231871	XLOC_038484_chc	ENST00000413035	TCONS_00192770_chc	8.044	43.881
ENSG00000261266	XLOC_033222_chc	ENST00000566143	TCONS_00157278_chc	5.448	22.481
ENSG00000253344	XLOC_037123_chc	ENST00000519978	TCONS_00184796_chc	3.578	73.451
ENSG00000279838	XLOC_042859_chc	ENST00000623474	TCONS_00212302_chc	6.626	25.295
ENSG00000224691	XLOC_042860_chc	ENST00000428391	TCONS_00212309_chc	7.089	17.582
ENSG00000267283	XLOC_039436_chc	ENST00000587498	TCONS_00198271_chc	3.592	30.261
ENSG00000260088	XLOC_038275_chc	ENST00000568695	TCONS_00193664_chc	12.82	39.396
ENSG00000177369	XLOC_038796_chc	ENST00000322227	TCONS_00194880_chc	5.557	66.702
ENSG00000273448	XLOC_035415_chc	ENST00000609770	TCONS_00175733_chc	4.812	45.536
ENSG00000279117	XLOC_004126_chc	ENST00000624624	TCONS_00011964_chc	7.861	82.145
ENSG00000275088	XLOC_030969_chc	ENST00000621095	TCONS_00143769_chc	5.571	33.817
ENSG00000232164	XLOC_014326_chc	ENST00000428647	TCONS_00056258_chc	5.152	50.122
ENSG00000254236	XLOC_013764_chc	ENST00000522416	TCONS_00047329_chc	4.373	11.079
ENSG00000230082	XLOC_031713_chc	ENST00000431558	TCONS_00148011_chc	4.38	37.279
ENSG00000272702	XLOC_021952_chc	ENST00000610134	TCONS_00086615_chc	9.911	62.89
ENSG00000204971	XLOC_004096_chc	ENST00000378140	TCONS_00011905_chc	3.632	12.309
ENSG00000279785	XLOC_033817_chc	ENST00000624570	TCONS_00161456_chc	4.925	57.137
ENSG00000269935	XLOC_030995_chc	ENST00000602388	TCONS_00143852_chc	17.973	141.006
ENSG00000230051	XLOC_033593_chc	ENST00000413244	TCONS_00163178_chc	5.236	80.059
ENSG00000265912	XLOC_034969_chc	ENST00000583416	TCONS_00169435_chc	3.814	39.353
ENSG00000279532	XLOC_035745_chc	ENST00000623773	TCONS_00174893_chc	4.6	20.479
ENSG00000255458	XLOC_021523_chc	ENST00000533736	TCONS_00085312_chc	12.24	19.038
ENSG00000261978	XLOC_035298_chc	ENST00000570952	TCONS_00170959_chc	5.486	45.429
ENSG00000279756	XLOC_033223_chc	ENST00000623305	TCONS_00157280_chc	3.487	25.354
ENSG00000267440	XLOC_039065_chc	ENST00000593169	TCONS_00196072_chc	3.371	95.564
ENSG00000279692	XLOC_035314_chc	ENST00000624417	TCONS_00171069_chc	11.897	61.301
ENSG00000279537	XLOC_021987_chc	ENST00000624274	TCONS_00091998_chc	6.354	45.295
ENSG00000258861	XLOC_022904_chc	ENST00000553692	TCONS_00095372_chc	3.736	54.793
ENSG00000250790	XLOC_033467_chc	ENST00000503695	TCONS_00159804_chc	8.342	25.147
ENSG00000124835	XLOC_026605_chc	ENST00000244820	TCONS_00116395_chc	5	5.025
ENSG00000262966	XLOC_035098_chc	ENST00000574307	TCONS_00170070_chc	7.137	24.634
ENSG00000251370	XLOC_012738_chc	ENST00000510879	TCONS_00044762_chc	3.581	52.868
ENSG00000238197	XLOC_002220_chc	ENST00000440052	TCONS_00025123_chc	4.474	31.898
ENSG00000272693	XLOC_035745_chc	ENST00000608973	TCONS_00174893_chc	5.352	79.55
ENSG00000259444	XLOC_022917_chc	ENST00000559843	TCONS_00095427_chc	4.334	34.476
ENSG00000253352	XLOC_033640_chc	ENST00000519077	TCONS_00160631_chc	3.632	142.326
ENSG00000197670	XLOC_036588_chc	ENST00000424252	TCONS_00179905_chc	4.771	36.45
ENSG00000214548	XLOC_022913_chc	ENST00000452120	TCONS_00095405_chc	5.668	50.615
ENSG00000279716	XLOC_006442_chc	ENST00000624704	TCONS_00028923_chc	6.67	68.292
ENSG00000282993	XLOC_007177_chc	ENST00000634391	TCONS_00020754_chc	4.828	50.492
ENSG00000260032	XLOC_035911_chc	ENST00000565493	TCONS_00176869_chc	8.466	58.71
ENSG00000225978	XLOC_036082_chc	ENST00000433161	TCONS_00181336_chc	12.978	54.919
ENSG00000261478	XLOC_030212_chc	ENST00000567484	TCONS_00139242_chc	5.278	49.588
ENSG00000275549	XLOC_034520_chc	ENST00000612170	TCONS_00166550_chc	17.102	93.197
ENSG00000272564	XLOC_020092_chc	ENST00000608140	TCONS_00079949_chc	4.438	57.678
ENSG00000276728	XLOC_038974_chc	ENST00000612013	TCONS_00196719_chc	5.337	41.759
ENSG00000272711	XLOC_037196_chc	ENST00000610008	TCONS_00185075_chc	6.763	44.539
ENSG00000186056	XLOC_037601_chc	ENST00000414532	TCONS_00187207_chc	8.911	21.807
ENSG00000233427	XLOC_037356_chc	ENST00000418471	TCONS_00186128_chc	4.571	80.764
ENSG00000274292	XLOC_033551_chc	ENST00000613093	TCONS_00160133_chc	10.882	100.237
ENSG00000274270	XLOC_003580_chc	ENST00000618151	TCONS_00010486_chc	5.031	40.87
ENSG00000260519	XLOC_019760_chc	ENST00000562054	TCONS_00078889_chc	3.845	31.662
ENSG00000274667	XLOC_029519_chc	ENST00000614966	TCONS_00136067_chc	4.663	52.276
ENSG00000227248	XLOC_002970_chc	ENST00000449551	TCONS_00009405_chc	5.454	60.995
ENSG00000270681	XLOC_019177_chc	ENST00000603472	TCONS_00076678_chc	3.218	12.042
ENSG00000237424	XLOC_028220_chc	ENST00000445551	TCONS_00125641_chc	8.389	59.633
ENSG00000267283	XLOC_039207_chc	ENST00000587498	TCONS_00198772_chc	3.273	24.042
ENSG00000237886	XLOC_034734_chc	ENST00000429224	TCONS_00168724_chc	4.283	24.94
ENSG00000259006	XLOC_030609_chc	ENST00000554623	TCONS_00142144_chc	8.868	99.81
ENSG00000237292	XLOC_027291_chc	ENST00000435023	TCONS_00121345_chc	6.859	47.088
ENSG00000227432	XLOC_026245_chc	ENST00000429882	TCONS_00114826_chc	3.459	17.833
ENSG00000267882	XLOC_036387_chc	ENST00000599904	TCONS_00179177_chc	6.858	102.127
ENSG00000246863	XLOC_023772_chc	ENST00000558675	TCONS_00098921_chc	5.455	43.269
ENSG00000277268	XLOC_035844_chc	ENST00000612281	TCONS_00175349_chc	4.81	87.544
ENSG00000212694	XLOC_033534_chc	ENST00000537157	TCONS_00160055_chc	8.458	53.737
ENSG00000274253	XLOC_006825_chc	ENST00000619611	TCONS_00019723_chc	5.556	21.525
ENSG00000260337	XLOC_030099_chc	ENST00000620192	TCONS_00138736_chc	4.821	18.641
ENSG00000267321	XLOC_035720_chc	ENST00000592381	TCONS_00174823_chc	4.599	18.875
ENSG00000250564	XLOC_032147_chc	ENST00000512748	TCONS_00151132_chc	4.421	41.216
ENSG00000275871	XLOC_032123_chc	ENST00000622374	TCONS_00150926_chc	5.036	31.553
ENSG00000223999	XLOC_033449_chc	ENST00000438185	TCONS_00159640_chc	4.838	28.293
ENSG00000278834	XLOC_038864_chc	ENST00000619697	TCONS_00195126_chc	11.876	10.075
ENSG00000236003	XLOC_033449_chc	ENST00000420225	TCONS_00159640_chc	5.917	46.649
ENSG00000278912	XLOC_032847_chc	ENST00000624143	TCONS_00155170_chc	5.606	38.976
ENSG00000231074	XLOC_034102_chc	ENST00000444126	TCONS_00164228_chc	5.4	16.565
ENSG00000237372	XLOC_040365_chc	ENST00000617436	TCONS_00201429_chc	4.729	43.532
ENSG00000259415	XLOC_030053_chc	ENST00000559666	TCONS_00138450_chc	4.934	20.457
ENSG00000257453	XLOC_000729_chc	ENST00000552367	TCONS_00023527_chc	5.601	72.918
ENSG00000230848	XLOC_034647_chc	ENST00000414976	TCONS_00166938_chc	4.378	40.417
ENSG00000283215	XLOC_014705_chc	ENST00000635943	TCONS_00057543_chc	3.887	46.266
ENSG00000260588	XLOC_037214_chc	ENST00000563810	TCONS_00185160_chc	7.788	119.596
ENSG00000248809	XLOC_020885_chc	ENST00000507726	TCONS_00082898_chc	6.429	46.936
ENSG00000204044	XLOC_036032_chc	ENST00000535913	TCONS_00177486_chc	3.663	79.307
ENSG00000238184	XLOC_022191_chc	ENST00000413483	TCONS_00092895_chc	7.422	46.003
ENSG00000267296	XLOC_030458_chc	ENST00000592982	TCONS_00141672_chc	9.377	31.278
ENSG00000229282	XLOC_012537_chc	ENST00000433761	TCONS_00044318_chc	3.312	41.461
ENSG00000236618	XLOC_035468_chc	ENST00000425081	TCONS_00173102_chc	6.303	93.056
ENSG00000267278	XLOC_038941_chc	ENST00000586450	TCONS_00195466_chc	4.074	45.681
ENSG00000237125	XLOC_019317_chc	ENST00000503198	TCONS_00077405_chc	4.876	17.234
ENSG00000225936	XLOC_025707_chc	ENST00000425264	TCONS_00110203_chc	10.212	20.765
ENSG00000236700	XLOC_017423_chc	ENST00000431422	TCONS_00065538_chc	3.982	50.495
ENSG00000275445	XLOC_032883_chc	ENST00000612618	TCONS_00155477_chc	8.398	25.877
ENSG00000250133	XLOC_044122_chc	ENST00000604081	TCONS_00215372_chc	7.185	49.323
ENSG00000264067	XLOC_034815_chc	ENST00000577743	TCONS_00168814_chc	5.72	41.73
ENSG00000253837	XLOC_037083_chc	ENST00000519692	TCONS_00184539_chc	7.52	25.717
ENSG00000254325	XLOC_013370_chc	ENST00000518552	TCONS_00046334_chc	5.118	41.352
ENSG00000261595	XLOC_038399_chc	ENST00000566195	TCONS_00192356_chc	5.633	81.777
ENSG00000260417	XLOC_030544_chc	ENST00000567093	TCONS_00142006_chc	6.212	84.557
ENSG00000223729	XLOC_034710_chc	ENST00000417135	TCONS_00167347_chc	4.964	70.534
ENSG00000214039	XLOC_033505_chc	ENST00000291374	TCONS_00163056_chc	5.357	54.242
ENSG00000258582	XLOC_031031_chc	ENST00000557393	TCONS_00144945_chc	3.697	25.093
ENSG00000281560	XLOC_009983_chc	ENST00000626215	TCONS_00037566_chc	6.328	61.259
ENSG00000279243	XLOC_044778_chc	ENST00000622944	TCONS_00217215_chc	5.824	14.76
ENSG00000263218	XLOC_035013_chc	ENST00000576215	TCONS_00169570_chc	6.394	136.948
ENSG00000283078	XLOC_036059_chc	ENST00000635124	TCONS_00177655_chc	5.761	11.054
ENSG00000230623	XLOC_027809_chc	ENST00000637430	TCONS_00123664_chc	4.131	54.525
ENSG00000280989	XLOC_009483_chc	ENST00000630914	TCONS_00036419_chc	6.597	49.863
ENSG00000226869	XLOC_000267_chc	ENST00000450896	TCONS_00001252_chc	3.781	59.641
ENSG00000280064	XLOC_037127_chc	ENST00000622942	TCONS_00184820_chc	5.348	60.997
ENSG00000282759	XLOC_015814_chc	ENST00000633456	TCONS_00069908_chc	5.215	37.7
ENSG00000273466	XLOC_026241_chc	ENST00000607946	TCONS_00114815_chc	4.873	37.521
ENSG00000261829	XLOC_028724_chc	ENST00000568958	TCONS_00130279_chc	8.301	32.973
ENSG00000224992	XLOC_034426_chc	ENST00000451318	TCONS_00165767_chc	6.677	22.256
ENSG00000260592	XLOC_033279_chc	ENST00000561762	TCONS_00157515_chc	3.516	54.228
ENSG00000231428	XLOC_002908_chc	ENST00000411690	TCONS_00009275_chc	4.762	58.64
ENSG00000259561	XLOC_030217_chc	ENST00000557964	TCONS_00139256_chc	5.323	25.084
ENSG00000258931	XLOC_002744_chc	ENST00000557426	TCONS_00008848_chc	6	44.614
ENSG00000237390	XLOC_038170_chc	ENST00000451362	TCONS_00191742_chc	6.787	50.338
ENSG00000230148	XLOC_039021_chc	ENST00000435312	TCONS_00195945_chc	10.963	39.017
ENSG00000225361	XLOC_034419_chc	ENST00000603624	TCONS_00167997_chc	4.789	35.338
ENSG00000249383	XLOC_035047_chc	ENST00000514726	TCONS_00169732_chc	5.437	38.026
ENSG00000278200	XLOC_035302_chc	ENST00000617888	TCONS_00170963_chc	3.759	21.429
ENSG00000230148	XLOC_039022_chc	ENST00000502764	TCONS_00195949_chc	10.096	45.3
ENSG00000266998	XLOC_034895_chc	ENST00000588701	TCONS_00169045_chc	8.354	40.928
ENSG00000226235	XLOC_038512_chc	ENST00000447832	TCONS_00192973_chc	3.801	13.647
ENSG00000272274	XLOC_007070_chc	ENST00000607593	TCONS_00020463_chc	4.412	47.474
ENSG00000231346	XLOC_038434_chc	ENST00000441004	TCONS_00192450_chc	6.406	20.162
ENSG00000216895	XLOC_008467_chc	ENST00000474963	TCONS_00033420_chc	5.833	60.492
ENSG00000275542	XLOC_035309_chc	ENST00000622907	TCONS_00171027_chc	3.888	5.972
ENSG00000255571	XLOC_030080_chc	ENST00000538734	TCONS_00138616_chc	12.483	72.824
ENSG00000262115	XLOC_035035_chc	ENST00000571085	TCONS_00169691_chc	7.302	83.065
ENSG00000262712	XLOC_033364_chc	ENST00000574705	TCONS_00157928_chc	9.834	26.987
ENSG00000266963	XLOC_022539_chc	ENST00000590304	TCONS_00094330_chc	9.968	28.398
ENSG00000258773	XLOC_029662_chc	ENST00000554787	TCONS_00136846_chc	7.773	15.928
ENSG00000237941	XLOC_023467_chc	ENST00000441418	TCONS_00097326_chc	4.519	62.371
ENSG00000205866	XLOC_023487_chc	ENST00000538190	TCONS_00097434_chc	4.434	5.874
ENSG00000259737	XLOC_022549_chc	ENST00000558875	TCONS_00094348_chc	6.476	22.539
ENSG00000255201	XLOC_037170_chc	ENST00000528407	TCONS_00184972_chc	6.416	62.003
ENSG00000232190	XLOC_030569_chc	ENST00000430050	TCONS_00142050_chc	4.591	22.913
ENSG00000264673	XLOC_032773_chc	ENST00000578710	TCONS_00158451_chc	7.797	49.031
ENSG00000182648	XLOC_011408_chc	ENST00000333319	TCONS_00041238_chc	4.418	38.161
ENSG00000274248	XLOC_025946_chc	ENST00000621707	TCONS_00113376_chc	3.858	31.824
ENSG00000247982	XLOC_029982_chc	ENST00000501726	TCONS_00140552_chc	7.415	51.076
ENSG00000279399	XLOC_024666_chc	ENST00000624025	TCONS_00105879_chc	3.276	49.927
ENSG00000230392	XLOC_018624_chc	ENST00000428222	TCONS_00074745_chc	3.241	48.762
ENSG00000278949	XLOC_033484_chc	ENST00000623177	TCONS_00159857_chc	5.971	21.726
ENSG00000281332	XLOC_009301_chc	ENST00000628855	TCONS_00035823_chc	14.815	19.322
ENSG00000269968	XLOC_005736_chc	ENST00000602946	TCONS_00016614_chc	4.865	13.892
ENSG00000274294	XLOC_029723_chc	ENST00000621331	TCONS_00137036_chc	4.825	34.575
ENSG00000273387	XLOC_033670_chc	ENST00000609017	TCONS_00160831_chc	3.851	47.983
ENSG00000272288	XLOC_038612_chc	ENST00000606971	TCONS_00193506_chc	4.289	31.635
ENSG00000241213	XLOC_005875_chc	ENST00000462528	TCONS_00031660_chc	3.414	62.312
ENSG00000262580	XLOC_035016_chc	ENST00000576824	TCONS_00169579_chc	4.613	25.169
ENSG00000246985	XLOC_005000_chc	ENST00000499137	TCONS_00014218_chc	5.068	32.006
ENSG00000224596	XLOC_024693_chc	ENST00000456353	TCONS_00106023_chc	5.768	40.497
ENSG00000255121	XLOC_037753_chc	ENST00000526453	TCONS_00188727_chc	3.697	13.991
ENSG00000279145	XLOC_029519_chc	ENST00000623483	TCONS_00136070_chc	3.764	93.709
ENSG00000244380	XLOC_031685_chc	ENST00000438872	TCONS_00147830_chc	6.225	31.254
ENSG00000262039	XLOC_039011_chc	ENST00000576461	TCONS_00195879_chc	4.173	95.588
ENSG00000279513	XLOC_005818_chc	ENST00000623435	TCONS_00016979_chc	4.065	20.658
ENSG00000278952	XLOC_044782_chc	ENST00000623192	TCONS_00217224_chc	4.333	52.089
ENSG00000281358	XLOC_031467_chc	ENST00000629828	TCONS_00146961_chc	4.047	66.089
ENSG00000273145	XLOC_001453_chc	ENST00000608290	TCONS_00004907_chc	5.7	39.202
ENSG00000204754	XLOC_032464_chc	ENST00000377300	TCONS_00154221_chc	4.659	21.503
ENSG00000260630	XLOC_030589_chc	ENST00000568633	TCONS_00142089_chc	8.204	50.2
ENSG00000278869	XLOC_004482_chc	ENST00000623759	TCONS_00012875_chc	6.591	50.526
ENSG00000237637	XLOC_003688_chc	ENST00000428419	TCONS_00010832_chc	8.514	26.495
ENSG00000264548	XLOC_035149_chc	ENST00000581303	TCONS_00172053_chc	7.998	22.447
ENSG00000250742	XLOC_044120_chc	ENST00000508564	TCONS_00215368_chc	4.357	24.409
ENSG00000275850	XLOC_005711_chc	ENST00000619492	TCONS_00016504_chc	5.905	50.19
ENSG00000235236	XLOC_031276_chc	ENST00000415982	TCONS_00146290_chc	3.768	21.71
ENSG00000238268	XLOC_034267_chc	ENST00000413913	TCONS_00165007_chc	4.666	27.969
ENSG00000260941	XLOC_027869_chc	ENST00000562811	TCONS_00124022_chc	5.186	59.928
ENSG00000253390	XLOC_037170_chc	ENST00000521021	TCONS_00184972_chc	7.436	31.179
ENSG00000271434	XLOC_025107_chc	ENST00000604581	TCONS_00107658_chc	4.237	11.715
ENSG00000265511	XLOC_033182_chc	ENST00000582325	TCONS_00157145_chc	3.985	47.25
ENSG00000229848	XLOC_035034_chc	ENST00000430912	TCONS_00169674_chc	5.819	76.204
ENSG00000264490	XLOC_036089_chc	ENST00000583223	TCONS_00181335_chc	5.457	73.827
ENSG00000255108	XLOC_022231_chc	ENST00000528982	TCONS_00093020_chc	10.755	29.91
ENSG00000226416	XLOC_022204_chc	ENST00000419080	TCONS_00092926_chc	7.308	53.648
ENSG00000260440	XLOC_012579_chc	ENST00000567801	TCONS_00052318_chc	6.096	55.12
ENSG00000260107	XLOC_033240_chc	ENST00000567515	TCONS_00157364_chc	5.073	64.139
ENSG00000261439	XLOC_030311_chc	ENST00000567381	TCONS_00141131_chc	4.535	20.137
ENSG00000259230	XLOC_022949_chc	ENST00000559946	TCONS_00095587_chc	9.623	47.282
ENSG00000241985	XLOC_028884_chc	ENST00000463167	TCONS_00130965_chc	6.979	39.212
ENSG00000236403	XLOC_034693_chc	ENST00000417054	TCONS_00167291_chc	4.765	15.215
ENSG00000214548	XLOC_022910_chc	ENST00000398461	TCONS_00095398_chc	5.46	55.703
ENSG00000230749	XLOC_016529_chc	ENST00000439433	TCONS_00062696_chc	3.69	31.945
ENSG00000268199	XLOC_039263_chc	ENST00000594590	TCONS_00197511_chc	4.478	36.731
ENSG00000276075	XLOC_030249_chc	ENST00000621378	TCONS_00140886_chc	4.59	26.814
ENSG00000283480	XLOC_009483_chc	ENST00000637901	TCONS_00036419_chc	6.529	52.203
ENSG00000278915	XLOC_032270_chc	ENST00000624566	TCONS_00151649_chc	9.994	33.366
ENSG00000254254	XLOC_010455_chc	ENST00000518662	TCONS_00038792_chc	4.259	43.715
ENSG00000261080	XLOC_018475_chc	ENST00000563807	TCONS_00072435_chc	3.263	20.24
ENSG00000229847	XLOC_025026_chc	ENST00000440007	TCONS_00107370_chc	10.116	58.485
ENSG00000167046	XLOC_036435_chc	ENST00000370520	TCONS_00179310_chc	6.069	46.746
ENSG00000246662	XLOC_013670_chc	ENST00000501400	TCONS_00047076_chc	4.333	5.385
ENSG00000279334	XLOC_033840_chc	ENST00000624271	TCONS_00161556_chc	5.802	20.357
ENSG00000277559	XLOC_030756_chc	ENST00000616682	TCONS_00142924_chc	8.482	95.48
ENSG00000228630	XLOC_044126_chc	ENST00000453875	TCONS_00215415_chc	3.668	136.277
ENSG00000277013	XLOC_030455_chc	ENST00000610908	TCONS_00141641_chc	7.076	33.145
ENSG00000272572	XLOC_024881_chc	ENST00000608554	TCONS_00106824_chc	4.272	53.013
ENSG00000246174	XLOC_008143_chc	ENST00000500113	TCONS_00022631_chc	4.545	38.852
ENSG00000258736	XLOC_024233_chc	ENST00000553433	TCONS_00100501_chc	4.676	20.45
ENSG00000263276	XLOC_030680_chc	ENST00000571975	TCONS_00142604_chc	5.389	55.14
ENSG00000255507	XLOC_004119_chc	ENST00000529719	TCONS_00011941_chc	4.342	59.655
