human gene	cow gene	human transcript	cow transcript	motif-pattern similarity score	gap penalty score
ENSG00000278948	XLOC_013971_cow	ENST00000624344	TCONS_00045443_cow	4.134	9.513
ENSG00000261471	XLOC_044993_cow	ENST00000564809	TCONS_00153736_cow	5.085	60.087
ENSG00000223695	XLOC_013517_cow	ENST00000424761	TCONS_00044166_cow	4.724	32.025
ENSG00000260805	XLOC_041721_cow	ENST00000564287	TCONS_00140710_cow	11.01	72.187
ENSG00000260088	XLOC_041832_cow	ENST00000568695	TCONS_00140992_cow	18.185	52.166
ENSG00000267219	XLOC_046717_cow	ENST00000591311	TCONS_00159983_cow	6.741	30.997
ENSG00000254860	XLOC_038994_cow	ENST00000525484	TCONS_00131574_cow	4.331	18.527
ENSG00000188477	XLOC_059914_cow	ENST00000468219	TCONS_00210716_cow	6.95	32.309
ENSG00000265194	XLOC_021748_cow	ENST00000581788	TCONS_00079253_cow	6.154	68.064
ENSG00000215014	XLOC_042467_cow	ENST00000366221	TCONS_00145280_cow	6.365	52.275
ENSG00000253837	XLOC_022268_cow	ENST00000519692	TCONS_00074796_cow	7.736	54.087
ENSG00000205334	XLOC_029921_cow	ENST00000379677	TCONS_00099931_cow	6.209	62.204
ENSG00000235994	XLOC_026066_cow	ENST00000441716	TCONS_00085816_cow	7.064	25.261
ENSG00000203601	XLOC_042226_cow	ENST00000366408	TCONS_00142008_cow	9.097	110.654
ENSG00000264673	XLOC_049478_cow	ENST00000578710	TCONS_00171900_cow	8.893	20.196
ENSG00000178412	XLOC_057435_cow	ENST00000317008	TCONS_00202292_cow	5.945	87.429
ENSG00000268460	XLOC_045733_cow	ENST00000596066	TCONS_00163637_cow	8.336	49.209
ENSG00000205885	XLOC_015472_cow	ENST00000435921	TCONS_00049497_cow	5.128	66.706
ENSG00000255507	XLOC_039239_cow	ENST00000529719	TCONS_00132314_cow	4.827	108.955
ENSG00000233825	XLOC_035574_cow	ENST00000412085	TCONS_00122391_cow	4.549	53.57
ENSG00000272625	XLOC_057737_cow	ENST00000608032	TCONS_00202994_cow	6.535	32.2
ENSG00000224376	XLOC_004496_cow	ENST00000418050	TCONS_00012994_cow	4.604	73.725
ENSG00000241295	XLOC_000470_cow	ENST00000478301	TCONS_00001078_cow	3.871	45.971
ENSG00000268191	XLOC_020313_cow	ENST00000596027	TCONS_00067184_cow	10.753	61.465
ENSG00000262966	XLOC_049411_cow	ENST00000574307	TCONS_00171677_cow	8.088	39.904
ENSG00000260947	XLOC_022318_cow	ENST00000566968	TCONS_00074923_cow	4.887	30.721
ENSG00000258727	XLOC_027852_cow	ENST00000555968	TCONS_00092702_cow	9.911	29.896
ENSG00000225285	XLOC_041463_cow	ENST00000417917	TCONS_00139918_cow	13.618	43.596
ENSG00000234327	XLOC_049328_cow	ENST00000623522	TCONS_00171135_cow	5.975	25.177
ENSG00000237410	XLOC_064520_cow	ENST00000433606	TCONS_00227738_cow	4.435	30.381
ENSG00000249669	XLOC_019481_cow	ENST00000505254	TCONS_00064757_cow	5.016	95.504
ENSG00000227619	XLOC_030327_cow	ENST00000443993	TCONS_00101087_cow	12.871	35.918
ENSG00000185168	XLOC_048583_cow	ENST00000577000	TCONS_00168953_cow	4.084	9.014
ENSG00000225484	XLOC_063882_cow	ENST00000610681	TCONS_00224921_cow	8.151	10.006
ENSG00000251045	XLOC_020754_cow	ENST00000508452	TCONS_00068695_cow	5.471	8.426
ENSG00000280402	XLOC_058873_cow	ENST00000625130	TCONS_00207294_cow	6.808	29.795
ENSG00000280486	XLOC_020671_cow	ENST00000626781	TCONS_00068440_cow	3.647	44.125
ENSG00000206573	XLOC_053934_cow	ENST00000498199	TCONS_00189085_cow	3.285	94.583
ENSG00000268636	XLOC_047116_cow	ENST00000600665	TCONS_00161572_cow	5.784	41.915
ENSG00000235257	XLOC_054640_cow	ENST00000366441	TCONS_00191108_cow	12.147	64.682
ENSG00000261693	XLOC_037573_cow	ENST00000569285	TCONS_00126643_cow	6.844	42.466
ENSG00000253552	XLOC_010557_cow	ENST00000517635	TCONS_00034409_cow	9.374	30.199
ENSG00000280038	XLOC_053032_cow	ENST00000623634	TCONS_00184878_cow	7.884	67.049
ENSG00000263235	XLOC_059738_cow	ENST00000570409	TCONS_00210296_cow	4.575	32.76
ENSG00000247934	XLOC_013585_cow	ENST00000617468	TCONS_00051325_cow	5.903	33.88
ENSG00000267395	XLOC_045715_cow	ENST00000590076	TCONS_00156331_cow	13.462	42.482
ENSG00000229191	XLOC_041843_cow	ENST00000458003	TCONS_00141012_cow	6.839	31.563
ENSG00000260114	XLOC_059219_cow	ENST00000567795	TCONS_00208484_cow	4.896	21.592
ENSG00000268287	XLOC_047089_cow	ENST00000599209	TCONS_00164585_cow	6.323	57.456
ENSG00000243766	XLOC_010557_cow	ENST00000614457	TCONS_00034408_cow	3.825	58.103
ENSG00000237159	XLOC_022329_cow	ENST00000453642	TCONS_00074962_cow	3.809	45.152
ENSG00000272942	XLOC_043730_cow	ENST00000609330	TCONS_00148250_cow	3.81	42.732
ENSG00000278920	XLOC_043805_cow	ENST00000623789	TCONS_00148579_cow	14.945	47.365
ENSG00000204277	XLOC_048635_cow	ENST00000374945	TCONS_00169161_cow	5.245	60.63
ENSG00000244215	XLOC_054522_cow	ENST00000488425	TCONS_00190771_cow	5.918	64.268
ENSG00000260107	XLOC_058871_cow	ENST00000567515	TCONS_00207235_cow	5.206	28.043
ENSG00000235840	XLOC_003977_cow	ENST00000437837	TCONS_00011712_cow	3.287	7.937
ENSG00000281207	XLOC_009503_cow	ENST00000626479	TCONS_00029370_cow	7.366	17.493
ENSG00000237886	XLOC_030431_cow	ENST00000450304	TCONS_00101422_cow	3.965	41.698
ENSG00000262920	XLOC_049237_cow	ENST00000572998	TCONS_00170814_cow	5.445	19.828
ENSG00000278957	XLOC_030881_cow	ENST00000623734	TCONS_00102787_cow	6.607	47.693
ENSG00000280087	XLOC_045703_cow	ENST00000623895	TCONS_00156290_cow	8.383	60.467
ENSG00000239608	XLOC_055275_cow	ENST00000485218	TCONS_00193210_cow	5.969	28.865
ENSG00000259713	XLOC_052049_cow	ENST00000559041	TCONS_00181803_cow	8.543	17.135
ENSG00000266261	XLOC_048079_cow	ENST00000584540	TCONS_00174963_cow	6.891	46.971
ENSG00000224865	XLOC_010853_cow	ENST00000452219	TCONS_00035214_cow	4.273	55.96
ENSG00000258515	XLOC_028044_cow	ENST00000555435	TCONS_00093145_cow	4.01	40.044
ENSG00000261534	XLOC_031544_cow	ENST00000567068	TCONS_00104529_cow	9.728	22.635
ENSG00000268050	XLOC_030324_cow	ENST00000599172	TCONS_00101075_cow	11.324	23.659
ENSG00000235143	XLOC_006052_cow	ENST00000431202	TCONS_00016952_cow	5.285	59.44
ENSG00000236535	XLOC_042528_cow	ENST00000421851	TCONS_00143196_cow	6.729	25.807
ENSG00000280023	XLOC_045507_cow	ENST00000624007	TCONS_00155436_cow	7.735	11.619
ENSG00000260034	XLOC_059998_cow	ENST00000562280	TCONS_00210894_cow	4.036	47.504
ENSG00000261723	XLOC_059140_cow	ENST00000561764	TCONS_00208178_cow	4.113	59.726
ENSG00000259615	XLOC_052974_cow	ENST00000560477	TCONS_00184581_cow	4.627	23.103
ENSG00000262833	XLOC_048594_cow	ENST00000570335	TCONS_00168993_cow	6.539	62.735
ENSG00000248954	XLOC_048212_cow	ENST00000515692	TCONS_00167645_cow	5.791	26.445
ENSG00000238197	XLOC_001580_cow	ENST00000440052	TCONS_00003852_cow	7.263	42.44
ENSG00000272654	XLOC_008355_cow	ENST00000608236	TCONS_00026337_cow	6.674	18.402
ENSG00000261889	XLOC_059710_cow	ENST00000570843	TCONS_00210195_cow	6.03	38.589
ENSG00000180279	XLOC_045855_cow	ENST00000634979	TCONS_00156928_cow	4.219	32.391
ENSG00000197670	XLOC_035185_cow	ENST00000424252	TCONS_00118040_cow	3.34	52.054
ENSG00000224152	XLOC_005234_cow	ENST00000418474	TCONS_00018725_cow	7.363	11.68
ENSG00000267416	XLOC_047621_cow	ENST00000589740	TCONS_00165721_cow	5.272	150.219
ENSG00000263843	XLOC_050084_cow	ENST00000585075	TCONS_00174204_cow	8.35	27.659
ENSG00000180422	XLOC_045071_cow	ENST00000565008	TCONS_00154033_cow	7.004	109.404
ENSG00000278915	XLOC_020836_cow	ENST00000624566	TCONS_00068972_cow	5.932	43.705
ENSG00000233183	XLOC_055455_cow	ENST00000451317	TCONS_00195313_cow	4.648	78.532
ENSG00000260271	XLOC_025600_cow	ENST00000569865	TCONS_00084788_cow	6.14	95.297
ENSG00000232807	XLOC_034136_cow	ENST00000397264	TCONS_00114888_cow	10.833	24.081
ENSG00000265205	XLOC_049176_cow	ENST00000578819	TCONS_00170618_cow	4.961	27.591
ENSG00000237380	XLOC_003511_cow	ENST00000440016	TCONS_00010764_cow	6.618	76.873
ENSG00000235007	XLOC_030311_cow	ENST00000427080	TCONS_00101041_cow	7.795	24.477
ENSG00000279201	XLOC_030707_cow	ENST00000624449	TCONS_00102213_cow	6.136	60.093
ENSG00000248538	XLOC_062091_cow	ENST00000417333	TCONS_00219505_cow	3.883	13.441
ENSG00000198547	XLOC_036038_cow	ENST00000360785	TCONS_00120364_cow	5.386	40.443
ENSG00000247373	XLOC_043482_cow	ENST00000498967	TCONS_00147413_cow	19.073	30.721
ENSG00000230725	XLOC_035718_cow	ENST00000454676	TCONS_00122488_cow	6.437	29.36
ENSG00000249310	XLOC_015623_cow	ENST00000513758	TCONS_00050164_cow	4.948	95.005
ENSG00000279140	XLOC_053628_cow	ENST00000625139	TCONS_00186409_cow	7.365	24.547
ENSG00000260274	XLOC_053140_cow	ENST00000563278	TCONS_00185172_cow	9.837	52.901
ENSG00000225855	XLOC_006692_cow	ENST00000450199	TCONS_00021440_cow	9.489	43.414
ENSG00000238057	XLOC_005370_cow	ENST00000428623	TCONS_00015285_cow	12.339	0.866
ENSG00000241720	XLOC_008753_cow	ENST00000431955	TCONS_00027383_cow	3.976	88.313
ENSG00000168367	XLOC_046316_cow	ENST00000594203	TCONS_00158763_cow	7.326	25.537
ENSG00000262580	XLOC_048599_cow	ENST00000576824	TCONS_00169002_cow	4.029	38.665
ENSG00000259475	XLOC_051895_cow	ENST00000559468	TCONS_00181498_cow	7.418	37.539
ENSG00000280073	XLOC_027272_cow	ENST00000624684	TCONS_00091119_cow	6.159	51.93
ENSG00000248986	XLOC_017020_cow	ENST00000503186	TCONS_00055801_cow	4.671	35.584
ENSG00000261543	XLOC_053146_cow	ENST00000561647	TCONS_00185207_cow	6.112	32.835
ENSG00000228703	XLOC_007087_cow	ENST00000369843	TCONS_00022569_cow	4.563	45.166
ENSG00000259782	XLOC_059980_cow	ENST00000561624	TCONS_00210863_cow	3.588	76.029
ENSG00000260588	XLOC_062797_cow	ENST00000563810	TCONS_00221173_cow	6.508	23.561
ENSG00000259357	XLOC_008430_cow	ENST00000560481	TCONS_00026526_cow	3.898	13.614
ENSG00000268886	XLOC_047173_cow	ENST00000599222	TCONS_00161810_cow	4.224	14.819
ENSG00000231064	XLOC_008317_cow	ENST00000447623	TCONS_00026167_cow	9.204	42.371
ENSG00000227407	XLOC_046031_cow	ENST00000457113	TCONS_00157727_cow	5.016	81.847
ENSG00000244502	XLOC_054461_cow	ENST00000424112	TCONS_00190600_cow	5.413	74.075
ENSG00000234913	XLOC_015583_cow	ENST00000441167	TCONS_00049951_cow	7.743	27.813
ENSG00000261829	XLOC_004487_cow	ENST00000568958	TCONS_00012986_cow	9.412	19.242
ENSG00000260852	XLOC_060086_cow	ENST00000563777	TCONS_00211275_cow	17.304	54.173
ENSG00000236908	XLOC_015538_cow	ENST00000432994	TCONS_00049736_cow	6.795	85.817
ENSG00000255136	XLOC_040330_cow	ENST00000530792	TCONS_00135065_cow	5.626	12.939
ENSG00000248516	XLOC_018172_cow	ENST00000509015	TCONS_00060129_cow	3.858	11.011
ENSG00000263013	XLOC_059817_cow	ENST00000570440	TCONS_00210536_cow	10.189	17.837
ENSG00000266947	XLOC_047705_cow	ENST00000590478	TCONS_00165928_cow	5.458	67.951
ENSG00000257477	XLOC_014440_cow	ENST00000548617	TCONS_00046738_cow	7.31	58.122
ENSG00000273891	XLOC_061640_cow	ENST00000620490	TCONS_00217296_cow	5.16	31.919
ENSG00000214548	XLOC_052617_cow	ENST00000455531	TCONS_00183384_cow	31.25	34.863
ENSG00000214894	XLOC_055856_cow	ENST00000399196	TCONS_00196716_cow	9.661	90.176
ENSG00000267834	XLOC_030356_cow	ENST00000594418	TCONS_00101191_cow	7.676	15.98
ENSG00000224592	XLOC_009547_cow	ENST00000428151	TCONS_00029495_cow	9.201	42.255
ENSG00000280099	XLOC_007347_cow	ENST00000624216	TCONS_00023213_cow	4.047	69.3
ENSG00000266963	XLOC_045580_cow	ENST00000590304	TCONS_00155746_cow	6.668	32.896
ENSG00000255153	XLOC_065418_cow	ENST00000530897	TCONS_00230304_cow	5.018	64.563
ENSG00000279708	XLOC_052050_cow	ENST00000624115	TCONS_00181809_cow	9.291	35.222
ENSG00000256694	XLOC_013956_cow	ENST00000540136	TCONS_00045368_cow	4.508	19.652
ENSG00000251602	XLOC_053638_cow	ENST00000551271	TCONS_00186431_cow	9.593	19.566
ENSG00000238197	XLOC_001580_cow	ENST00000458479	TCONS_00008107_cow	5.343	47.451
ENSG00000235527	XLOC_007003_cow	ENST00000450706	TCONS_00022325_cow	3.899	16.217
ENSG00000215039	XLOC_013872_cow	ENST00000504270	TCONS_00045099_cow	4.74	132.69
ENSG00000246465	XLOC_060035_cow	ENST00000501520	TCONS_00211022_cow	8.432	33.468
ENSG00000255326	XLOC_040362_cow	ENST00000527803	TCONS_00135151_cow	9.705	31.763
ENSG00000269352	XLOC_047106_cow	ENST00000601893	TCONS_00161510_cow	4.156	30.705
ENSG00000267342	XLOC_050071_cow	ENST00000587267	TCONS_00174118_cow	6.022	54.849
ENSG00000237579	XLOC_060728_cow	ENST00000434189	TCONS_00214612_cow	5.225	99.7
ENSG00000258001	XLOC_014853_cow	ENST00000547552	TCONS_00047898_cow	3.858	7.895
ENSG00000261654	XLOC_007051_cow	ENST00000562952	TCONS_00022481_cow	7.922	47.745
ENSG00000250237	XLOC_050481_cow	ENST00000479830	TCONS_00177361_cow	7.852	62.098
ENSG00000197251	XLOC_056459_cow	ENST00000477984	TCONS_00198192_cow	6.866	71.291
ENSG00000270184	XLOC_045004_cow	ENST00000602706	TCONS_00153788_cow	9.161	49.127
ENSG00000271522	XLOC_010837_cow	ENST00000604514	TCONS_00035153_cow	7.612	32.692
ENSG00000229807	XLOC_066188_cow	ENST00000434839	TCONS_00233413_cow	7.609	39.72
ENSG00000280381	XLOC_043480_cow	ENST00000624878	TCONS_00147405_cow	4.645	88.875
ENSG00000267432	XLOC_050023_cow	ENST00000598378	TCONS_00173875_cow	7.598	106.935
ENSG00000281162	XLOC_029180_cow	ENST00000625702	TCONS_00098207_cow	3.969	42.406
ENSG00000230551	XLOC_020941_cow	ENST00000499521	TCONS_00069279_cow	7.291	122.85
ENSG00000243766	XLOC_011885_cow	ENST00000521028	TCONS_00040342_cow	6.634	35.073
ENSG00000274272	XLOC_059422_cow	ENST00000485071	TCONS_00209113_cow	12.917	242.924
ENSG00000272720	XLOC_013985_cow	ENST00000609162	TCONS_00045493_cow	8.181	19.532
ENSG00000232043	XLOC_036302_cow	ENST00000431019	TCONS_00121180_cow	8.043	49.36
ENSG00000184608	XLOC_022794_cow	ENST00000533578	TCONS_00076174_cow	9.113	61.309
ENSG00000279583	XLOC_060056_cow	ENST00000623486	TCONS_00211117_cow	4.658	23.114
ENSG00000247498	XLOC_015347_cow	ENST00000394742	TCONS_00049097_cow	5.568	44.319
ENSG00000273002	XLOC_008301_cow	ENST00000610146	TCONS_00026100_cow	9.42	76.94
ENSG00000262877	XLOC_048586_cow	ENST00000571724	TCONS_00168983_cow	18.482	28.361
ENSG00000274695	XLOC_044314_cow	ENST00000611714	TCONS_00149948_cow	4.228	112.03
ENSG00000124835	XLOC_009665_cow	ENST00000244820	TCONS_00029805_cow	4.722	112.433
ENSG00000279619	XLOC_045517_cow	ENST00000624372	TCONS_00155473_cow	19.57	47.97
ENSG00000279095	XLOC_045701_cow	ENST00000623022	TCONS_00156246_cow	9.436	37.534
ENSG00000250751	XLOC_048189_cow	ENST00000512720	TCONS_00167527_cow	6.362	26.334
ENSG00000223343	XLOC_054300_cow	ENST00000452042	TCONS_00190008_cow	4.429	31.796
ENSG00000277170	XLOC_058948_cow	ENST00000614983	TCONS_00207620_cow	7.782	26.115
ENSG00000256904	XLOC_015409_cow	ENST00000394240	TCONS_00049308_cow	5.473	74.272
ENSG00000179066	XLOC_045479_cow	ENST00000313865	TCONS_00155313_cow	5.867	50.608
ENSG00000239322	XLOC_029271_cow	ENST00000447639	TCONS_00098470_cow	6.228	66.327
ENSG00000272588	XLOC_018212_cow	ENST00000607877	TCONS_00060187_cow	6.746	17.205
ENSG00000234476	XLOC_042150_cow	ENST00000428642	TCONS_00141831_cow	5.181	52.255
ENSG00000279927	XLOC_013505_cow	ENST00000623420	TCONS_00044052_cow	6.002	28.275
ENSG00000224743	XLOC_032297_cow	ENST00000588425	TCONS_00109203_cow	3.751	30.672
ENSG00000197815	XLOC_048143_cow	ENST00000354746	TCONS_00167396_cow	7.702	49.823
ENSG00000261455	XLOC_011174_cow	ENST00000564834	TCONS_00039953_cow	6.393	75.613
ENSG00000259705	XLOC_028462_cow	ENST00000558061	TCONS_00094127_cow	3.502	10.677
ENSG00000227036	XLOC_048770_cow	ENST00000457958	TCONS_00169665_cow	5.24	65.941
ENSG00000279266	XLOC_064933_cow	ENST00000623701	TCONS_00228952_cow	9.993	114.473
ENSG00000280153	XLOC_059009_cow	ENST00000625054	TCONS_00212717_cow	5.884	49.1
ENSG00000255737	XLOC_014836_cow	ENST00000542466	TCONS_00052029_cow	5.245	45.741
ENSG00000203258	XLOC_038971_cow	ENST00000454086	TCONS_00131533_cow	5.305	32.824
ENSG00000237513	XLOC_010329_cow	ENST00000415513	TCONS_00033887_cow	5.974	15.887
ENSG00000224730	XLOC_046029_cow	ENST00000456337	TCONS_00157701_cow	6.99	25.872
ENSG00000203709	XLOC_041776_cow	ENST00000608023	TCONS_00140850_cow	13.612	71.309
ENSG00000227640	XLOC_032634_cow	ENST00000438290	TCONS_00109924_cow	22.707	20.062
ENSG00000274215	XLOC_052908_cow	ENST00000614509	TCONS_00184356_cow	3.805	30.561
ENSG00000235475	XLOC_060195_cow	ENST00000430244	TCONS_00211511_cow	9.806	47.379
ENSG00000267417	XLOC_018708_cow	ENST00000586630	TCONS_00062155_cow	9.559	41.523
ENSG00000228544	XLOC_031787_cow	ENST00000414656	TCONS_00105381_cow	6.767	35.025
ENSG00000250432	XLOC_012884_cow	ENST00000513381	TCONS_00042278_cow	3.472	91.851
ENSG00000258399	XLOC_052617_cow	ENST00000637474	TCONS_00183385_cow	4.77	41.848
ENSG00000278913	XLOC_051694_cow	ENST00000624837	TCONS_00179861_cow	3.901	29.816
ENSG00000272798	XLOC_044618_cow	ENST00000609964	TCONS_00150909_cow	4.849	33.043
ENSG00000280424	XLOC_014155_cow	ENST00000624893	TCONS_00045980_cow	9.93	18.148
ENSG00000267493	XLOC_020702_cow	ENST00000585832	TCONS_00068554_cow	7.466	57.368
ENSG00000254034	XLOC_022827_cow	ENST00000520055	TCONS_00076271_cow	6.048	47.313
ENSG00000248242	XLOC_016241_cow	ENST00000515127	TCONS_00059309_cow	3.868	33.67
ENSG00000229971	XLOC_013527_cow	ENST00000433970	TCONS_00044184_cow	5.383	246.721
ENSG00000277559	XLOC_046452_cow	ENST00000616682	TCONS_00159236_cow	10.015	93.944
ENSG00000267890	XLOC_045829_cow	ENST00000600998	TCONS_00156812_cow	7.014	19.012
ENSG00000227744	XLOC_009695_cow	ENST00000455228	TCONS_00029920_cow	6.595	56.579
ENSG00000279162	XLOC_059681_cow	ENST00000624546	TCONS_00210116_cow	9.516	57.068
ENSG00000236403	XLOC_030495_cow	ENST00000417054	TCONS_00101622_cow	4.57	27.096
ENSG00000261177	XLOC_046308_cow	ENST00000563931	TCONS_00158735_cow	5.743	68.848
ENSG00000212694	XLOC_043504_cow	ENST00000429892	TCONS_00147503_cow	8.052	31.705
ENSG00000247903	XLOC_015201_cow	ENST00000500632	TCONS_00048862_cow	7.145	19.859
ENSG00000233101	XLOC_049589_cow	ENST00000487849	TCONS_00172410_cow	10.28	17.024
ENSG00000255717	XLOC_065180_cow	ENST00000538654	TCONS_00229587_cow	4.45	26.676
ENSG00000255946	XLOC_044557_cow	ENST00000542620	TCONS_00150753_cow	4.483	30.911
ENSG00000251562	XLOC_064538_cow	ENST00000508832	TCONS_00227819_cow	7.272	4.062
ENSG00000269898	XLOC_045005_cow	ENST00000602789	TCONS_00153781_cow	4.671	10.724
ENSG00000266711	XLOC_050023_cow	ENST00000583980	TCONS_00173876_cow	4.807	54.043
ENSG00000203356	XLOC_007670_cow	ENST00000366181	TCONS_00023975_cow	7.303	57.071
ENSG00000268906	XLOC_047119_cow	ENST00000594910	TCONS_00161584_cow	6.404	36.83
ENSG00000281398	XLOC_019339_cow	ENST00000514110	TCONS_00064262_cow	5.873	51.774
ENSG00000250222	XLOC_019132_cow	ENST00000514487	TCONS_00063619_cow	7.157	27.026
ENSG00000272167	XLOC_041673_cow	ENST00000607258	TCONS_00140546_cow	7.822	58.569
ENSG00000251405	XLOC_021042_cow	ENST00000509655	TCONS_00069564_cow	9.204	53.723
ENSG00000250541	XLOC_016471_cow	ENST00000510905	TCONS_00054630_cow	6.508	154.432
ENSG00000267943	XLOC_045953_cow	ENST00000596769	TCONS_00157335_cow	7.62	40.041
ENSG00000231050	XLOC_042464_cow	ENST00000412228	TCONS_00142890_cow	3.889	58.683
ENSG00000270605	XLOC_004599_cow	ENST00000604716	TCONS_00013289_cow	12.422	51.88
ENSG00000204283	XLOC_048660_cow	ENST00000374983	TCONS_00169216_cow	12.722	56.74
ENSG00000261346	XLOC_060086_cow	ENST00000569459	TCONS_00211275_cow	5.455	37.51
ENSG00000273419	XLOC_012415_cow	ENST00000608963	TCONS_00039014_cow	4.803	34.925
ENSG00000236668	XLOC_031566_cow	ENST00000453529	TCONS_00104588_cow	5.146	81.282
ENSG00000262313	XLOC_048583_cow	ENST00000576032	TCONS_00168953_cow	4.699	86.474
ENSG00000214691	XLOC_029407_cow	ENST00000442214	TCONS_00098784_cow	6.549	66.402
ENSG00000233642	XLOC_035472_cow	ENST00000449643	TCONS_00118733_cow	10.103	56.122
ENSG00000234638	XLOC_005848_cow	ENST00000431827	TCONS_00016469_cow	4.018	9.474
ENSG00000262810	XLOC_047861_cow	ENST00000571815	TCONS_00166398_cow	7.386	28.181
ENSG00000248866	XLOC_016687_cow	ENST00000503051	TCONS_00055051_cow	8.882	24.982
ENSG00000259495	XLOC_053051_cow	ENST00000559008	TCONS_00184922_cow	3.479	11.605
ENSG00000231754	XLOC_056105_cow	ENST00000637411	TCONS_00197346_cow	5.678	20.421
ENSG00000203362	XLOC_056626_cow	ENST00000417591	TCONS_00198771_cow	18.094	46.404
ENSG00000266979	XLOC_049797_cow	ENST00000589259	TCONS_00173167_cow	6.942	15.762
ENSG00000230967	XLOC_061346_cow	ENST00000450669	TCONS_00216490_cow	7.964	44.228
ENSG00000264548	XLOC_049952_cow	ENST00000581303	TCONS_00173680_cow	10.353	28.731
ENSG00000254428	XLOC_039926_cow	ENST00000531087	TCONS_00134034_cow	4.284	63.657
ENSG00000243766	XLOC_011890_cow	ENST00000472494	TCONS_00037779_cow	8.574	124.381
ENSG00000196273	XLOC_052617_cow	ENST00000556697	TCONS_00183382_cow	28.387	23.076
ENSG00000232598	XLOC_056520_cow	ENST00000427609	TCONS_00198429_cow	3.569	23.573
ENSG00000233214	XLOC_046755_cow	ENST00000413796	TCONS_00164352_cow	6.712	73.991
ENSG00000254443	XLOC_040175_cow	ENST00000531479	TCONS_00134618_cow	3.927	20.156
ENSG00000245248	XLOC_038844_cow	ENST00000498979	TCONS_00131169_cow	5.215	61.12
ENSG00000228559	XLOC_055488_cow	ENST00000450618	TCONS_00195469_cow	6.976	68.796
ENSG00000279738	XLOC_013973_cow	ENST00000623726	TCONS_00045449_cow	8.582	317.701
ENSG00000275198	XLOC_027530_cow	ENST00000615251	TCONS_00091842_cow	3.96	31.028
ENSG00000264769	XLOC_049945_cow	ENST00000580897	TCONS_00173652_cow	7.744	42.026
ENSG00000226770	XLOC_010785_cow	ENST00000448311	TCONS_00034982_cow	3.532	25.126
ENSG00000263787	XLOC_049597_cow	ENST00000582246	TCONS_00172424_cow	8.561	31.335
ENSG00000233002	XLOC_049468_cow	ENST00000434017	TCONS_00171853_cow	4.497	36.469
ENSG00000253196	XLOC_037573_cow	ENST00000523657	TCONS_00126643_cow	4.037	60.092
ENSG00000279484	XLOC_009687_cow	ENST00000623136	TCONS_00029878_cow	3.54	88.851
ENSG00000234859	XLOC_048332_cow	ENST00000432258	TCONS_00168062_cow	3.852	23.212
ENSG00000255092	XLOC_040552_cow	ENST00000532524	TCONS_00135572_cow	7.27	32.094
ENSG00000283175	XLOC_002262_cow	ENST00000636210	TCONS_00005323_cow	5.801	22.949
ENSG00000233223	XLOC_049383_cow	ENST00000573187	TCONS_00171509_cow	5.962	26.902
ENSG00000267353	XLOC_045538_cow	ENST00000588717	TCONS_00155570_cow	5.197	31.531
ENSG00000274215	XLOC_052908_cow	ENST00000614509	TCONS_00184357_cow	5.025	61.056
ENSG00000233978	XLOC_030855_cow	ENST00000438736	TCONS_00102718_cow	4.999	18.581
ENSG00000258584	XLOC_053424_cow	ENST00000555732	TCONS_00185885_cow	4.365	53.735
ENSG00000269947	XLOC_047996_cow	ENST00000602597	TCONS_00166856_cow	6.485	67.802
ENSG00000279833	XLOC_014012_cow	ENST00000624656	TCONS_00045588_cow	7.123	28.08
ENSG00000278922	XLOC_059219_cow	ENST00000624451	TCONS_00208481_cow	21.026	24.486
ENSG00000233016	XLOC_031784_cow	ENST00000447221	TCONS_00105377_cow	8.665	36.148
ENSG00000268149	XLOC_020263_cow	ENST00000595655	TCONS_00067007_cow	8.274	56.345
ENSG00000274895	XLOC_041680_cow	ENST00000610409	TCONS_00140584_cow	8.275	36.617
ENSG00000256440	XLOC_013606_cow	ENST00000545704	TCONS_00044356_cow	3.38	49.102
ENSG00000249341	XLOC_017855_cow	ENST00000506950	TCONS_00057848_cow	4.181	56.723
ENSG00000255118	XLOC_065175_cow	ENST00000400902	TCONS_00229526_cow	3.26	41.065
ENSG00000236754	XLOC_013919_cow	ENST00000611039	TCONS_00045242_cow	10.517	31.247
ENSG00000232416	XLOC_002786_cow	ENST00000418282	TCONS_00006482_cow	4.179	95.122
ENSG00000255571	XLOC_052049_cow	ENST00000560596	TCONS_00181806_cow	3.861	32.631
ENSG00000268266	XLOC_046089_cow	ENST00000594562	TCONS_00157936_cow	3.587	35.334
ENSG00000256569	XLOC_044556_cow	ENST00000544939	TCONS_00152641_cow	3.809	36.637
ENSG00000224691	XLOC_042681_cow	ENST00000428391	TCONS_00143570_cow	6.609	60.503
ENSG00000278887	XLOC_059229_cow	ENST00000624024	TCONS_00208518_cow	6.857	27.774
ENSG00000280053	XLOC_055310_cow	ENST00000625022	TCONS_00193325_cow	6.283	50.425
ENSG00000267219	XLOC_046717_cow	ENST00000591311	TCONS_00159982_cow	6.294	25.547
ENSG00000261347	XLOC_064634_cow	ENST00000567742	TCONS_00228258_cow	7.008	74.466
ENSG00000273391	XLOC_012286_cow	ENST00000608266	TCONS_00038679_cow	6.464	206.667
ENSG00000232084	XLOC_029166_cow	ENST00000452354	TCONS_00098178_cow	6.17	38.927
