human gene	zebrafish gene	human transcript	zebrafish transcript	motif-pattern similarity score	gap penalty score
ENSG00000255135	XLOC_036344_zbf	ENST00000530759	TCONS_00102592_zbf	5.907	133.755
ENSG00000249094	XLOC_013893_zbf	ENST00000446473	TCONS_00037068_zbf	4.474	49.088
ENSG00000272888	XLOC_023104_zbf	ENST00000554894	TCONS_00063954_zbf	6.162	52.776
ENSG00000236535	XLOC_044456_zbf	ENST00000421851	TCONS_00126529_zbf	7.926	47.662
ENSG00000259307	XLOC_041005_zbf	ENST00000559520	TCONS_00115631_zbf	6.23	22.533
ENSG00000261668	XLOC_036070_zbf	ENST00000565254	TCONS_00101725_zbf	12.034	20.39
ENSG00000269935	XLOC_018933_zbf	ENST00000602388	TCONS_00051987_zbf	5.429	152.473
ENSG00000278126	XLOC_046148_zbf	ENST00000620274	TCONS_00131564_zbf	4.08	77.321
ENSG00000258497	XLOC_034560_zbf	ENST00000555328	TCONS_00097894_zbf	3.834	62.854
ENSG00000279878	XLOC_047860_zbf	ENST00000623008	TCONS_00136969_zbf	6.764	45.493
ENSG00000275880	XLOC_022268_zbf	ENST00000611744	TCONS_00061466_zbf	7.451	134.665
ENSG00000279692	XLOC_027392_zbf	ENST00000624417	TCONS_00077198_zbf	4.587	66.807
ENSG00000229893	XLOC_038191_zbf	ENST00000441955	TCONS_00107948_zbf	3.77	127.669
ENSG00000233895	XLOC_041343_zbf	ENST00000412571	TCONS_00116633_zbf	4.563	35.612
ENSG00000263873	XLOC_031219_zbf	ENST00000578216	TCONS_00088098_zbf	6.504	115.072
ENSG00000260296	XLOC_000308_zbf	ENST00000567102	TCONS_00000960_zbf	3.814	134.152
ENSG00000180422	XLOC_017717_zbf	ENST00000321214	TCONS_00048837_zbf	3.352	23.551
ENSG00000248954	XLOC_026547_zbf	ENST00000515692	TCONS_00074733_zbf	5.932	48.505
ENSG00000231057	XLOC_040746_zbf	ENST00000421933	TCONS_00115001_zbf	6.492	31.385
ENSG00000262877	XLOC_026635_zbf	ENST00000571724	TCONS_00075010_zbf	5.417	79.613
ENSG00000279137	XLOC_019883_zbf	ENST00000624132	TCONS_00054683_zbf	4.777	41.731
ENSG00000279187	XLOC_026662_zbf	ENST00000624065	TCONS_00075102_zbf	7.373	43.497
ENSG00000178193	XLOC_019485_zbf	ENST00000433521	TCONS_00053792_zbf	4.3	44.006
ENSG00000242512	XLOC_044847_zbf	ENST00000614303	TCONS_00127522_zbf	5.021	58.609
ENSG00000235927	XLOC_002159_zbf	ENST00000421331	TCONS_00006872_zbf	4.441	57.239
ENSG00000272372	XLOC_037326_zbf	ENST00000606772	TCONS_00105334_zbf	6.037	41.004
ENSG00000260482	XLOC_005007_zbf	ENST00000566996	TCONS_00014826_zbf	4.708	32.715
ENSG00000272729	XLOC_022126_zbf	ENST00000608941	TCONS_00061105_zbf	5.234	65.746
ENSG00000235885	XLOC_027815_zbf	ENST00000452716	TCONS_00078470_zbf	4.652	56.056
ENSG00000272717	XLOC_030666_zbf	ENST00000608402	TCONS_00086518_zbf	4.562	69.918
ENSG00000246731	XLOC_027408_zbf	ENST00000499670	TCONS_00077239_zbf	4.545	40.392
ENSG00000259289	XLOC_036587_zbf	ENST00000558436	TCONS_00103297_zbf	3.86	10.614
ENSG00000237407	XLOC_012552_zbf	ENST00000434730	TCONS_00032861_zbf	4.661	26.115
ENSG00000272483	XLOC_025352_zbf	ENST00000606330	TCONS_00070955_zbf	4.119	55.565
ENSG00000261829	XLOC_043935_zbf	ENST00000568958	TCONS_00124948_zbf	8.305	21.161
ENSG00000237001	XLOC_047405_zbf	ENST00000585599	TCONS_00135500_zbf	3.851	59.676
ENSG00000267505	XLOC_006437_zbf	ENST00000585620	TCONS_00018844_zbf	4.03	26.296
ENSG00000277879	XLOC_034864_zbf	ENST00000614747	TCONS_00098671_zbf	3.999	51.271
ENSG00000229951	XLOC_036030_zbf	ENST00000445878	TCONS_00101607_zbf	3.739	26.771
ENSG00000238057	XLOC_021659_zbf	ENST00000427278	TCONS_00059827_zbf	4.875	45.003
ENSG00000225936	XLOC_035728_zbf	ENST00000425264	TCONS_00100866_zbf	6.577	62.513
ENSG00000267757	XLOC_036830_zbf	ENST00000591087	TCONS_00103901_zbf	4.264	37.101
ENSG00000226397	XLOC_010052_zbf	ENST00000549262	TCONS_00027211_zbf	8.473	42.332
ENSG00000249706	XLOC_039862_zbf	ENST00000512405	TCONS_00112655_zbf	4.013	46.409
ENSG00000223403	XLOC_040452_zbf	ENST00000429368	TCONS_00114114_zbf	5.073	65.072
ENSG00000263271	XLOC_026640_zbf	ENST00000572590	TCONS_00075023_zbf	5.405	69.804
ENSG00000253844	XLOC_047584_zbf	ENST00000521188	TCONS_00136064_zbf	4.4	41.34
ENSG00000278915	XLOC_029390_zbf	ENST00000624566	TCONS_00083129_zbf	7.428	61.131
ENSG00000229848	XLOC_026662_zbf	ENST00000442532	TCONS_00075102_zbf	6.58	68.831
ENSG00000245694	XLOC_017432_zbf	ENST00000557792	TCONS_00048055_zbf	3.946	59.729
ENSG00000234292	XLOC_014374_zbf	ENST00000440769	TCONS_00038920_zbf	5.322	22.804
ENSG00000256508	XLOC_018927_zbf	ENST00000569428	TCONS_00051977_zbf	3.65	113.775
ENSG00000279757	XLOC_017877_zbf	ENST00000623805	TCONS_00049242_zbf	7.565	33.239
ENSG00000234492	XLOC_000722_zbf	ENST00000510212	TCONS_00002039_zbf	3.437	71.333
ENSG00000233429	XLOC_038163_zbf	ENST00000429611	TCONS_00107880_zbf	7.093	70.706
ENSG00000261771	XLOC_036290_zbf	ENST00000568310	TCONS_00102508_zbf	5.351	15.767
ENSG00000236618	XLOC_031262_zbf	ENST00000425081	TCONS_00088205_zbf	4.013	47.579
ENSG00000259611	XLOC_037355_zbf	ENST00000561215	TCONS_00105438_zbf	4.294	33.845
ENSG00000233791	XLOC_025727_zbf	ENST00000457348	TCONS_00072097_zbf	4.844	42.308
ENSG00000235875	XLOC_022268_zbf	ENST00000425094	TCONS_00061466_zbf	5.756	34.96
ENSG00000266578	XLOC_003581_zbf	ENST00000578787	TCONS_00010648_zbf	5.059	58.677
ENSG00000225746	XLOC_041471_zbf	ENST00000638012	TCONS_00116990_zbf	6.523	77.751
ENSG00000274421	XLOC_014027_zbf	ENST00000622201	TCONS_00037673_zbf	3.769	38.14
ENSG00000261669	XLOC_005005_zbf	ENST00000568895	TCONS_00014816_zbf	9.55	22.226
ENSG00000233214	XLOC_032331_zbf	ENST00000413796	TCONS_00091294_zbf	7.056	98.372
ENSG00000245261	XLOC_049686_zbf	ENST00000500590	TCONS_00141401_zbf	5.173	50.884
ENSG00000243479	XLOC_018754_zbf	ENST00000480284	TCONS_00051562_zbf	5.302	58.438
ENSG00000228302	XLOC_007012_zbf	ENST00000421657	TCONS_00020951_zbf	21.661	63.21
ENSG00000251381	XLOC_019049_zbf	ENST00000527945	TCONS_00052281_zbf	4.441	71.237
ENSG00000259347	XLOC_036587_zbf	ENST00000558097	TCONS_00103296_zbf	3.69	78.342
ENSG00000223855	XLOC_005220_zbf	ENST00000452622	TCONS_00015192_zbf	13.726	67.195
ENSG00000236753	XLOC_009998_zbf	ENST00000429067	TCONS_00031515_zbf	3.879	35.369
ENSG00000176593	XLOC_044056_zbf	ENST00000313957	TCONS_00125315_zbf	5.11	45.33
ENSG00000279814	XLOC_027984_zbf	ENST00000623230	TCONS_00078880_zbf	3.494	31.113
ENSG00000255468	XLOC_042862_zbf	ENST00000580881	TCONS_00120977_zbf	6.537	46.98
ENSG00000254154	XLOC_002614_zbf	ENST00000464428	TCONS_00008011_zbf	5.375	38.892
ENSG00000269937	XLOC_050288_zbf	ENST00000569852	TCONS_00142689_zbf	8.819	74.344
ENSG00000263843	XLOC_026625_zbf	ENST00000585075	TCONS_00074992_zbf	4.596	16.948
ENSG00000279176	XLOC_009900_zbf	ENST00000623545	TCONS_00026625_zbf	5.773	61.548
ENSG00000205786	XLOC_031440_zbf	ENST00000536898	TCONS_00088675_zbf	7.07	42.804
ENSG00000260316	XLOC_047639_zbf	ENST00000564460	TCONS_00136231_zbf	5.087	92.235
ENSG00000237031	XLOC_001592_zbf	ENST00000627235	TCONS_00004836_zbf	5.992	15.582
ENSG00000272568	XLOC_033897_zbf	ENST00000609389	TCONS_00095530_zbf	7.195	16.592
ENSG00000237380	XLOC_022126_zbf	ENST00000426965	TCONS_00061105_zbf	5.511	9.767
ENSG00000267750	XLOC_006119_zbf	ENST00000586388	TCONS_00017730_zbf	8.574	37.291
ENSG00000279692	XLOC_027392_zbf	ENST00000624417	TCONS_00077198_zbf	9.017	50.313
ENSG00000279220	XLOC_015988_zbf	ENST00000623040	TCONS_00043782_zbf	6.984	37.883
ENSG00000278957	XLOC_027912_zbf	ENST00000623734	TCONS_00078697_zbf	4.586	21.201
ENSG00000261080	XLOC_035510_zbf	ENST00000563807	TCONS_00100135_zbf	4.203	54.556
ENSG00000267872	XLOC_043219_zbf	ENST00000599810	TCONS_00122535_zbf	5.147	58.82
ENSG00000236051	XLOC_021498_zbf	ENST00000636737	TCONS_00059316_zbf	4.48	56.934
ENSG00000239381	XLOC_043934_zbf	ENST00000482559	TCONS_00124946_zbf	3.441	25.226
ENSG00000230630	XLOC_039750_zbf	ENST00000417354	TCONS_00112376_zbf	4.72	155.206
ENSG00000244675	XLOC_015362_zbf	ENST00000455557	TCONS_00041950_zbf	11.376	42.635
ENSG00000280227	XLOC_018679_zbf	ENST00000624479	TCONS_00051298_zbf	5.978	25.452
ENSG00000222035	XLOC_015943_zbf	ENST00000409819	TCONS_00043560_zbf	3.723	76.738
ENSG00000267244	XLOC_044513_zbf	ENST00000590823	TCONS_00126745_zbf	5.075	58.509
ENSG00000180422	XLOC_018933_zbf	ENST00000565008	TCONS_00051987_zbf	4.816	87.391
ENSG00000260005	XLOC_027384_zbf	ENST00000575922	TCONS_00077173_zbf	12.899	61.227
ENSG00000272692	XLOC_028798_zbf	ENST00000609200	TCONS_00081197_zbf	5.538	98.554
ENSG00000279518	XLOC_032993_zbf	ENST00000623679	TCONS_00093215_zbf	5.676	35.403
ENSG00000245694	XLOC_018686_zbf	ENST00000560208	TCONS_00051312_zbf	13.126	34.733
ENSG00000258197	XLOC_041336_zbf	ENST00000549659	TCONS_00116618_zbf	4.83	44.744
ENSG00000280189	XLOC_018699_zbf	ENST00000623729	TCONS_00051376_zbf	5.216	13.342
ENSG00000235628	XLOC_002606_zbf	ENST00000455447	TCONS_00007993_zbf	3.758	38.057
ENSG00000215162	XLOC_012920_zbf	ENST00000399711	TCONS_00033939_zbf	4.864	115.955
ENSG00000274312	XLOC_037362_zbf	ENST00000622210	TCONS_00105453_zbf	3.412	43.409
ENSG00000237637	XLOC_032274_zbf	ENST00000428419	TCONS_00091070_zbf	12.393	11.409
ENSG00000212743	XLOC_010139_zbf	ENST00000391437	TCONS_00027634_zbf	7.281	65.001
ENSG00000215386	XLOC_023628_zbf	ENST00000602339	TCONS_00065600_zbf	3.994	25.797
ENSG00000272888	XLOC_036652_zbf	ENST00000554133	TCONS_00103481_zbf	5.052	22.064
ENSG00000253973	XLOC_017821_zbf	ENST00000531592	TCONS_00049109_zbf	6.46	41.099
ENSG00000275966	XLOC_026634_zbf	ENST00000617652	TCONS_00075009_zbf	4.902	30.423
ENSG00000253552	XLOC_038191_zbf	ENST00000517550	TCONS_00107948_zbf	4.199	119.971
ENSG00000265121	XLOC_049642_zbf	ENST00000584075	TCONS_00141305_zbf	5.341	69.89
ENSG00000226803	XLOC_028559_zbf	ENST00000587815	TCONS_00080500_zbf	4.626	34.54
ENSG00000237031	XLOC_001592_zbf	ENST00000626199	TCONS_00004836_zbf	4.523	38.526
ENSG00000261400	XLOC_018836_zbf	ENST00000562167	TCONS_00051732_zbf	5.56	18.863
ENSG00000261592	XLOC_018933_zbf	ENST00000569147	TCONS_00051986_zbf	9.879	42.714
ENSG00000279160	XLOC_022137_zbf	ENST00000623777	TCONS_00061127_zbf	4.2	23.995
ENSG00000235927	XLOC_003259_zbf	ENST00000421331	TCONS_00009793_zbf	6.024	65.119
ENSG00000270362	XLOC_045394_zbf	ENST00000604516	TCONS_00129417_zbf	5.82	13.882
ENSG00000230454	XLOC_044779_zbf	ENST00000439898	TCONS_00127322_zbf	9.878	24.183
ENSG00000261613	XLOC_049721_zbf	ENST00000563449	TCONS_00141472_zbf	8.772	55.957
ENSG00000226455	XLOC_039860_zbf	ENST00000445838	TCONS_00112641_zbf	7.103	47.513
ENSG00000279485	XLOC_035785_zbf	ENST00000624325	TCONS_00100968_zbf	3.641	14.64
ENSG00000258931	XLOC_015400_zbf	ENST00000557426	TCONS_00042073_zbf	4.354	15.692
ENSG00000260630	XLOC_018948_zbf	ENST00000568633	TCONS_00052018_zbf	4.294	42.822
ENSG00000233642	XLOC_047211_zbf	ENST00000449643	TCONS_00134963_zbf	5.204	69.733
ENSG00000231955	XLOC_015990_zbf	ENST00000453039	TCONS_00043787_zbf	3.389	76.924
ENSG00000263938	XLOC_031086_zbf	ENST00000582080	TCONS_00087755_zbf	5.89	37.272
ENSG00000277559	XLOC_018679_zbf	ENST00000616682	TCONS_00051298_zbf	3.507	72.729
ENSG00000263278	XLOC_005440_zbf	ENST00000611949	TCONS_00015710_zbf	6.708	79.695
ENSG00000260466	XLOC_018939_zbf	ENST00000563687	TCONS_00052001_zbf	3.946	20.316
ENSG00000255478	XLOC_042870_zbf	ENST00000533886	TCONS_00121042_zbf	8.769	55.333
ENSG00000267296	XLOC_017473_zbf	ENST00000592982	TCONS_00048199_zbf	6.539	33.222
ENSG00000238057	XLOC_021660_zbf	ENST00000428623	TCONS_00059830_zbf	3.874	30.434
ENSG00000260942	XLOC_016260_zbf	ENST00000567819	TCONS_00044391_zbf	4.09	29.749
ENSG00000227220	XLOC_039570_zbf	ENST00000435287	TCONS_00112002_zbf	8.634	31.072
ENSG00000256806	XLOC_014112_zbf	ENST00000625754	TCONS_00037967_zbf	5.317	22.215
ENSG00000231485	XLOC_015268_zbf	ENST00000448344	TCONS_00041783_zbf	3.87	43.351
ENSG00000197670	XLOC_046311_zbf	ENST00000424252	TCONS_00132122_zbf	3.682	50.512
ENSG00000267065	XLOC_049642_zbf	ENST00000585863	TCONS_00141305_zbf	7.248	59.475
ENSG00000231980	XLOC_017494_zbf	ENST00000436489	TCONS_00048288_zbf	3.489	147.916
ENSG00000163364	XLOC_021330_zbf	ENST00000339037	TCONS_00058884_zbf	3.711	4.69
ENSG00000196167	XLOC_014491_zbf	ENST00000526150	TCONS_00039216_zbf	6.576	55.735
ENSG00000261008	XLOC_017877_zbf	ENST00000561611	TCONS_00052953_zbf	9.479	58.162
ENSG00000231927	XLOC_005220_zbf	ENST00000416100	TCONS_00015192_zbf	4.271	80.329
ENSG00000231889	XLOC_040576_zbf	ENST00000440001	TCONS_00114581_zbf	5.138	25.737
ENSG00000260088	XLOC_043674_zbf	ENST00000568695	TCONS_00124172_zbf	5.881	54.102
ENSG00000258551	XLOC_017659_zbf	ENST00000554333	TCONS_00048676_zbf	4.262	50.267
ENSG00000256008	XLOC_012632_zbf	ENST00000540369	TCONS_00033064_zbf	10.234	69.458
ENSG00000259453	XLOC_047991_zbf	ENST00000558757	TCONS_00137398_zbf	7.561	19.641
ENSG00000093100	XLOC_036448_zbf	ENST00000476405	TCONS_00102880_zbf	8.315	46.994
ENSG00000273356	XLOC_044779_zbf	ENST00000608605	TCONS_00127322_zbf	13.76	57.693
ENSG00000260274	XLOC_048593_zbf	ENST00000563278	TCONS_00139023_zbf	7.42	36.448
ENSG00000237149	XLOC_027984_zbf	ENST00000491557	TCONS_00078880_zbf	6.711	116.626
ENSG00000229989	XLOC_044578_zbf	ENST00000412162	TCONS_00126851_zbf	4.987	11.369
ENSG00000249740	XLOC_013746_zbf	ENST00000506463	TCONS_00036652_zbf	3.131	45.362
ENSG00000268230	XLOC_044056_zbf	ENST00000599109	TCONS_00125316_zbf	7.166	30.379
ENSG00000273093	XLOC_044589_zbf	ENST00000608159	TCONS_00126890_zbf	6.797	53.114
ENSG00000236502	XLOC_028723_zbf	ENST00000456467	TCONS_00080967_zbf	6	55.97
ENSG00000257467	XLOC_010103_zbf	ENST00000549161	TCONS_00027387_zbf	7.985	77.29
ENSG00000237187	XLOC_014382_zbf	ENST00000513055	TCONS_00038958_zbf	6.348	94.233
ENSG00000260233	XLOC_042037_zbf	ENST00000623234	TCONS_00118775_zbf	5.133	22.552
ENSG00000241388	XLOC_012632_zbf	ENST00000535301	TCONS_00033064_zbf	5.477	36.247
ENSG00000262999	XLOC_004862_zbf	ENST00000572950	TCONS_00014380_zbf	6.654	38.762
ENSG00000248441	XLOC_036633_zbf	ENST00000555332	TCONS_00103434_zbf	5.53	32.882
ENSG00000227043	XLOC_028087_zbf	ENST00000435973	TCONS_00079239_zbf	4.41	39.499
ENSG00000214145	XLOC_025861_zbf	ENST00000414120	TCONS_00072596_zbf	9.028	67.109
ENSG00000274627	XLOC_018933_zbf	ENST00000611189	TCONS_00051987_zbf	4.429	25.976
ENSG00000279537	XLOC_041005_zbf	ENST00000624274	TCONS_00115630_zbf	4.271	53.621
ENSG00000262714	XLOC_017438_zbf	ENST00000571340	TCONS_00048080_zbf	5.959	26.601
ENSG00000258497	XLOC_040451_zbf	ENST00000555328	TCONS_00114113_zbf	4	13.916
ENSG00000280650	XLOC_019099_zbf	ENST00000627566	TCONS_00052415_zbf	4.683	39.179
ENSG00000236269	XLOC_046193_zbf	ENST00000414948	TCONS_00131748_zbf	11.758	12.533
ENSG00000245694	XLOC_017433_zbf	ENST00000613942	TCONS_00048061_zbf	3.269	20.72
ENSG00000272980	XLOC_027830_zbf	ENST00000609590	TCONS_00078502_zbf	8.131	26.232
ENSG00000216895	XLOC_017514_zbf	ENST00000469539	TCONS_00048345_zbf	4.471	22.04
ENSG00000227744	XLOC_022779_zbf	ENST00000455228	TCONS_00062858_zbf	7.482	64.228
ENSG00000186594	XLOC_032158_zbf	ENST00000570416	TCONS_00090721_zbf	5.242	37.794
ENSG00000267698	XLOC_032340_zbf	ENST00000586962	TCONS_00091326_zbf	3.912	36.114
ENSG00000278936	XLOC_029390_zbf	ENST00000624089	TCONS_00083129_zbf	5.238	15.987
ENSG00000262001	XLOC_003581_zbf	ENST00000572856	TCONS_00010648_zbf	7.125	60.623
ENSG00000260177	XLOC_018933_zbf	ENST00000561567	TCONS_00051986_zbf	6.379	47.735
ENSG00000277013	XLOC_051072_zbf	ENST00000610908	TCONS_00144213_zbf	9.918	63.436
ENSG00000278957	XLOC_028728_zbf	ENST00000623734	TCONS_00080974_zbf	6.704	121.967
ENSG00000250714	XLOC_020160_zbf	ENST00000511929	TCONS_00055350_zbf	4.721	21.877
ENSG00000260121	XLOC_018939_zbf	ENST00000564984	TCONS_00052001_zbf	9.25	26.013
ENSG00000261069	XLOC_016400_zbf	ENST00000567527	TCONS_00044842_zbf	4.76	69.662
ENSG00000274695	XLOC_020948_zbf	ENST00000611714	TCONS_00057487_zbf	4.655	93.544
ENSG00000248801	XLOC_047350_zbf	ENST00000512294	TCONS_00135304_zbf	4.921	50.468
ENSG00000259767	XLOC_018275_zbf	ENST00000560450	TCONS_00050126_zbf	6.535	73.729
ENSG00000099869	XLOC_048878_zbf	ENST00000445504	TCONS_00139867_zbf	4.708	49.86
ENSG00000228853	XLOC_015362_zbf	ENST00000453121	TCONS_00041950_zbf	7.624	64.86
ENSG00000273143	XLOC_043813_zbf	ENST00000609514	TCONS_00124653_zbf	4.285	43.489
ENSG00000260416	XLOC_045863_zbf	ENST00000567259	TCONS_00130680_zbf	3.723	42.899
ENSG00000245213	XLOC_001525_zbf	ENST00000499322	TCONS_00004681_zbf	3.383	30.033
ENSG00000269688	XLOC_051057_zbf	ENST00000600473	TCONS_00144182_zbf	5.521	20.347
ENSG00000227954	XLOC_046207_zbf	ENST00000607641	TCONS_00131838_zbf	9.931	38.017
ENSG00000280422	XLOC_044783_zbf	ENST00000624646	TCONS_00127329_zbf	6.564	47.085
ENSG00000238197	XLOC_024197_zbf	ENST00000440052	TCONS_00067189_zbf	4.691	56.238
ENSG00000277504	XLOC_017717_zbf	ENST00000620306	TCONS_00048842_zbf	5.529	45.378
ENSG00000273247	XLOC_030679_zbf	ENST00000610159	TCONS_00086560_zbf	5.609	34.371
ENSG00000274215	XLOC_023101_zbf	ENST00000614509	TCONS_00063946_zbf	4.249	18.828
ENSG00000197445	XLOC_017880_zbf	ENST00000358463	TCONS_00049246_zbf	4.758	30.935
ENSG00000204584	XLOC_026547_zbf	ENST00000376609	TCONS_00074737_zbf	5.055	112.526
ENSG00000272473	XLOC_043580_zbf	ENST00000606966	TCONS_00123959_zbf	4.256	40.722
ENSG00000275294	XLOC_047405_zbf	ENST00000610335	TCONS_00135498_zbf	5.165	28.531
ENSG00000260838	XLOC_046686_zbf	ENST00000564832	TCONS_00133492_zbf	5.537	97.195
ENSG00000280422	XLOC_044777_zbf	ENST00000624646	TCONS_00127995_zbf	4.818	65.924
ENSG00000280291	XLOC_037404_zbf	ENST00000623393	TCONS_00105549_zbf	6.515	72.047
ENSG00000215014	XLOC_045274_zbf	ENST00000366221	TCONS_00129126_zbf	4.723	9.097
ENSG00000253986	XLOC_020156_zbf	ENST00000518590	TCONS_00055340_zbf	3.957	30.733
ENSG00000280122	XLOC_049642_zbf	ENST00000625040	TCONS_00141307_zbf	8.936	82.408
ENSG00000254863	XLOC_031212_zbf	ENST00000526934	TCONS_00088079_zbf	4.705	73.536
ENSG00000269397	XLOC_044057_zbf	ENST00000594230	TCONS_00125340_zbf	3.21	19.365
ENSG00000230552	XLOC_021326_zbf	ENST00000428283	TCONS_00058877_zbf	6.123	24.468
ENSG00000279361	XLOC_006690_zbf	ENST00000623200	TCONS_00019502_zbf	5.431	102.905
ENSG00000280402	XLOC_005299_zbf	ENST00000625130	TCONS_00015361_zbf	5.589	67.094
ENSG00000260392	XLOC_017686_zbf	ENST00000562300	TCONS_00048720_zbf	4.701	46.328
ENSG00000263731	XLOC_026634_zbf	ENST00000582866	TCONS_00075009_zbf	10.547	30.226
ENSG00000261623	XLOC_037336_zbf	ENST00000561523	TCONS_00105366_zbf	4.306	42.426
ENSG00000260577	XLOC_050711_zbf	ENST00000562172	TCONS_00143489_zbf	5.474	58.705
ENSG00000228309	XLOC_041084_zbf	ENST00000436955	TCONS_00115848_zbf	4.309	38.308
ENSG00000203356	XLOC_020525_zbf	ENST00000366181	TCONS_00056396_zbf	8.034	50.081
ENSG00000264243	XLOC_004766_zbf	ENST00000581213	TCONS_00014144_zbf	3.582	7.55
ENSG00000278936	XLOC_030083_zbf	ENST00000624089	TCONS_00084849_zbf	5.778	26.145
ENSG00000248508	XLOC_041005_zbf	ENST00000504245	TCONS_00115632_zbf	3.87	58.714
ENSG00000258634	XLOC_020691_zbf	ENST00000554749	TCONS_00056983_zbf	5.158	31.042
ENSG00000251034	XLOC_024122_zbf	ENST00000514980	TCONS_00066952_zbf	6.6	26.988
ENSG00000280061	XLOC_017598_zbf	ENST00000623331	TCONS_00048509_zbf	5.03	52.564
ENSG00000278200	XLOC_027382_zbf	ENST00000617888	TCONS_00077147_zbf	5.461	38.037
ENSG00000246582	XLOC_050365_zbf	ENST00000500853	TCONS_00142886_zbf	5.25	20.075
ENSG00000267757	XLOC_036830_zbf	ENST00000587092	TCONS_00103903_zbf	6.839	46.517
ENSG00000260664	XLOC_017877_zbf	ENST00000564508	TCONS_00052953_zbf	6.551	56.799
ENSG00000234721	XLOC_049721_zbf	ENST00000455366	TCONS_00141472_zbf	3.803	8.907
ENSG00000281358	XLOC_044779_zbf	ENST00000629828	TCONS_00127322_zbf	8.471	19.296
ENSG00000227533	XLOC_015845_zbf	ENST00000416689	TCONS_00043263_zbf	14.435	31.972
ENSG00000245522	XLOC_017836_zbf	ENST00000525154	TCONS_00049141_zbf	3.477	34.346
ENSG00000259198	XLOC_041002_zbf	ENST00000559030	TCONS_00115608_zbf	4.739	47.721
ENSG00000271366	XLOC_032331_zbf	ENST00000604161	TCONS_00091294_zbf	4.672	51.461
ENSG00000272476	XLOC_041058_zbf	ENST00000606070	TCONS_00115760_zbf	8.45	60.323
ENSG00000263110	XLOC_037336_zbf	ENST00000573819	TCONS_00105366_zbf	4.292	20.869
ENSG00000278390	XLOC_021513_zbf	ENST00000619407	TCONS_00059347_zbf	4.164	58.588
ENSG00000270141	XLOC_002668_zbf	ENST00000602385	TCONS_00008275_zbf	3.633	55.236
ENSG00000249125	XLOC_029368_zbf	ENST00000503950	TCONS_00083093_zbf	4.783	35.392
ENSG00000280194	XLOC_032329_zbf	ENST00000624076	TCONS_00091281_zbf	10.302	39.173
ENSG00000277170	XLOC_050101_zbf	ENST00000614983	TCONS_00142281_zbf	4.359	31.421
ENSG00000255458	XLOC_001328_zbf	ENST00000529094	TCONS_00004184_zbf	4.816	13.874
ENSG00000258582	XLOC_019079_zbf	ENST00000557393	TCONS_00052357_zbf	3.837	122.677
ENSG00000224276	XLOC_033949_zbf	ENST00000415726	TCONS_00095701_zbf	6.799	79.48
ENSG00000260126	XLOC_004908_zbf	ENST00000567465	TCONS_00014505_zbf	3.639	58.132
ENSG00000233538	XLOC_043948_zbf	ENST00000370380	TCONS_00124986_zbf	6.263	17.02
ENSG00000270127	XLOC_016990_zbf	ENST00000602585	TCONS_00046692_zbf	5.354	42.413
ENSG00000250819	XLOC_001342_zbf	ENST00000509964	TCONS_00004226_zbf	3.213	97.148
ENSG00000273486	XLOC_002432_zbf	ENST00000609553	TCONS_00007536_zbf	4.696	29.317
ENSG00000267757	XLOC_036830_zbf	ENST00000623430	TCONS_00103903_zbf	5.379	72.48
ENSG00000231718	XLOC_044589_zbf	ENST00000452199	TCONS_00126892_zbf	6.733	136.164
ENSG00000255670	XLOC_006865_zbf	ENST00000544086	TCONS_00020452_zbf	4.911	23.774
ENSG00000280936	XLOC_045146_zbf	ENST00000629794	TCONS_00128612_zbf	4.533	51.684
ENSG00000279207	XLOC_031340_zbf	ENST00000624409	TCONS_00088431_zbf	7.721	29.345
ENSG00000227373	XLOC_044456_zbf	ENST00000419983	TCONS_00126527_zbf	5.957	100.703
ENSG00000248866	XLOC_039857_zbf	ENST00000503051	TCONS_00112606_zbf	8.281	16.173
ENSG00000224992	XLOC_042700_zbf	ENST00000451318	TCONS_00120445_zbf	4.38	56.513
ENSG00000244564	XLOC_025684_zbf	ENST00000487097	TCONS_00071989_zbf	3.744	83.142
ENSG00000274554	XLOC_012549_zbf	ENST00000617795	TCONS_00032855_zbf	8.566	48.186
ENSG00000260738	XLOC_022573_zbf	ENST00000564841	TCONS_00062345_zbf	6.104	58.068
ENSG00000253764	XLOC_034917_zbf	ENST00000517676	TCONS_00098824_zbf	6.006	25.505
ENSG00000251298	XLOC_001513_zbf	ENST00000508072	TCONS_00004643_zbf	9.689	16.075
ENSG00000260565	XLOC_050291_zbf	ENST00000568395	TCONS_00142699_zbf	3.334	8.869
ENSG00000248550	XLOC_036072_zbf	ENST00000534909	TCONS_00101729_zbf	4.521	58.184
ENSG00000254369	XLOC_038191_zbf	ENST00000518848	TCONS_00107948_zbf	3.372	51.801
ENSG00000237463	XLOC_040764_zbf	ENST00000438275	TCONS_00115043_zbf	7.009	107.229
ENSG00000205682	XLOC_019190_zbf	ENST00000381217	TCONS_00052621_zbf	3.525	45.354
ENSG00000249241	XLOC_001330_zbf	ENST00000510551	TCONS_00004190_zbf	4.626	75.012
ENSG00000275741	XLOC_021420_zbf	ENST00000615635	TCONS_00059143_zbf	4.69	62.819
ENSG00000254614	XLOC_042040_zbf	ENST00000526623	TCONS_00118779_zbf	7.531	66.838
ENSG00000224675	XLOC_022214_zbf	ENST00000434635	TCONS_00061349_zbf	5.137	94.11
