human gene	opossum gene	human transcript	opossum transcript	motif-pattern similarity score	gap penalty score
ENSG00000263709	XLOC_013472_ops	ENST00000582196	TCONS_00036175_ops	7.653	39.456
ENSG00000267214	XLOC_020280_ops	ENST00000592525	TCONS_00055502_ops	4.772	20.606
ENSG00000227301	XLOC_034360_ops	ENST00000449144	TCONS_00096832_ops	7.995	39.884
ENSG00000228843	XLOC_034955_ops	ENST00000425499	TCONS_00098118_ops	3.81	27.875
ENSG00000237149	XLOC_000374_ops	ENST00000491557	TCONS_00000736_ops	7.112	30.432
ENSG00000249341	XLOC_033348_ops	ENST00000506950	TCONS_00092211_ops	4.872	24.274
ENSG00000236311	XLOC_005655_ops	ENST00000445873	TCONS_00012674_ops	4.072	17.385
ENSG00000226137	XLOC_011707_ops	ENST00000573167	TCONS_00032327_ops	10.466	28.526
ENSG00000249383	XLOC_011186_ops	ENST00000514726	TCONS_00031093_ops	6.791	39.432
ENSG00000225733	XLOC_035791_ops	ENST00000417835	TCONS_00100027_ops	6.652	38.809
ENSG00000283155	XLOC_007043_ops	ENST00000507279	TCONS_00015892_ops	3.589	7.176
ENSG00000279927	XLOC_043708_ops	ENST00000623420	TCONS_00121679_ops	5.804	61.286
ENSG00000267834	XLOC_007915_ops	ENST00000594418	TCONS_00017864_ops	9.786	119.765
ENSG00000225936	XLOC_000631_ops	ENST00000425264	TCONS_00001383_ops	8.65	35.761
ENSG00000266998	XLOC_015629_ops	ENST00000588701	TCONS_00040921_ops	7.676	45.939
ENSG00000268798	XLOC_020269_ops	ENST00000594262	TCONS_00055473_ops	11.461	41.639
ENSG00000280029	XLOC_007058_ops	ENST00000624192	TCONS_00015934_ops	4.266	36.667
ENSG00000279649	XLOC_004494_ops	ENST00000623181	TCONS_00010101_ops	4.54	48.642
ENSG00000260572	XLOC_039328_ops	ENST00000566372	TCONS_00110069_ops	5.642	50.82
ENSG00000247137	XLOC_026453_ops	ENST00000624533	TCONS_00073387_ops	4.891	21.546
ENSG00000256124	XLOC_015524_ops	ENST00000472655	TCONS_00040674_ops	3.58	61.196
ENSG00000263276	XLOC_004398_ops	ENST00000571975	TCONS_00009918_ops	4.833	35.148
ENSG00000272980	XLOC_012980_ops	ENST00000609590	TCONS_00035251_ops	12.313	58.678
ENSG00000226791	XLOC_039826_ops	ENST00000623301	TCONS_00110999_ops	4.904	73.003
ENSG00000254510	XLOC_043118_ops	ENST00000527061	TCONS_00120362_ops	7.512	50.299
ENSG00000186056	XLOC_027553_ops	ENST00000414532	TCONS_00075914_ops	4.221	52.312
ENSG00000279504	XLOC_030080_ops	ENST00000622994	TCONS_00081072_ops	4.799	39.98
ENSG00000227533	XLOC_013960_ops	ENST00000416689	TCONS_00037228_ops	6.107	58.205
ENSG00000266978	XLOC_019909_ops	ENST00000592893	TCONS_00054541_ops	4.321	73.865
ENSG00000214894	XLOC_015917_ops	ENST00000399196	TCONS_00041637_ops	4.574	15.604
ENSG00000260177	XLOC_009432_ops	ENST00000561567	TCONS_00020845_ops	5.305	70.375
ENSG00000269792	XLOC_026977_ops	ENST00000594676	TCONS_00074581_ops	7.823	24.187
ENSG00000253196	XLOC_023311_ops	ENST00000523657	TCONS_00061555_ops	4.43	63.892
ENSG00000274215	XLOC_000872_ops	ENST00000614509	TCONS_00001962_ops	3.373	10.97
ENSG00000265800	XLOC_011592_ops	ENST00000584339	TCONS_00032064_ops	7.692	27.15
ENSG00000260542	XLOC_003223_ops	ENST00000569373	TCONS_00007234_ops	4.657	43.804
ENSG00000259307	XLOC_001345_ops	ENST00000559520	TCONS_00002963_ops	4.226	42.968
ENSG00000267169	XLOC_023570_ops	ENST00000588387	TCONS_00062262_ops	4.2	59.285
ENSG00000260328	XLOC_036209_ops	ENST00000562897	TCONS_00100864_ops	4.164	28.666
ENSG00000232283	XLOC_036249_ops	ENST00000448857	TCONS_00100949_ops	6.46	80.553
ENSG00000261668	XLOC_032485_ops	ENST00000565254	TCONS_00090649_ops	10.514	62.351
ENSG00000261504	XLOC_014405_ops	ENST00000566297	TCONS_00038082_ops	5.031	25.028
ENSG00000277268	XLOC_015096_ops	ENST00000612281	TCONS_00050121_ops	4.115	26.669
ENSG00000260417	XLOC_004426_ops	ENST00000567093	TCONS_00009971_ops	8.85	88.237
ENSG00000267302	XLOC_014990_ops	ENST00000586209	TCONS_00039400_ops	5.778	40.894
ENSG00000250230	XLOC_032386_ops	ENST00000506329	TCONS_00090480_ops	9.591	24.499
ENSG00000242767	XLOC_025066_ops	ENST00000472323	TCONS_00070554_ops	6.332	18.482
ENSG00000255015	XLOC_025825_ops	ENST00000527100	TCONS_00072081_ops	5.104	8.509
ENSG00000234912	XLOC_015654_ops	ENST00000566583	TCONS_00040984_ops	4.608	67.981
ENSG00000275494	XLOC_035108_ops	ENST00000613406	TCONS_00098480_ops	5.167	50.124
ENSG00000259462	XLOC_000772_ops	ENST00000618020	TCONS_00001733_ops	10.608	40.996
ENSG00000267065	XLOC_015651_ops	ENST00000585863	TCONS_00040973_ops	5.011	37.318
ENSG00000280435	XLOC_042807_ops	ENST00000624016	TCONS_00119762_ops	3.108	19.706
ENSG00000279369	XLOC_011529_ops	ENST00000623228	TCONS_00031908_ops	7.167	60.495
ENSG00000279606	XLOC_015043_ops	ENST00000624834	TCONS_00039508_ops	4.005	17.073
ENSG00000267702	XLOC_022559_ops	ENST00000587344	TCONS_00060105_ops	6.895	47.559
ENSG00000204283	XLOC_011744_ops	ENST00000374983	TCONS_00046219_ops	9.087	44.197
ENSG00000238164	XLOC_030171_ops	ENST00000416860	TCONS_00081242_ops	10.187	64.576
ENSG00000255191	XLOC_034233_ops	ENST00000534086	TCONS_00094046_ops	5.294	83.926
ENSG00000277210	XLOC_005839_ops	ENST00000610780	TCONS_00013101_ops	3.553	8.86
ENSG00000249483	XLOC_022265_ops	ENST00000512859	TCONS_00066517_ops	11.726	1.279
ENSG00000272763	XLOC_015323_ops	ENST00000608940	TCONS_00040190_ops	4.629	28.12
ENSG00000272582	XLOC_041351_ops	ENST00000609976	TCONS_00116631_ops	8.472	73.244
ENSG00000225953	XLOC_025795_ops	ENST00000442967	TCONS_00072018_ops	4.32	28.178
ENSG00000234279	XLOC_017635_ops	ENST00000448543	TCONS_00045306_ops	13.742	10.429
ENSG00000269898	XLOC_004426_ops	ENST00000602789	TCONS_00009971_ops	6.545	63.442
ENSG00000234913	XLOC_043930_ops	ENST00000441167	TCONS_00122163_ops	7.312	45.535
ENSG00000279140	XLOC_006799_ops	ENST00000625139	TCONS_00015285_ops	8.021	41.246
ENSG00000255928	XLOC_029671_ops	ENST00000538624	TCONS_00080207_ops	5.601	8.379
ENSG00000237341	XLOC_045675_ops	ENST00000433499	TCONS_00128947_ops	6.029	50.55
ENSG00000281450	XLOC_016028_ops	ENST00000629595	TCONS_00041906_ops	9.03	53.989
ENSG00000280424	XLOC_040971_ops	ENST00000624893	TCONS_00115842_ops	9.319	78.241
ENSG00000230027	XLOC_013846_ops	ENST00000434540	TCONS_00036973_ops	12.358	15.958
ENSG00000283638	XLOC_045947_ops	ENST00000636668	TCONS_00129715_ops	4.433	15
ENSG00000279160	XLOC_028712_ops	ENST00000623777	TCONS_00078222_ops	7.363	57.046
ENSG00000271522	XLOC_042179_ops	ENST00000604514	TCONS_00118376_ops	5.595	35.581
ENSG00000273069	XLOC_017620_ops	ENST00000608433	TCONS_00045280_ops	5.532	62.774
ENSG00000283175	XLOC_040786_ops	ENST00000636210	TCONS_00113079_ops	3.413	41.541
ENSG00000228853	XLOC_010073_ops	ENST00000453121	TCONS_00028702_ops	4.45	34.997
ENSG00000264589	XLOC_015412_ops	ENST00000579599	TCONS_00040430_ops	8.065	47.28
ENSG00000261407	XLOC_000829_ops	ENST00000570120	TCONS_00001863_ops	4.362	27.486
ENSG00000256197	XLOC_043885_ops	ENST00000539784	TCONS_00122070_ops	5.918	22.583
ENSG00000272977	XLOC_024137_ops	ENST00000609475	TCONS_00063586_ops	9.052	223.444
ENSG00000224195	XLOC_000363_ops	ENST00000434147	TCONS_00000716_ops	3.465	67.893
ENSG00000256906	XLOC_023855_ops	ENST00000535487	TCONS_00063032_ops	5.618	31.387
ENSG00000234945	XLOC_003421_ops	ENST00000589853	TCONS_00007759_ops	4.883	61.347
ENSG00000249695	XLOC_041784_ops	ENST00000508953	TCONS_00117580_ops	6.579	59.311
ENSG00000203325	XLOC_027585_ops	ENST00000366152	TCONS_00076012_ops	5	40.639
ENSG00000262313	XLOC_011702_ops	ENST00000576032	TCONS_00049646_ops	3.459	14.549
ENSG00000267446	XLOC_015390_ops	ENST00000589730	TCONS_00047529_ops	6.643	43.174
ENSG00000226137	XLOC_011706_ops	ENST00000573167	TCONS_00032315_ops	6.269	91.144
ENSG00000255966	XLOC_043815_ops	ENST00000537921	TCONS_00121937_ops	4.944	83.781
ENSG00000256546	XLOC_020571_ops	ENST00000423999	TCONS_00056101_ops	5.006	74.439
ENSG00000213599	XLOC_034745_ops	ENST00000561824	TCONS_00104950_ops	9.477	54.501
ENSG00000264735	XLOC_011679_ops	ENST00000580125	TCONS_00032244_ops	5.612	44.306
ENSG00000269947	XLOC_015753_ops	ENST00000602597	TCONS_00041175_ops	6.383	51.143
ENSG00000245112	XLOC_031470_ops	ENST00000500800	TCONS_00088580_ops	6.208	39.614
ENSG00000278200	XLOC_011707_ops	ENST00000617888	TCONS_00032327_ops	6.845	23.543
ENSG00000272068	XLOC_015181_ops	ENST00000606343	TCONS_00039874_ops	10.535	120.976
ENSG00000276073	XLOC_002540_ops	ENST00000618285	TCONS_00005619_ops	3.785	51.327
ENSG00000278869	XLOC_043178_ops	ENST00000623759	TCONS_00120514_ops	13.313	73.642
ENSG00000254154	XLOC_014357_ops	ENST00000464428	TCONS_00037989_ops	3.951	79.459
ENSG00000226009	XLOC_005661_ops	ENST00000412353	TCONS_00023850_ops	5.494	59.856
ENSG00000271996	XLOC_025654_ops	ENST00000606200	TCONS_00071738_ops	4.837	17.642
ENSG00000279532	XLOC_017352_ops	ENST00000623773	TCONS_00048184_ops	8.431	101.415
ENSG00000246985	XLOC_043559_ops	ENST00000499137	TCONS_00121362_ops	8.708	63.817
ENSG00000266290	XLOC_011133_ops	ENST00000584805	TCONS_00030959_ops	5.774	50.91
ENSG00000260565	XLOC_035218_ops	ENST00000568395	TCONS_00098730_ops	6.534	86.985
ENSG00000255621	XLOC_043853_ops	ENST00000543321	TCONS_00121996_ops	4.781	67.428
ENSG00000259275	XLOC_000894_ops	ENST00000558499	TCONS_00001997_ops	4.907	28.464
ENSG00000278239	XLOC_027004_ops	ENST00000614316	TCONS_00074676_ops	5.652	30.067
ENSG00000260464	XLOC_016927_ops	ENST00000565336	TCONS_00043839_ops	3.488	109.92
ENSG00000255946	XLOC_020620_ops	ENST00000542620	TCONS_00056202_ops	6.231	16.995
ENSG00000256694	XLOC_043900_ops	ENST00000540136	TCONS_00122101_ops	4.873	122.895
ENSG00000264177	XLOC_017466_ops	ENST00000579352	TCONS_00048227_ops	6.651	44.849
ENSG00000251536	XLOC_020425_ops	ENST00000502221	TCONS_00055805_ops	6.13	64.326
ENSG00000256008	XLOC_020620_ops	ENST00000540369	TCONS_00056202_ops	15.652	268.887
ENSG00000279481	XLOC_031455_ops	ENST00000623323	TCONS_00088545_ops	5.547	14.741
ENSG00000231177	XLOC_035756_ops	ENST00000475197	TCONS_00099962_ops	8.475	50.821
ENSG00000267125	XLOC_020262_ops	ENST00000592884	TCONS_00055457_ops	5.404	42.739
ENSG00000235423	XLOC_024014_ops	ENST00000544890	TCONS_00063371_ops	7.606	59.203
ENSG00000228157	XLOC_034410_ops	ENST00000574724	TCONS_00096931_ops	3.827	8.485
ENSG00000227432	XLOC_038933_ops	ENST00000429882	TCONS_00109196_ops	3.913	31.725
ENSG00000260917	XLOC_005595_ops	ENST00000564352	TCONS_00012482_ops	8.965	39.667
ENSG00000254790	XLOC_029201_ops	ENST00000524467	TCONS_00079249_ops	4.059	26.782
ENSG00000258057	XLOC_041154_ops	ENST00000548872	TCONS_00116244_ops	5.453	45.059
ENSG00000235884	XLOC_040921_ops	ENST00000547804	TCONS_00115727_ops	5.666	28.163
ENSG00000274993	XLOC_011906_ops	ENST00000618276	TCONS_00032797_ops	9.478	105.157
ENSG00000261347	XLOC_034232_ops	ENST00000567742	TCONS_00094042_ops	7.116	54.402
ENSG00000245869	XLOC_025853_ops	ENST00000498872	TCONS_00072140_ops	6.746	34.548
ENSG00000277013	XLOC_007674_ops	ENST00000610908	TCONS_00017294_ops	8.558	33.73
ENSG00000245937	XLOC_034257_ops	ENST00000499346	TCONS_00096647_ops	5.562	23.043
ENSG00000249094	XLOC_024371_ops	ENST00000446473	TCONS_00064194_ops	4.257	19.013
ENSG00000268218	XLOC_014923_ops	ENST00000602042	TCONS_00039289_ops	7.381	36.401
ENSG00000260588	XLOC_008733_ops	ENST00000563810	TCONS_00019535_ops	11.596	30.436
ENSG00000264044	XLOC_013469_ops	ENST00000577814	TCONS_00036168_ops	6.432	41.192
ENSG00000267007	XLOC_020261_ops	ENST00000586259	TCONS_00055450_ops	6.945	37.029
ENSG00000214955	XLOC_027791_ops	ENST00000427022	TCONS_00076441_ops	4.298	59.811
ENSG00000267141	XLOC_020257_ops	ENST00000586694	TCONS_00055446_ops	3.981	47.09
ENSG00000254236	XLOC_023035_ops	ENST00000522416	TCONS_00061046_ops	8.664	45.663
ENSG00000157306	XLOC_001192_ops	ENST00000553985	TCONS_00002582_ops	8.964	27.761
ENSG00000175604	XLOC_036760_ops	ENST00000312019	TCONS_00102037_ops	7.949	49.518
ENSG00000234072	XLOC_003423_ops	ENST00000453289	TCONS_00007782_ops	4.732	20.224
ENSG00000203356	XLOC_013871_ops	ENST00000366181	TCONS_00037020_ops	8.207	62.831
ENSG00000233429	XLOC_045052_ops	ENST00000425358	TCONS_00124406_ops	6.426	36.865
ENSG00000273433	XLOC_042856_ops	ENST00000467897	TCONS_00119848_ops	5.813	81.286
ENSG00000270184	XLOC_004426_ops	ENST00000602706	TCONS_00009976_ops	9.363	62.214
ENSG00000259555	XLOC_000104_ops	ENST00000559120	TCONS_00000226_ops	8.839	35.334
ENSG00000281358	XLOC_035989_ops	ENST00000629828	TCONS_00100431_ops	9.726	29.86
ENSG00000237775	XLOC_015913_ops	ENST00000458361	TCONS_00041634_ops	9.733	35.155
ENSG00000279726	XLOC_007051_ops	ENST00000624176	TCONS_00027753_ops	7.943	38.997
ENSG00000267122	XLOC_023703_ops	ENST00000585593	TCONS_00062580_ops	5.615	43.476
ENSG00000259615	XLOC_000831_ops	ENST00000560477	TCONS_00001868_ops	5.017	89.56
ENSG00000269243	XLOC_020512_ops	ENST00000597983	TCONS_00069009_ops	10.056	26.277
ENSG00000233721	XLOC_002745_ops	ENST00000454034	TCONS_00006103_ops	3.927	43.568
ENSG00000279833	XLOC_043517_ops	ENST00000624656	TCONS_00121256_ops	10.104	23.841
ENSG00000279907	XLOC_004426_ops	ENST00000624587	TCONS_00009977_ops	8.79	120.27
ENSG00000196167	XLOC_025953_ops	ENST00000526150	TCONS_00072349_ops	12.906	3.059
ENSG00000267882	XLOC_003344_ops	ENST00000599904	TCONS_00007507_ops	7.595	29.362
ENSG00000277170	XLOC_035121_ops	ENST00000614983	TCONS_00098502_ops	5.836	47.256
ENSG00000276337	XLOC_009426_ops	ENST00000612833	TCONS_00020831_ops	12.328	55.527
ENSG00000235885	XLOC_009031_ops	ENST00000452716	TCONS_00020121_ops	5.503	56.057
ENSG00000251381	XLOC_033849_ops	ENST00000527945	TCONS_00093296_ops	5.323	38.233
ENSG00000277151	XLOC_026301_ops	ENST00000617901	TCONS_00073068_ops	8.743	85.876
ENSG00000276259	XLOC_009574_ops	ENST00000622896	TCONS_00021096_ops	6.524	28.49
ENSG00000258727	XLOC_001200_ops	ENST00000555968	TCONS_00002609_ops	5.626	50.001
ENSG00000278716	XLOC_004424_ops	ENST00000620845	TCONS_00009965_ops	5.61	78.049
ENSG00000262831	XLOC_015576_ops	ENST00000576784	TCONS_00040796_ops	4.68	25.971
ENSG00000204044	XLOC_007841_ops	ENST00000535913	TCONS_00017642_ops	5.417	26.046
ENSG00000267598	XLOC_020160_ops	ENST00000592882	TCONS_00055251_ops	3.367	58.481
ENSG00000224592	XLOC_027513_ops	ENST00000428151	TCONS_00075861_ops	10.631	32.608
ENSG00000276278	XLOC_000775_ops	ENST00000621980	TCONS_00001745_ops	4.764	67.923
ENSG00000279878	XLOC_034165_ops	ENST00000623008	TCONS_00096572_ops	11.798	39.922
ENSG00000267130	XLOC_007675_ops	ENST00000593041	TCONS_00017296_ops	3.644	17.512
ENSG00000205015	XLOC_004465_ops	ENST00000378340	TCONS_00010036_ops	4.982	41.49
ENSG00000153363	XLOC_010784_ops	ENST00000534914	TCONS_00030267_ops	10.43	87.14
ENSG00000273618	XLOC_001208_ops	ENST00000622438	TCONS_00002633_ops	6.293	43.438
ENSG00000254369	XLOC_045056_ops	ENST00000518947	TCONS_00124414_ops	5.014	54.085
ENSG00000261467	XLOC_013714_ops	ENST00000567919	TCONS_00036613_ops	5.331	73.097
ENSG00000273356	XLOC_035989_ops	ENST00000609204	TCONS_00100431_ops	3.765	41.11
ENSG00000255165	XLOC_032203_ops	ENST00000531268	TCONS_00090098_ops	6.028	23.025
ENSG00000269352	XLOC_027428_ops	ENST00000599259	TCONS_00075699_ops	7.852	25.62
ENSG00000238197	XLOC_027811_ops	ENST00000440052	TCONS_00076483_ops	7.322	30.676
ENSG00000203709	XLOC_014665_ops	ENST00000608023	TCONS_00047280_ops	8.309	33.265
ENSG00000261840	XLOC_036642_ops	ENST00000568500	TCONS_00101837_ops	13.9	25.09
ENSG00000251244	XLOC_033089_ops	ENST00000508265	TCONS_00091773_ops	4.179	50.843
ENSG00000275620	XLOC_008107_ops	ENST00000612722	TCONS_00018301_ops	12.793	95.648
ENSG00000260681	XLOC_036453_ops	ENST00000568635	TCONS_00101415_ops	5.813	33.175
ENSG00000233427	XLOC_029918_ops	ENST00000418471	TCONS_00080698_ops	3.732	82.956
ENSG00000261033	XLOC_013595_ops	ENST00000564549	TCONS_00036393_ops	4.168	121.481
ENSG00000218018	XLOC_003267_ops	ENST00000417346	TCONS_00007327_ops	3.778	18.262
ENSG00000259654	XLOC_005701_ops	ENST00000558044	TCONS_00012770_ops	4.395	68.454
ENSG00000268996	XLOC_008043_ops	ENST00000596585	TCONS_00018155_ops	10.382	38.618
ENSG00000254933	XLOC_029647_ops	ENST00000527314	TCONS_00080142_ops	7.958	56.038
ENSG00000255399	XLOC_020626_ops	ENST00000532697	TCONS_00056215_ops	4.588	66.869
ENSG00000278936	XLOC_007056_ops	ENST00000624089	TCONS_00015931_ops	5.161	25.778
ENSG00000237390	XLOC_011288_ops	ENST00000451362	TCONS_00031347_ops	8.404	32.469
ENSG00000177133	XLOC_030170_ops	ENST00000321399	TCONS_00081237_ops	12.156	41.681
ENSG00000272593	XLOC_007924_ops	ENST00000609303	TCONS_00017878_ops	3.906	43.297
ENSG00000263276	XLOC_004474_ops	ENST00000571975	TCONS_00010055_ops	4.756	64.734
ENSG00000225084	XLOC_013568_ops	ENST00000414776	TCONS_00036327_ops	4.207	18.735
ENSG00000278901	XLOC_007043_ops	ENST00000625195	TCONS_00015892_ops	5.263	57.382
ENSG00000279917	XLOC_015552_ops	ENST00000623462	TCONS_00040744_ops	6.835	48.552
ENSG00000232719	XLOC_038926_ops	ENST00000448256	TCONS_00115269_ops	8.873	61.367
ENSG00000261959	XLOC_015356_ops	ENST00000572855	TCONS_00040297_ops	6.051	27.604
ENSG00000279220	XLOC_040392_ops	ENST00000623040	TCONS_00112176_ops	8.702	31.577
ENSG00000262580	XLOC_011719_ops	ENST00000576824	TCONS_00032345_ops	4.195	37.898
ENSG00000271857	XLOC_016148_ops	ENST00000606796	TCONS_00042215_ops	6.065	72.318
ENSG00000236668	XLOC_007612_ops	ENST00000453529	TCONS_00017143_ops	6.196	57.391
ENSG00000280128	XLOC_015906_ops	ENST00000624252	TCONS_00041607_ops	4.873	69.466
ENSG00000259834	XLOC_017046_ops	ENST00000566942	TCONS_00044092_ops	3.993	55.356
ENSG00000226397	XLOC_041585_ops	ENST00000549262	TCONS_00117102_ops	6.413	41.727
ENSG00000177340	XLOC_040921_ops	ENST00000313737	TCONS_00115727_ops	8.26	33.128
ENSG00000246331	XLOC_040920_ops	ENST00000500076	TCONS_00115718_ops	4.766	44.346
ENSG00000280092	XLOC_004506_ops	ENST00000623314	TCONS_00010131_ops	5.257	46.275
ENSG00000249487	XLOC_000831_ops	ENST00000506090	TCONS_00022042_ops	4.382	40.562
ENSG00000272677	XLOC_032693_ops	ENST00000609552	TCONS_00091052_ops	15.36	18.095
ENSG00000272405	XLOC_015182_ops	ENST00000605886	TCONS_00039879_ops	13.719	22.374
ENSG00000248866	XLOC_033360_ops	ENST00000503051	TCONS_00092242_ops	6.982	19.796
ENSG00000255571	XLOC_005756_ops	ENST00000561327	TCONS_00012898_ops	9.079	27.007
ENSG00000280039	XLOC_034937_ops	ENST00000625159	TCONS_00098072_ops	8.173	33.888
ENSG00000263843	XLOC_015483_ops	ENST00000585075	TCONS_00040591_ops	7.783	17.847
ENSG00000273387	XLOC_024383_ops	ENST00000609017	TCONS_00064230_ops	4.35	58.73
ENSG00000238198	XLOC_017076_ops	ENST00000421157	TCONS_00044143_ops	6.858	44
ENSG00000236618	XLOC_013559_ops	ENST00000425081	TCONS_00036312_ops	5.246	45.878
ENSG00000270055	XLOC_000936_ops	ENST00000602663	TCONS_00002093_ops	5.566	42.159
ENSG00000233621	XLOC_030617_ops	ENST00000424989	TCONS_00082377_ops	4.46	19.216
ENSG00000260136	XLOC_035105_ops	ENST00000565747	TCONS_00098473_ops	6.278	31.98
ENSG00000223525	XLOC_010451_ops	ENST00000414890	TCONS_00029434_ops	8.185	39.341
ENSG00000261613	XLOC_035208_ops	ENST00000563449	TCONS_00098702_ops	7.841	30.623
ENSG00000261771	XLOC_001087_ops	ENST00000565113	TCONS_00002414_ops	4.646	17.972
ENSG00000231074	XLOC_015906_ops	ENST00000444126	TCONS_00041605_ops	7.37	165.864
ENSG00000239791	XLOC_034737_ops	ENST00000486926	TCONS_00097595_ops	7.278	17.219
ENSG00000261441	XLOC_005756_ops	ENST00000569473	TCONS_00012898_ops	4.461	55.897
ENSG00000231703	XLOC_003287_ops	ENST00000436286	TCONS_00007357_ops	4.921	44.421
ENSG00000260460	XLOC_011275_ops	ENST00000564032	TCONS_00031299_ops	12.629	61.485
ENSG00000255458	XLOC_033431_ops	ENST00000529094	TCONS_00092369_ops	6.557	20.207
ENSG00000234431	XLOC_038926_ops	ENST00000434645	TCONS_00115269_ops	6.852	72.829
ENSG00000262413	XLOC_015583_ops	ENST00000576554	TCONS_00040812_ops	4.754	107.856
ENSG00000246174	XLOC_029578_ops	ENST00000500113	TCONS_00080005_ops	4.964	16.256
ENSG00000248008	XLOC_020622_ops	ENST00000500741	TCONS_00056203_ops	6.204	29.874
ENSG00000255143	XLOC_034232_ops	ENST00000530525	TCONS_00094043_ops	5.373	46.868
ENSG00000271858	XLOC_035989_ops	ENST00000607121	TCONS_00100431_ops	6.948	35.292
ENSG00000234476	XLOC_014796_ops	ENST00000428642	TCONS_00038978_ops	8.764	76.203
ENSG00000197291	XLOC_011311_ops	ENST00000592670	TCONS_00031388_ops	6.49	36.332
ENSG00000259198	XLOC_001346_ops	ENST00000559030	TCONS_00002959_ops	12.355	21.191
ENSG00000235994	XLOC_016875_ops	ENST00000441716	TCONS_00043718_ops	4.245	23.932
ENSG00000253616	XLOC_004802_ops	ENST00000520840	TCONS_00010832_ops	4.049	5.809
ENSG00000229122	XLOC_003420_ops	ENST00000411862	TCONS_00007744_ops	5.477	32.45
ENSG00000264853	XLOC_011569_ops	ENST00000578539	TCONS_00032003_ops	9.021	56.741
ENSG00000264769	XLOC_015576_ops	ENST00000580897	TCONS_00040799_ops	8.084	62.708
ENSG00000226913	XLOC_037445_ops	ENST00000421598	TCONS_00103594_ops	9	37.63
ENSG00000272100	XLOC_013869_ops	ENST00000606527	TCONS_00037014_ops	3.817	81.213
ENSG00000214691	XLOC_009212_ops	ENST00000442214	TCONS_00025113_ops	3.859	19.404
ENSG00000267288	XLOC_015390_ops	ENST00000589796	TCONS_00047529_ops	3.833	31.032
ENSG00000278872	XLOC_020407_ops	ENST00000625164	TCONS_00055783_ops	18.419	27.888
ENSG00000281691	XLOC_037487_ops	ENST00000630404	TCONS_00103659_ops	4.109	31.365
ENSG00000279726	XLOC_007047_ops	ENST00000624712	TCONS_00015914_ops	4.194	21.372
ENSG00000204362	XLOC_029991_ops	ENST00000412427	TCONS_00080866_ops	5.484	51.476
ENSG00000234055	XLOC_007936_ops	ENST00000434250	TCONS_00017916_ops	4.405	70.052
ENSG00000272368	XLOC_041160_ops	ENST00000548468	TCONS_00116256_ops	12.41	110.939
ENSG00000279199	XLOC_011378_ops	ENST00000623793	TCONS_00031563_ops	4.587	37.306
ENSG00000257096	XLOC_001141_ops	ENST00000535893	TCONS_00002497_ops	6.793	38.105
ENSG00000267665	XLOC_011727_ops	ENST00000592572	TCONS_00032375_ops	4.982	70.697
ENSG00000259623	XLOC_011328_ops	ENST00000560400	TCONS_00031451_ops	6.948	44.096
ENSG00000231636	XLOC_008354_ops	ENST00000444217	TCONS_00024816_ops	6.196	30.892
ENSG00000236311	XLOC_005657_ops	ENST00000445873	TCONS_00012676_ops	4.746	46.418
ENSG00000266601	XLOC_015312_ops	ENST00000584276	TCONS_00040165_ops	6.395	45.737
ENSG00000237281	XLOC_038948_ops	ENST00000411433	TCONS_00109252_ops	6.744	39.119
ENSG00000279220	XLOC_040392_ops	ENST00000623040	TCONS_00112176_ops	13.342	76.96
ENSG00000265688	XLOC_015576_ops	ENST00000582106	TCONS_00040796_ops	9.434	24.851
ENSG00000253733	XLOC_003786_ops	ENST00000523103	TCONS_00008617_ops	13.878	111.262
ENSG00000229258	XLOC_010796_ops	ENST00000429499	TCONS_00030290_ops	5.55	73.64
ENSG00000248668	XLOC_022305_ops	ENST00000508458	TCONS_00059612_ops	7.185	28.436
ENSG00000260790	XLOC_034593_ops	ENST00000568827	TCONS_00097295_ops	5.082	52.203
ENSG00000254377	XLOC_022016_ops	ENST00000519741	TCONS_00059064_ops	6.941	52.067
ENSG00000282386	XLOC_011239_ops	ENST00000633140	TCONS_00031222_ops	13.2	51.942
ENSG00000228956	XLOC_042739_ops	ENST00000414198	TCONS_00119626_ops	6.129	29.077
ENSG00000252690	XLOC_000772_ops	ENST00000607520	TCONS_00001733_ops	6.799	46.331
ENSG00000255267	XLOC_032212_ops	ENST00000528390	TCONS_00090114_ops	4.239	69.244
ENSG00000225792	XLOC_042863_ops	ENST00000451368	TCONS_00119879_ops	9.055	36.892
ENSG00000267512	XLOC_020160_ops	ENST00000591825	TCONS_00055251_ops	7.158	33.753
ENSG00000205559	XLOC_041062_ops	ENST00000380711	TCONS_00116075_ops	7.257	89.206
ENSG00000230848	XLOC_007896_ops	ENST00000414976	TCONS_00017814_ops	3.735	11.21
ENSG00000236908	XLOC_043889_ops	ENST00000432994	TCONS_00122075_ops	4.512	36.135
ENSG00000279759	XLOC_026994_ops	ENST00000622968	TCONS_00083674_ops	13.624	54.516
ENSG00000247903	XLOC_041835_ops	ENST00000500632	TCONS_00117673_ops	7.373	12.933
ENSG00000279198	XLOC_020512_ops	ENST00000624324	TCONS_00069009_ops	13.712	24.261
ENSG00000230454	XLOC_035532_ops	ENST00000439898	TCONS_00099453_ops	5.696	25.609
ENSG00000267568	XLOC_015629_ops	ENST00000563583	TCONS_00040921_ops	4.667	22.685
ENSG00000267077	XLOC_034933_ops	ENST00000592465	TCONS_00098059_ops	4.416	71.353
