human gene	mouse gene	human transcript	mouse transcript	with homologs in cow	with homologs in opossum	with homologs in chicken	with homologs in lizard	with homologs in frog	with homologs in zebrafish	motif score 	gap score
ENSG00000231721	ENSMUSG00000104030	ENST00000451786	ENSMUST00000195672	0	0	0	0	0	0	5.665	15.179
ENSG00000225730	ENSMUSG00000090307	ENST00000451135	ENSMUST00000167672	0	1	0	0	0	1	3.574	50.8
ENSG00000261093	ENSMUSG00000085185	ENST00000562166	ENSMUST00000171563	1	1	0	1	1	0	6.262	21.243
ENSG00000266369	ENSMUSG00000042549	ENST00000578888	ENSMUST00000123544	1	0	0	1	1	1	5.303	70.322
ENSG00000272888	ENSMUSG00000074067	ENST00000557682	ENSMUST00000186073	0	1	0	0	0	0	3.992	23.728
ENSG00000255760	ENSMUSG00000107894	ENST00000535163	ENSMUST00000205001	0	0	0	0	0	0	4.42	40.158
ENSG00000283689	ENSMUSG00000099664	ENST00000637770	ENSMUST00000191594	0	0	0	0	0	0	5.029	62.589
ENSG00000240990	ENSMUSG00000087658	ENST00000520360	ENSMUST00000132559	1	1	1	1	1	0	8.09	16.875
ENSG00000234608	ENSMUSG00000106115	ENST00000456429	ENSMUST00000198012	0	0	0	0	0	0	4.486	8.016
ENSG00000228401	ENSMUSG00000097872	ENST00000411904	ENSMUST00000181730	1	1	0	0	1	0	5.127	43.991
ENSG00000224192	ENSMUSG00000104807	ENST00000414989	ENSMUST00000197981	0	0	0	0	0	0	5.222	51.645
ENSG00000259654	ENSMUSG00000104453	ENST00000558044	ENSMUST00000193864	1	1	0	1	1	0	10.044	14.114
ENSG00000263081	ENSMUSG00000072573	ENST00000576046	ENSMUST00000100641	0	0	0	0	0	0	4.168	29.749
ENSG00000233334	ENSMUSG00000087657	ENST00000611797	ENSMUST00000164986	0	1	0	0	0	0	5.634	28.131
ENSG00000232807	ENSMUSG00000104101	ENST00000397264	ENSMUST00000193001	0	1	0	0	0	0	6.862	102.965
ENSG00000235492	ENSMUSG00000103728	ENST00000432488	ENSMUST00000191902	0	0	0	0	0	0	3.692	54.401
ENSG00000228142	ENSMUSG00000089854	ENST00000580326	ENSMUST00000160278	0	0	0	0	0	0	3.858	43.167
ENSG00000230002	ENSMUSG00000107370	ENST00000441587	ENSMUST00000201862	1	0	1	1	0	0	8.702	14.971
ENSG00000231407	ENSMUSG00000101869	ENST00000416416	ENSMUST00000185992	0	0	0	0	0	0	3.936	80.424
ENSG00000261606	ENSMUSG00000097445	ENST00000488000	ENSMUST00000181462	1	1	0	0	0	0	5.388	18.899
ENSG00000279858	ENSMUSG00000095306	ENST00000623082	ENSMUST00000178529	0	0	0	0	0	0	3.614	8.426
ENSG00000273455	ENSMUSG00000103672	ENST00000608883	ENSMUST00000194716	0	0	0	0	0	1	3.117	84.356
ENSG00000224794	ENSMUSG00000087543	ENST00000434516	ENSMUST00000128342	1	1	1	1	1	0	9.064	34.288
ENSG00000236051	ENSMUSG00000097142	ENST00000636737	ENSMUST00000181443	1	1	0	0	0	1	9.657	27.796
ENSG00000230156	ENSMUSG00000109371	ENST00000421601	ENSMUST00000207035	0	0	0	0	0	0	3.534	29.811
ENSG00000236116	ENSMUSG00000104423	ENST00000413096	ENSMUST00000193762	1	0	0	0	0	0	7.017	21.488
ENSG00000257603	ENSMUSG00000097368	ENST00000552413	ENSMUST00000180812	0	0	0	0	0	0	3.86	37.636
ENSG00000274038	ENSMUSG00000096921	ENST00000615581	ENSMUST00000181732	0	0	0	0	0	0	3.76	18.358
ENSG00000223462	ENSMUSG00000099810	ENST00000425541	ENSMUST00000185716	0	0	0	0	0	0	3.121	60.712
ENSG00000275719	ENSMUSG00000101008	ENST00000612522	ENSMUST00000188725	0	1	1	0	1	0	5.109	32.026
ENSG00000237167	ENSMUSG00000097256	ENST00000420213	ENSMUST00000180469	1	0	0	0	0	0	4.578	62.071
ENSG00000261448	ENSMUSG00000108693	ENST00000567344	ENSMUST00000205957	0	0	0	0	0	0	3.873	9.713
ENSG00000279233	ENSMUSG00000104793	ENST00000623804	ENSMUST00000199788	1	1	1	1	1	0	7.667	16.047
ENSG00000260088	ENSMUSG00000104509	ENST00000568695	ENSMUST00000193724	1	1	1	1	1	0	12.616	47.493
ENSG00000256973	ENSMUSG00000108094	ENST00000543604	ENSMUST00000204101	0	0	0	0	0	0	3.973	24.529
ENSG00000228697	ENSMUSG00000104117	ENST00000422253	ENSMUST00000194322	0	0	0	0	0	0	4.102	16.163
ENSG00000260005	ENSMUSG00000086924	ENST00000575922	ENSMUST00000143428	1	1	1	1	1	1	9.866	28.771
ENSG00000231074	ENSMUSG00000092392	ENST00000444126	ENSMUST00000173141	1	1	0	1	1	0	6.683	25.538
ENSG00000250338	ENSMUSG00000107254	ENST00000515422	ENSMUST00000201871	0	0	0	0	0	0	4.68	19.91
ENSG00000237174	ENSMUSG00000086918	ENST00000628384	ENSMUST00000151676	1	1	1	1	1	1	9.892	12.657
ENSG00000256306	ENSMUSG00000107760	ENST00000543347	ENSMUST00000204462	0	0	0	0	0	0	3.261	33.403
ENSG00000233098	ENSMUSG00000072847	ENST00000577537	ENSMUST00000101077	1	1	0	0	1	0	8.472	29.264
ENSG00000226822	ENSMUSG00000105638	ENST00000634635	ENSMUST00000195936	0	0	0	0	0	0	3	1.414
ENSG00000267152	ENSMUSG00000109015	ENST00000588040	ENSMUST00000207600	0	1	1	1	1	0	8.946	23.564
ENSG00000267790	ENSMUSG00000086050	ENST00000593118	ENSMUST00000123882	1	1	1	1	0	0	4.93	8.888
ENSG00000280020	ENSMUSG00000086507	ENST00000623905	ENSMUST00000140556	0	0	0	0	0	0	3.659	42.796
ENSG00000254236	ENSMUSG00000097875	ENST00000522416	ENSMUST00000181362	1	1	0	0	1	0	5.507	13.379
ENSG00000260944	ENSMUSG00000097336	ENST00000563280	ENSMUST00000182264	0	0	0	0	0	0	4.06	42.936
ENSG00000258457	ENSMUSG00000040840	ENST00000557615	ENSMUST00000167763	0	0	0	0	0	0	3.546	8.327
ENSG00000225953	ENSMUSG00000099945	ENST00000450728	ENSMUST00000185283	0	0	0	0	0	0	4.248	43.319
ENSG00000241657	ENSMUSG00000103833	ENST00000471935	ENSMUST00000191867	0	0	0	0	0	0	3.847	12.021
ENSG00000225680	ENSMUSG00000102763	ENST00000436530	ENSMUST00000194871	1	0	1	0	1	0	18.177	2.685
ENSG00000264215	ENSMUSG00000072847	ENST00000578585	ENSMUST00000148413	0	0	0	0	0	0	3.905	45.177
ENSG00000227292	ENSMUSG00000103091	ENST00000450854	ENSMUST00000195711	0	0	0	0	0	0	3.734	0
ENSG00000259594	ENSMUSG00000109013	ENST00000558153	ENSMUST00000207369	0	0	0	0	0	0	3.368	31.691
ENSG00000249509	ENSMUSG00000105804	ENST00000506057	ENSMUST00000200664	0	0	0	0	0	0	4.461	30.78
ENSG00000275830	ENSMUSG00000109508	ENST00000617298	ENSMUST00000208277	0	0	0	0	0	0	3.967	27.068
ENSG00000261646	ENSMUSG00000097910	ENST00000563631	ENSMUST00000210633	0	0	0	0	0	0	4.631	20.767
ENSG00000272735	ENSMUSG00000085794	ENST00000608897	ENSMUST00000155159	1	1	0	1	0	0	9.701	48.701
ENSG00000282375	ENSMUSG00000074461	ENST00000631653	ENSMUST00000098916	0	0	0	0	0	0	3.388	65.972
ENSG00000203739	ENSMUSG00000104016	ENST00000367716	ENSMUST00000194567	1	0	0	0	0	0	3.887	52.902
ENSG00000269984	ENSMUSG00000097786	ENST00000602342	ENSMUST00000187361	0	0	0	0	0	0	4.867	24.965
ENSG00000262920	ENSMUSG00000087059	ENST00000572998	ENSMUST00000139361	1	1	0	0	0	0	6.123	14.416
ENSG00000228061	ENSMUSG00000086764	ENST00000454509	ENSMUST00000130677	0	0	0	0	0	0	3.458	31.901
ENSG00000253572	ENSMUSG00000103438	ENST00000523413	ENSMUST00000191800	0	0	0	0	0	0	5.351	12.923
ENSG00000238197	ENSMUSG00000087354	ENST00000440052	ENSMUST00000154854	1	1	1	1	1	0	7.007	13.538
ENSG00000272841	ENSMUSG00000097350	ENST00000608721	ENSMUST00000181774	0	0	0	0	0	0	3.042	32.373
ENSG00000215374	ENSMUSG00000087300	ENST00000606573	ENSMUST00000138744	0	0	0	0	0	0	4.009	42.647
ENSG00000278766	ENSMUSG00000087589	ENST00000618807	ENSMUST00000149224	0	0	0	0	0	0	4.506	18.937
ENSG00000238142	ENSMUSG00000085836	ENST00000416869	ENSMUST00000124848	0	0	0	0	0	0	3.498	57.596
ENSG00000261329	ENSMUSG00000108376	ENST00000563052	ENSMUST00000206586	0	0	0	0	0	0	3.758	12.069
ENSG00000253645	ENSMUSG00000110148	ENST00000520863	ENSMUST00000210097	0	0	0	0	0	0	3	2.55
ENSG00000253774	ENSMUSG00000110335	ENST00000524073	ENSMUST00000209585	0	0	0	0	0	0	4.167	20.268
ENSG00000232286	ENSMUSG00000103662	ENST00000426963	ENSMUST00000191912	0	0	0	0	0	0	3.642	4.743
ENSG00000259649	ENSMUSG00000109341	ENST00000561295	ENSMUST00000207512	0	0	0	0	0	0	3.192	45.203
ENSG00000283128	ENSMUSG00000097561	ENST00000635903	ENSMUST00000181005	0	0	0	0	0	0	5.468	40.276
ENSG00000272774	ENSMUSG00000097548	ENST00000608390	ENSMUST00000180406	0	0	0	0	0	0	3.146	9.883
ENSG00000278090	ENSMUSG00000097697	ENST00000611654	ENSMUST00000181235	0	0	0	0	0	0	4.687	26.768
ENSG00000263235	ENSMUSG00000103937	ENST00000570409	ENSMUST00000195629	1	1	0	0	1	0	3.875	54.04
ENSG00000224308	ENSMUSG00000105476	ENST00000419578	ENSMUST00000200051	1	0	0	0	0	0	6.141	73.784
ENSG00000265096	ENSMUSG00000086588	ENST00000581579	ENSMUST00000124901	0	0	0	0	0	0	3.281	85.898
ENSG00000240498	ENSMUSG00000086035	ENST00000582301	ENSMUST00000139272	0	0	0	0	0	0	4.808	13.748
ENSG00000257703	ENSMUSG00000103862	ENST00000548594	ENSMUST00000195005	0	0	0	0	0	0	5.006	32.613
ENSG00000248809	ENSMUSG00000109782	ENST00000507726	ENSMUST00000211475	1	1	0	0	1	1	4.943	59.095
ENSG00000279713	ENSMUSG00000099681	ENST00000623346	ENSMUST00000190120	1	1	1	1	1	0	15.093	26.542
ENSG00000204934	ENSMUSG00000097434	ENST00000461019	ENSMUST00000180741	0	0	0	0	0	0	4.577	11.252
ENSG00000236304	ENSMUSG00000109460	ENST00000447519	ENSMUST00000129058	1	1	1	1	1	0	7.795	22.861
ENSG00000273106	ENSMUSG00000097047	ENST00000609837	ENSMUST00000181147	0	0	0	0	0	0	6.088	76.859
ENSG00000259348	ENSMUSG00000100005	ENST00000561051	ENSMUST00000190320	0	1	0	0	0	0	5.685	9.391
ENSG00000259694	ENSMUSG00000109194	ENST00000558110	ENSMUST00000207526	0	0	0	0	0	0	4.158	8.411
ENSG00000223797	ENSMUSG00000100146	ENST00000425156	ENSMUST00000188320	1	0	0	1	1	0	7.175	32.963
ENSG00000224137	ENSMUSG00000102140	ENST00000429730	ENSMUST00000194323	0	1	0	0	0	0	5.702	28.749
ENSG00000233766	ENSMUSG00000099413	ENST00000594023	ENSMUST00000190169	0	0	0	0	0	0	5.328	48.119
ENSG00000241151	ENSMUSG00000102480	ENST00000492731	ENSMUST00000191922	0	0	0	0	0	0	3.774	14.08
ENSG00000267012	ENSMUSG00000096990	ENST00000592270	ENSMUST00000181078	0	0	0	0	0	0	5.109	30.351
ENSG00000223725	ENSMUSG00000101895	ENST00000432413	ENSMUST00000190863	1	0	0	0	0	0	4.593	16.093
ENSG00000236961	ENSMUSG00000097727	ENST00000424283	ENSMUST00000180519	0	0	0	0	0	0	4.273	52.089
ENSG00000224189	ENSMUSG00000075277	ENST00000416928	ENSMUST00000100000	1	0	0	0	1	1	11.257	2.468
ENSG00000260448	ENSMUSG00000108317	ENST00000569920	ENSMUST00000206898	1	1	1	0	0	0	3.993	10.847
ENSG00000255428	ENSMUSG00000044694	ENST00000528614	ENSMUST00000050829	1	0	0	0	0	0	4.973	20.582
ENSG00000247853	ENSMUSG00000087327	ENST00000501075	ENSMUST00000143765	0	0	0	0	0	0	3.462	43.332
ENSG00000231437	ENSMUSG00000074346	ENST00000438293	ENSMUST00000143893	0	0	0	0	0	0	5.232	10.344
ENSG00000250893	ENSMUSG00000107049	ENST00000514187	ENSMUST00000202931	0	0	0	0	0	0	3.5	60.056
ENSG00000249171	ENSMUSG00000087611	ENST00000510169	ENSMUST00000142871	1	0	0	0	0	0	4.512	12.669
ENSG00000232907	ENSMUSG00000086638	ENST00000425233	ENSMUST00000139042	0	0	0	0	0	0	3.074	40.751
ENSG00000277383	ENSMUSG00000109984	ENST00000611423	ENSMUST00000210035	0	0	0	0	0	0	4.093	45.442
ENSG00000226968	ENSMUSG00000107096	ENST00000421002	ENSMUST00000201992	0	0	0	0	0	0	3.768	52.235
ENSG00000253302	ENSMUSG00000089982	ENST00000517604	ENSMUST00000160446	1	0	0	0	0	0	3.984	20.18
ENSG00000267440	ENSMUSG00000085594	ENST00000593169	ENSMUST00000147438	0	0	0	0	0	0	3.952	31.771
ENSG00000248441	ENSMUSG00000109532	ENST00000555332	ENSMUST00000207472	1	0	0	1	0	1	7.883	8.071
ENSG00000277873	ENSMUSG00000086075	ENST00000613236	ENSMUST00000140833	0	0	0	0	0	0	4.49	51.269
ENSG00000260578	ENSMUSG00000101253	ENST00000562669	ENSMUST00000189363	0	0	0	0	0	0	3.199	35.454
ENSG00000279393	ENSMUSG00000097228	ENST00000623899	ENSMUST00000181648	0	0	0	0	0	0	3.697	41.488
ENSG00000238043	ENSMUSG00000097307	ENST00000426616	ENSMUST00000181815	0	0	0	0	0	0	4.212	36.28
ENSG00000254027	ENSMUSG00000104000	ENST00000517670	ENSMUST00000195727	1	1	0	1	1	0	7.918	53.759
ENSG00000261514	ENSMUSG00000085338	ENST00000565120	ENSMUST00000138424	1	0	0	0	0	0	3.78	14.975
ENSG00000262223	ENSMUSG00000043993	ENST00000570301	ENSMUST00000139014	0	0	0	0	0	0	3.995	6.305
ENSG00000230091	ENSMUSG00000104183	ENST00000432070	ENSMUST00000193604	1	1	1	1	1	0	9.218	35.056
ENSG00000244649	ENSMUSG00000075586	ENST00000492522	ENSMUST00000153012	0	0	0	0	0	0	4.758	21.872
ENSG00000268568	ENSMUSG00000108113	ENST00000602145	ENSMUST00000203156	0	0	0	0	0	0	3.642	43.102
ENSG00000244649	ENSMUSG00000084844	ENST00000478824	ENSMUST00000131275	1	1	1	1	1	0	6.329	13.026
ENSG00000267121	ENSMUSG00000078635	ENST00000591365	ENSMUST00000139621	1	1	1	1	1	0	9.517	16.746
ENSG00000249993	ENSMUSG00000086236	ENST00000515542	ENSMUST00000143564	0	0	0	0	0	0	3.181	154.684
ENSG00000246130	ENSMUSG00000104371	ENST00000501897	ENSMUST00000194830	0	0	1	0	0	0	4.033	14.177
ENSG00000279801	ENSMUSG00000086859	ENST00000624282	ENSMUST00000182811	1	1	1	1	1	0	6.628	8.524
ENSG00000231864	ENSMUSG00000097345	ENST00000456356	ENSMUST00000180841	1	1	0	0	0	0	3.744	15.984
ENSG00000279050	ENSMUSG00000109362	ENST00000624188	ENSMUST00000207194	0	0	0	0	0	1	4.913	8.93
ENSG00000218416	ENSMUSG00000101995	ENST00000538012	ENSMUST00000188589	1	1	1	1	0	0	7.825	28.607
ENSG00000273002	ENSMUSG00000098912	ENST00000610146	ENSMUST00000184013	0	1	0	0	1	0	7.487	19.868
ENSG00000236977	ENSMUSG00000102642	ENST00000428191	ENSMUST00000193052	0	0	0	0	0	0	4.142	23.574
ENSG00000185168	ENSMUSG00000085207	ENST00000577000	ENSMUST00000129379	0	0	0	0	0	0	3.559	10.7
ENSG00000250902	ENSMUSG00000109782	ENST00000513542	ENSMUST00000211475	0	0	0	0	1	0	3.574	25.904
ENSG00000274092	ENSMUSG00000045928	ENST00000617035	ENSMUST00000061823	1	1	0	0	0	0	8.913	51.559
ENSG00000248801	ENSMUSG00000103494	ENST00000512294	ENSMUST00000193623	0	0	0	1	0	1	4.093	59.836
ENSG00000279227	ENSMUSG00000101791	ENST00000623784	ENSMUST00000190690	1	1	0	1	1	1	7.414	20.259
ENSG00000225953	ENSMUSG00000104310	ENST00000442967	ENSMUST00000195287	0	1	0	0	1	0	3.756	7.594
ENSG00000253939	ENSMUSG00000110225	ENST00000517623	ENSMUST00000209854	1	0	1	0	0	0	6.2	20.257
ENSG00000237424	ENSMUSG00000085399	ENST00000445551	ENSMUST00000123272	0	0	0	0	0	0	7.21	8.653
ENSG00000279036	ENSMUSG00000084856	ENST00000624209	ENSMUST00000156822	1	1	1	1	1	1	9.03	35.239
ENSG00000272783	ENSMUSG00000106834	ENST00000608161	ENSMUST00000202708	0	1	0	0	0	0	4.255	51.032
ENSG00000275936	ENSMUSG00000107353	ENST00000617183	ENSMUST00000202548	1	1	0	1	1	0	5.26	29.833
ENSG00000233875	ENSMUSG00000090005	ENST00000421866	ENSMUST00000160263	0	0	0	0	0	0	3.069	11.79
ENSG00000266835	ENSMUSG00000097282	ENST00000581029	ENSMUST00000181546	1	0	0	1	0	0	6.369	10.817
ENSG00000236437	ENSMUSG00000099696	ENST00000452629	ENSMUST00000189828	1	0	1	1	0	0	7.078	48.743
ENSG00000267130	ENSMUSG00000108486	ENST00000593041	ENSMUST00000205869	1	0	0	0	1	0	4.841	3.841
ENSG00000267263	ENSMUSG00000086859	ENST00000585369	ENSMUST00000182811	1	1	0	1	1	0	5.321	24.89
ENSG00000226125	ENSMUSG00000099767	ENST00000415174	ENSMUST00000190367	1	1	0	0	0	0	5.847	23.224
ENSG00000237976	ENSMUSG00000084846	ENST00000455503	ENSMUST00000135483	0	0	0	0	0	0	3.951	22.995
ENSG00000251526	ENSMUSG00000105252	ENST00000508291	ENSMUST00000196718	0	0	0	0	0	0	3.233	30.116
ENSG00000275672	ENSMUSG00000074876	ENST00000617932	ENSMUST00000152813	0	1	0	0	0	0	7.917	20.917
ENSG00000260603	ENSMUSG00000098184	ENST00000562644	ENSMUST00000182352	0	0	0	0	0	0	3.104	47.007
ENSG00000227954	ENSMUSG00000097108	ENST00000607641	ENSMUST00000181953	0	1	1	1	0	1	8.698	40.893
ENSG00000259442	ENSMUSG00000097277	ENST00000558342	ENSMUST00000180385	1	1	0	0	1	0	6.504	18.421
ENSG00000279200	ENSMUSG00000087249	ENST00000623335	ENSMUST00000151825	0	0	0	0	0	0	3.512	42.716
ENSG00000254631	ENSMUSG00000109186	ENST00000533008	ENSMUST00000209114	0	0	0	0	1	0	3.799	27.958
ENSG00000260086	ENSMUSG00000098684	ENST00000565072	ENSMUST00000183611	0	0	0	0	0	0	5.363	44.535
ENSG00000261691	ENSMUSG00000084862	ENST00000565879	ENSMUST00000148064	1	1	0	0	1	0	4.399	26.651
ENSG00000224675	ENSMUSG00000097837	ENST00000434635	ENSMUST00000180810	1	0	0	0	0	1	6.625	17.44
ENSG00000264116	ENSMUSG00000097141	ENST00000578340	ENSMUST00000181931	0	0	0	0	0	0	3.405	10.247
ENSG00000244036	ENSMUSG00000084861	ENST00000587038	ENSMUST00000140275	0	0	0	0	0	0	4.745	2.872
ENSG00000249352	ENSMUSG00000104450	ENST00000504280	ENSMUST00000195282	0	1	0	0	0	0	5.249	2.28
ENSG00000258584	ENSMUSG00000100789	ENST00000555732	ENSMUST00000191414	1	1	1	0	1	0	8.882	19.25
ENSG00000279312	ENSMUSG00000100775	ENST00000625013	ENSMUST00000190910	0	0	1	0	0	1	4.018	20.791
ENSG00000279446	ENSMUSG00000087597	ENST00000624912	ENSMUST00000128240	0	0	0	0	0	0	3.084	13.723
ENSG00000271774	ENSMUSG00000096972	ENST00000606932	ENSMUST00000180945	0	0	0	0	0	0	22.708	0.295
ENSG00000279330	ENSMUSG00000097590	ENST00000622989	ENSMUST00000181068	1	1	1	0	1	0	8.298	17.443
ENSG00000251533	ENSMUSG00000097081	ENST00000514902	ENSMUST00000181085	0	0	0	0	0	0	4.512	17.675
ENSG00000246982	ENSMUSG00000087615	ENST00000526611	ENSMUST00000146779	1	1	0	1	1	0	10.729	14.715
ENSG00000248265	ENSMUSG00000099758	ENST00000515617	ENSMUST00000186379	1	1	0	1	0	0	5.474	45.867
ENSG00000268499	ENSMUSG00000108968	ENST00000598146	ENSMUST00000207620	0	1	1	1	1	0	9.812	22.588
ENSG00000278709	ENSMUSG00000087382	ENST00000614771	ENSMUST00000153523	1	0	0	0	0	0	4.794	14.649
ENSG00000223669	ENSMUSG00000087550	ENST00000430184	ENSMUST00000154524	0	0	0	0	0	0	3.438	10.083
ENSG00000171671	ENSMUSG00000085745	ENST00000307548	ENSMUST00000125355	0	0	0	0	0	0	4.31	31.425
ENSG00000272479	ENSMUSG00000053979	ENST00000606398	ENSMUST00000066740	0	0	0	0	0	0	4.129	38.308
ENSG00000255108	ENSMUSG00000086844	ENST00000528982	ENSMUST00000134845	1	0	0	1	0	0	5.787	14.312
ENSG00000278834	ENSMUSG00000084890	ENST00000619697	ENSMUST00000139095	1	1	1	1	1	0	10.52	14.426
ENSG00000277701	ENSMUSG00000087589	ENST00000622367	ENSMUST00000194426	0	0	0	0	0	0	3.448	2.944
ENSG00000242659	ENSMUSG00000097344	ENST00000492981	ENSMUST00000181807	1	0	0	1	1	0	6.248	86.132
ENSG00000249423	ENSMUSG00000104521	ENST00000509456	ENSMUST00000195736	0	0	0	0	0	0	3.826	0
ENSG00000231616	ENSMUSG00000097399	ENST00000592283	ENSMUST00000180882	0	0	0	0	0	0	4.431	20.106
ENSG00000246100	ENSMUSG00000099696	ENST00000499809	ENSMUST00000191603	1	0	1	1	1	0	5.785	21.932
ENSG00000235908	ENSMUSG00000103970	ENST00000428083	ENSMUST00000192908	1	0	0	1	0	0	3.76	18.735
ENSG00000246422	ENSMUSG00000073590	ENST00000502205	ENSMUST00000192137	0	0	0	0	0	0	3.805	21.424
ENSG00000271858	ENSMUSG00000097099	ENST00000607121	ENSMUST00000181099	1	1	1	1	1	1	8.423	21.654
ENSG00000259541	ENSMUSG00000100836	ENST00000558822	ENSMUST00000186146	0	0	0	0	0	0	3.65	51.923
ENSG00000263167	ENSMUSG00000085636	ENST00000570413	ENSMUST00000140273	1	1	1	1	0	1	9.128	18.818
ENSG00000233926	ENSMUSG00000084910	ENST00000437181	ENSMUST00000122923	1	0	0	0	0	0	4.842	23.468
ENSG00000229848	ENSMUSG00000085636	ENST00000442532	ENSMUST00000140273	1	1	1	1	1	1	9.696	41.408
ENSG00000278709	ENSMUSG00000086537	ENST00000614771	ENSMUST00000143738	1	1	0	0	0	0	5.599	19.122
ENSG00000205740	ENSMUSG00000097859	ENST00000381466	ENSMUST00000181427	1	1	1	1	1	0	10.845	26.351
ENSG00000261386	ENSMUSG00000098120	ENST00000605277	ENSMUST00000182046	1	1	0	1	1	1	10.593	15.827
ENSG00000234945	ENSMUSG00000107120	ENST00000589853	ENSMUST00000202437	1	1	0	0	1	0	5.792	6.45
ENSG00000277757	ENSMUSG00000107785	ENST00000599308	ENSMUST00000205216	0	1	0	0	0	0	4.261	15.505
ENSG00000260619	ENSMUSG00000109450	ENST00000563737	ENSMUST00000207602	1	0	0	0	0	0	4.877	41.478
ENSG00000276308	ENSMUSG00000107115	ENST00000617627	ENSMUST00000201451	0	0	0	0	0	0	4.007	50.018
ENSG00000240288	ENSMUSG00000108024	ENST00000439539	ENSMUST00000204352	0	0	0	0	0	0	4.784	23.328
ENSG00000227512	ENSMUSG00000087612	ENST00000439501	ENSMUST00000151069	1	1	0	0	0	0	4.491	18.888
ENSG00000226757	ENSMUSG00000104568	ENST00000424958	ENSMUST00000198885	0	0	0	0	0	0	5.33	38.967
ENSG00000261428	ENSMUSG00000102052	ENST00000568928	ENSMUST00000189245	0	0	0	0	0	0	3.839	38.383
ENSG00000231721	ENSMUSG00000086212	ENST00000451786	ENSMUST00000139185	1	0	0	0	1	1	6.509	26.185
ENSG00000227053	ENSMUSG00000105851	ENST00000448513	ENSMUST00000197965	0	0	0	0	0	0	3.89	65.791
ENSG00000244265	ENSMUSG00000097725	ENST00000461943	ENSMUST00000203879	0	0	0	0	0	0	3.528	66.276
ENSG00000249664	ENSMUSG00000102756	ENST00000514840	ENSMUST00000193481	0	0	0	0	0	0	3.301	46.094
ENSG00000258554	ENSMUSG00000100548	ENST00000554022	ENSMUST00000187855	0	0	0	0	0	0	3.533	31.836
ENSG00000226620	ENSMUSG00000099890	ENST00000414368	ENSMUST00000185463	0	0	0	0	0	0	5.26	0.447
ENSG00000263674	ENSMUSG00000097335	ENST00000584815	ENSMUST00000181152	0	0	0	0	0	0	4.61	104.494
ENSG00000272836	ENSMUSG00000097578	ENST00000610050	ENSMUST00000181384	1	1	1	1	1	0	9.596	31.613
ENSG00000254932	ENSMUSG00000093721	ENST00000526796	ENSMUST00000176020	1	0	0	0	0	0	5.398	28.576
ENSG00000171671	ENSMUSG00000109500	ENST00000307548	ENSMUST00000207456	0	0	0	0	0	0	3.753	12.933
ENSG00000237336	ENSMUSG00000108155	ENST00000458025	ENSMUST00000204396	0	0	0	0	0	0	3.908	9.341
ENSG00000262456	ENSMUSG00000101295	ENST00000571775	ENSMUST00000189608	0	0	0	0	0	0	5.202	26.054
ENSG00000268650	ENSMUSG00000080058	ENST00000594805	ENSMUST00000116172	1	1	0	0	0	0	5.085	26.855
ENSG00000251562	ENSMUSG00000092341	ENST00000508832	ENSMUST00000172812	0	1	0	1	0	0	8.622	3.902
ENSG00000278957	ENSMUSG00000099635	ENST00000623734	ENSMUST00000188560	1	1	1	1	1	1	8.673	46.696
ENSG00000253927	ENSMUSG00000097361	ENST00000523722	ENSMUST00000181629	1	1	0	0	0	0	5.04	53.434
ENSG00000278994	ENSMUSG00000108693	ENST00000624475	ENSMUST00000205957	0	0	0	0	0	0	4.629	22.83
ENSG00000278959	ENSMUSG00000107681	ENST00000623178	ENSMUST00000204264	1	0	0	0	0	0	5.816	28.432
ENSG00000253865	ENSMUSG00000097324	ENST00000521756	ENSMUST00000182244	0	0	0	0	0	0	4.131	7.297
ENSG00000249618	ENSMUSG00000103426	ENST00000508724	ENSMUST00000193848	0	0	0	0	0	0	7.184	1.558
ENSG00000264546	ENSMUSG00000086487	ENST00000583426	ENSMUST00000153672	0	0	0	0	0	0	4.503	20.193
ENSG00000175611	ENSMUSG00000102282	ENST00000429781	ENSMUST00000195845	1	1	0	1	0	0	6.769	44.229
ENSG00000279149	ENSMUSG00000107388	ENST00000623911	ENSMUST00000201604	0	0	0	0	0	0	3.957	26.856
ENSG00000253519	ENSMUSG00000087607	ENST00000518054	ENSMUST00000156446	0	0	0	0	0	0	3.108	13.317
ENSG00000261583	ENSMUSG00000108522	ENST00000563611	ENSMUST00000206841	0	0	0	0	0	0	3.439	26.115
ENSG00000260037	ENSMUSG00000084847	ENST00000563041	ENSMUST00000140263	0	1	0	0	0	0	4.388	12.777
ENSG00000231163	ENSMUSG00000087459	ENST00000425631	ENSMUST00000179945	0	0	0	0	0	0	3.855	16.576
ENSG00000239677	ENSMUSG00000052236	ENST00000478988	ENSMUST00000203073	0	0	0	0	0	0	3.066	12.261
ENSG00000253986	ENSMUSG00000104405	ENST00000518590	ENSMUST00000194938	0	0	1	0	0	1	3.836	48.104
ENSG00000241770	ENSMUSG00000104189	ENST00000480817	ENSMUST00000192618	0	1	0	1	0	0	4.397	33.919
ENSG00000260262	ENSMUSG00000105590	ENST00000568585	ENSMUST00000196046	1	1	0	1	1	0	5.43	33.244
ENSG00000176515	ENSMUSG00000087220	ENST00000314040	ENSMUST00000131539	0	1	0	0	0	0	3	8.246
ENSG00000279099	ENSMUSG00000109648	ENST00000623193	ENSMUST00000209370	0	0	0	0	0	0	4.983	26.981
