human gene	lizard gene	human transcript	lizard transcript	motif-pattern similarity score	gap penalty score
ENSG00000264490	XLOC_021206_liz	ENST00000583223	TCONS_00047605_liz	9.929	57.491
ENSG00000250129	XLOC_029114_liz	ENST00000511339	TCONS_00065566_liz	4.399	9.644
ENSG00000259615	XLOC_045994_liz	ENST00000560477	TCONS_00102303_liz	3.82	41.481
ENSG00000246067	XLOC_019041_liz	ENST00000533708	TCONS_00042282_liz	6.481	79.147
ENSG00000266925	XLOC_050555_liz	ENST00000587907	TCONS_00112585_liz	3.937	10.63
ENSG00000214955	XLOC_018191_liz	ENST00000427022	TCONS_00040645_liz	4.865	18.097
ENSG00000259579	XLOC_043797_liz	ENST00000559755	TCONS_00097455_liz	6.966	21.37
ENSG00000279180	XLOC_030018_liz	ENST00000624053	TCONS_00067848_liz	8.997	38.639
ENSG00000254306	XLOC_042011_liz	ENST00000517714	TCONS_00093592_liz	4.555	25.421
ENSG00000280057	XLOC_006757_liz	ENST00000623222	TCONS_00015030_liz	5.039	27.673
ENSG00000230612	XLOC_009250_liz	ENST00000629903	TCONS_00021418_liz	3.836	22.428
ENSG00000258559	XLOC_000331_liz	ENST00000554532	TCONS_00001522_liz	4.093	71.392
ENSG00000279948	XLOC_049543_liz	ENST00000624074	TCONS_00110352_liz	5.157	37.005
ENSG00000265692	XLOC_009090_liz	ENST00000581489	TCONS_00021081_liz	5.975	40.278
ENSG00000237737	XLOC_049678_liz	ENST00000412957	TCONS_00110703_liz	9.196	25.115
ENSG00000264673	XLOC_050545_liz	ENST00000578710	TCONS_00112561_liz	4.948	20.5
ENSG00000260917	XLOC_032766_liz	ENST00000564352	TCONS_00073463_liz	8.628	40.481
ENSG00000228705	XLOC_023334_liz	ENST00000412500	TCONS_00052243_liz	5.338	57.537
ENSG00000260673	XLOC_033288_liz	ENST00000568110	TCONS_00074617_liz	4.291	86.316
ENSG00000261535	XLOC_050452_liz	ENST00000566572	TCONS_00112316_liz	4.433	94.677
ENSG00000124835	XLOC_001611_liz	ENST00000244820	TCONS_00004477_liz	3.973	81.639
ENSG00000230091	XLOC_035370_liz	ENST00000432070	TCONS_00078936_liz	8.049	66.125
ENSG00000231294	XLOC_001542_liz	ENST00000412065	TCONS_00004312_liz	4.526	41.104
ENSG00000258931	XLOC_017717_liz	ENST00000557426	TCONS_00039648_liz	3.336	21.299
ENSG00000233410	XLOC_033562_liz	ENST00000427439	TCONS_00075119_liz	8.222	88.411
ENSG00000279147	XLOC_013848_liz	ENST00000623415	TCONS_00032149_liz	7.853	55.058
ENSG00000245522	XLOC_039377_liz	ENST00000525154	TCONS_00087695_liz	4.689	59.694
ENSG00000268266	XLOC_040473_liz	ENST00000594562	TCONS_00089961_liz	4.812	4.243
ENSG00000279047	XLOC_020162_liz	ENST00000623741	TCONS_00045065_liz	4.777	21.081
ENSG00000266369	XLOC_050562_liz	ENST00000578888	TCONS_00112626_liz	5.294	83.236
ENSG00000245385	XLOC_053087_liz	ENST00000501918	TCONS_00118843_liz	4.224	25.628
ENSG00000254363	XLOC_022316_liz	ENST00000607850	TCONS_00049983_liz	5.294	57.869
ENSG00000268896	XLOC_001370_liz	ENST00000596829	TCONS_00004006_liz	5.767	36.533
ENSG00000243766	XLOC_038157_liz	ENST00000614457	TCONS_00084990_liz	3.505	60.28
ENSG00000242268	XLOC_016378_liz	ENST00000484765	TCONS_00037078_liz	4.061	43.238
ENSG00000261595	XLOC_020924_liz	ENST00000566195	TCONS_00046952_liz	4.167	75.726
ENSG00000250635	XLOC_020219_liz	ENST00000514287	TCONS_00045174_liz	10.143	41.691
ENSG00000261140	XLOC_053388_liz	ENST00000562232	TCONS_00119646_liz	8.052	8.359
ENSG00000278989	XLOC_016231_liz	ENST00000624124	TCONS_00031166_liz	10.077	30.105
ENSG00000263069	XLOC_008774_liz	ENST00000575034	TCONS_00020215_liz	16.258	57.794
ENSG00000203362	XLOC_003178_liz	ENST00000417591	TCONS_00007726_liz	7.816	47.537
ENSG00000253408	XLOC_048925_liz	ENST00000521470	TCONS_00108940_liz	8.836	37.184
ENSG00000260176	XLOC_053388_liz	ENST00000565111	TCONS_00119647_liz	4.154	42.774
ENSG00000224592	XLOC_045409_liz	ENST00000428151	TCONS_00100765_liz	11.854	44.434
ENSG00000261467	XLOC_053938_liz	ENST00000567919	TCONS_00121048_liz	10.728	52.876
ENSG00000237248	XLOC_008494_liz	ENST00000427111	TCONS_00019428_liz	6.256	36.226
ENSG00000226869	XLOC_026579_liz	ENST00000450896	TCONS_00059636_liz	5.624	65.574
ENSG00000232098	XLOC_040478_liz	ENST00000593393	TCONS_00089980_liz	6.246	59.19
ENSG00000099869	XLOC_000979_liz	ENST00000445504	TCONS_00002981_liz	3.477	44.325
ENSG00000253406	XLOC_012277_liz	ENST00000523176	TCONS_00028210_liz	5.678	81.042
ENSG00000236209	XLOC_051290_liz	ENST00000418001	TCONS_00114520_liz	4.731	14.257
ENSG00000212694	XLOC_049035_liz	ENST00000538335	TCONS_00109217_liz	7.907	20.218
ENSG00000260792	XLOC_000078_liz	ENST00000564585	TCONS_00001011_liz	8.136	16.42
ENSG00000257771	XLOC_011746_liz	ENST00000549734	TCONS_00026930_liz	4.243	19.506
ENSG00000232828	XLOC_041232_liz	ENST00000416061	TCONS_00091776_liz	4.96	36.083
ENSG00000258297	XLOC_053441_liz	ENST00000550837	TCONS_00119805_liz	3.555	156.51
ENSG00000254610	XLOC_004948_liz	ENST00000527543	TCONS_00011391_liz	5.641	40.794
ENSG00000231927	XLOC_041283_liz	ENST00000416100	TCONS_00091872_liz	5.079	57.194
ENSG00000223396	XLOC_020979_liz	ENST00000441932	TCONS_00047046_liz	6.932	66.631
ENSG00000197291	XLOC_029665_liz	ENST00000592670	TCONS_00066874_liz	8.613	34.478
ENSG00000196758	XLOC_001578_liz	ENST00000358775	TCONS_00004390_liz	7.313	35.709
ENSG00000220575	XLOC_028664_liz	ENST00000395731	TCONS_00064527_liz	4.241	40.552
ENSG00000280211	XLOC_034422_liz	ENST00000623557	TCONS_00076984_liz	8.06	151.377
ENSG00000267470	XLOC_040490_liz	ENST00000588382	TCONS_00090036_liz	7.02	12.265
ENSG00000253973	XLOC_000893_liz	ENST00000531592	TCONS_00002813_liz	6.999	46.43
ENSG00000267898	XLOC_038474_liz	ENST00000594305	TCONS_00085727_liz	4.273	37.941
ENSG00000230148	XLOC_029642_liz	ENST00000435312	TCONS_00066820_liz	5.386	14.119
ENSG00000271032	XLOC_048180_liz	ENST00000605640	TCONS_00106986_liz	4.882	21.396
ENSG00000247081	XLOC_019253_liz	ENST00000523614	TCONS_00043300_liz	4.341	9.849
ENSG00000262115	XLOC_008796_liz	ENST00000571085	TCONS_00020277_liz	6.695	50.823
ENSG00000263080	XLOC_050055_liz	ENST00000572706	TCONS_00111464_liz	6.357	15.297
ENSG00000225969	XLOC_053938_liz	ENST00000427153	TCONS_00121048_liz	5.846	30.703
ENSG00000229915	XLOC_005198_liz	ENST00000447880	TCONS_00012012_liz	7.728	54.189
ENSG00000248265	XLOC_008316_liz	ENST00000515617	TCONS_00018933_liz	4.264	89.086
ENSG00000244215	XLOC_009844_liz	ENST00000488425	TCONS_00022891_liz	4.142	14.361
ENSG00000269898	XLOC_046308_liz	ENST00000602789	TCONS_00102821_liz	6.049	31.796
ENSG00000269939	XLOC_016252_liz	ENST00000602322	TCONS_00036845_liz	6.649	76.117
ENSG00000203280	XLOC_046506_liz	ENST00000366110	TCONS_00103285_liz	4.031	21.668
ENSG00000225063	XLOC_022868_liz	ENST00000452599	TCONS_00051217_liz	3.986	42.919
ENSG00000254649	XLOC_041907_liz	ENST00000527030	TCONS_00093316_liz	4.967	18.31
ENSG00000180422	XLOC_047379_liz	ENST00000565008	TCONS_00105250_liz	4.673	74.039
ENSG00000279811	XLOC_019801_liz	ENST00000624814	TCONS_00044405_liz	15.621	26.808
ENSG00000271434	XLOC_014418_liz	ENST00000604581	TCONS_00033379_liz	4.223	22.528
ENSG00000269959	XLOC_049614_liz	ENST00000602324	TCONS_00110522_liz	7.146	31.123
ENSG00000253855	XLOC_005829_liz	ENST00000520162	TCONS_00013201_liz	3.487	11.518
ENSG00000279066	XLOC_012195_liz	ENST00000624980	TCONS_00028022_liz	5.631	74.105
ENSG00000278834	XLOC_028385_liz	ENST00000619697	TCONS_00063849_liz	6.085	21.821
ENSG00000250133	XLOC_008344_liz	ENST00000604081	TCONS_00019004_liz	5.22	59.244
ENSG00000238198	XLOC_023058_liz	ENST00000421157	TCONS_00051631_liz	7.815	47.476
ENSG00000279283	XLOC_043077_liz	ENST00000624048	TCONS_00095943_liz	6.053	23.784
ENSG00000232940	XLOC_052272_liz	ENST00000450514	TCONS_00116830_liz	3.891	42.679
ENSG00000248801	XLOC_021721_liz	ENST00000512294	TCONS_00048634_liz	4.897	167.662
ENSG00000283095	XLOC_014346_liz	ENST00000634373	TCONS_00033232_liz	3.802	34.453
ENSG00000130600	XLOC_000979_liz	ENST00000411861	TCONS_00002981_liz	3.45	61.262
ENSG00000279692	XLOC_008763_liz	ENST00000624417	TCONS_00020160_liz	10.497	86.135
ENSG00000254928	XLOC_039632_liz	ENST00000530510	TCONS_00088283_liz	8.808	96.018
ENSG00000236754	XLOC_025554_liz	ENST00000611039	TCONS_00057364_liz	6.909	66.203
ENSG00000247699	XLOC_038975_liz	ENST00000501818	TCONS_00086881_liz	4.503	32.392
ENSG00000261407	XLOC_045997_liz	ENST00000570120	TCONS_00102307_liz	3.864	20.704
ENSG00000230102	XLOC_048759_liz	ENST00000432154	TCONS_00108503_liz	4.781	34.605
ENSG00000228151	XLOC_028065_liz	ENST00000417506	TCONS_00062993_liz	7.406	9.577
ENSG00000251309	XLOC_041014_liz	ENST00000505091	TCONS_00091265_liz	4.769	46.287
ENSG00000278901	XLOC_022293_liz	ENST00000625195	TCONS_00049885_liz	6.518	22.006
ENSG00000279159	XLOC_045095_liz	ENST00000624945	TCONS_00100138_liz	7.983	27.855
ENSG00000225292	XLOC_032666_liz	ENST00000428766	TCONS_00073279_liz	3.922	138.411
ENSG00000253187	XLOC_038133_liz	ENST00000523790	TCONS_00084950_liz	6.452	18.673
ENSG00000235295	XLOC_025523_liz	ENST00000443243	TCONS_00057284_liz	9.418	34.367
ENSG00000236088	XLOC_011996_liz	ENST00000602743	TCONS_00016452_liz	4.428	17.706
ENSG00000269303	XLOC_052819_liz	ENST00000600959	TCONS_00118171_liz	9.681	43.94
ENSG00000267750	XLOC_028315_liz	ENST00000586388	TCONS_00063589_liz	4.879	30.5
ENSG00000278214	XLOC_046308_liz	ENST00000612023	TCONS_00102821_liz	8.053	49.573
ENSG00000227407	XLOC_038421_liz	ENST00000457113	TCONS_00085546_liz	7.382	99.208
ENSG00000262585	XLOC_008796_liz	ENST00000576738	TCONS_00020277_liz	4.105	58.628
ENSG00000130600	XLOC_000988_liz	ENST00000431095	TCONS_00003008_liz	10.366	67.553
ENSG00000235120	XLOC_012692_liz	ENST00000442384	TCONS_00029105_liz	4.605	30.426
ENSG00000264808	XLOC_046537_liz	ENST00000577218	TCONS_00103347_liz	9.076	39.047
ENSG00000258736	XLOC_000092_liz	ENST00000553433	TCONS_00001031_liz	10.665	45.164
ENSG00000198221	XLOC_003092_liz	ENST00000359760	TCONS_00007495_liz	4.036	177.871
ENSG00000278949	XLOC_043079_liz	ENST00000623177	TCONS_00095953_liz	3.714	9.95
ENSG00000279462	XLOC_030025_liz	ENST00000622998	TCONS_00067859_liz	8.536	41.887
ENSG00000226137	XLOC_008775_liz	ENST00000573167	TCONS_00020221_liz	7.371	26.742
ENSG00000280076	XLOC_044160_liz	ENST00000624819	TCONS_00098160_liz	10.173	32.159
ENSG00000269352	XLOC_029715_liz	ENST00000599259	TCONS_00067029_liz	6.237	33.204
ENSG00000214894	XLOC_013372_liz	ENST00000399196	TCONS_00030453_liz	3.474	12.708
ENSG00000238063	XLOC_045409_liz	ENST00000634732	TCONS_00100765_liz	7.677	54.051
ENSG00000236144	XLOC_038247_liz	ENST00000588286	TCONS_00085145_liz	10.169	26.471
ENSG00000233483	XLOC_029438_liz	ENST00000589518	TCONS_00066300_liz	3.539	17.664
ENSG00000271983	XLOC_041608_liz	ENST00000607458	TCONS_00092680_liz	4.135	55.691
ENSG00000267493	XLOC_055957_liz	ENST00000585832	TCONS_00126433_liz	9.538	38.317
ENSG00000178412	XLOC_022006_liz	ENST00000317008	TCONS_00049183_liz	8.073	69.108
ENSG00000280402	XLOC_053380_liz	ENST00000625130	TCONS_00119624_liz	5.034	36.688
ENSG00000205054	XLOC_056042_liz	ENST00000454673	TCONS_00126662_liz	13.46	29.87
ENSG00000245694	XLOC_030181_liz	ENST00000557792	TCONS_00068177_liz	4.589	48.41
ENSG00000261121	XLOC_026400_liz	ENST00000569621	TCONS_00059236_liz	10.144	56.242
ENSG00000280038	XLOC_053489_liz	ENST00000623634	TCONS_00119938_liz	7.168	29.785
ENSG00000267992	XLOC_052584_liz	ENST00000597303	TCONS_00117553_liz	6.444	37.76
ENSG00000196273	XLOC_037856_liz	ENST00000553367	TCONS_00084372_liz	5.353	68.045
ENSG00000265688	XLOC_012206_liz	ENST00000582106	TCONS_00028048_liz	11.915	57.361
ENSG00000275966	XLOC_008775_liz	ENST00000617652	TCONS_00020227_liz	4.44	23.516
ENSG00000264701	XLOC_029625_liz	ENST00000578239	TCONS_00066756_liz	4.83	55
ENSG00000221817	XLOC_031496_liz	ENST00000422977	TCONS_00070801_liz	3.245	9.899
ENSG00000270049	XLOC_039408_liz	ENST00000635000	TCONS_00087765_liz	5.326	12.321
ENSG00000257038	XLOC_039635_liz	ENST00000546324	TCONS_00088288_liz	4.306	61.567
ENSG00000224596	XLOC_046791_liz	ENST00000456353	TCONS_00103869_liz	6.31	81.203
ENSG00000259033	XLOC_040747_liz	ENST00000553791	TCONS_00090605_liz	5.997	13.077
ENSG00000279036	XLOC_028519_liz	ENST00000624209	TCONS_00064177_liz	4.641	59.653
ENSG00000260296	XLOC_024645_liz	ENST00000567102	TCONS_00055613_liz	4.399	483.651
ENSG00000261359	XLOC_055345_liz	ENST00000561916	TCONS_00124817_liz	4.641	91.518
ENSG00000198685	XLOC_009816_liz	ENST00000356020	TCONS_00022852_liz	3.713	7.326
ENSG00000269352	XLOC_028574_liz	ENST00000601893	TCONS_00064309_liz	3.867	387.396
ENSG00000268191	XLOC_008414_liz	ENST00000596027	TCONS_00019145_liz	4.83	66.263
ENSG00000259230	XLOC_035282_liz	ENST00000559946	TCONS_00078745_liz	5.948	61.816
ENSG00000224812	XLOC_039585_liz	ENST00000450287	TCONS_00088132_liz	4.698	73.668
ENSG00000204650	XLOC_028298_liz	ENST00000591271	TCONS_00063550_liz	10.603	36.493
ENSG00000280073	XLOC_040751_liz	ENST00000624684	TCONS_00090614_liz	5.505	13
ENSG00000239791	XLOC_048225_liz	ENST00000486926	TCONS_00107131_liz	5.281	25.116
ENSG00000247095	XLOC_001015_liz	ENST00000500447	TCONS_00003084_liz	7.228	30.757
ENSG00000260470	XLOC_011422_liz	ENST00000564380	TCONS_00026228_liz	7.221	41.504
ENSG00000249906	XLOC_029665_liz	ENST00000514506	TCONS_00066872_liz	3.86	79.276
ENSG00000197815	XLOC_050555_liz	ENST00000354746	TCONS_00112588_liz	8.032	43.261
ENSG00000224165	XLOC_052074_liz	ENST00000434897	TCONS_00116316_liz	6.154	42.658
ENSG00000215403	XLOC_025709_liz	ENST00000400221	TCONS_00057818_liz	8.348	68.767
ENSG00000269353	XLOC_030412_liz	ENST00000597260	TCONS_00068607_liz	4.802	18.214
ENSG00000234913	XLOC_025554_liz	ENST00000441167	TCONS_00057364_liz	12.601	29.324
ENSG00000213057	XLOC_039730_liz	ENST00000521244	TCONS_00088473_liz	10.741	24.182
ENSG00000254545	XLOC_040164_liz	ENST00000527035	TCONS_00089251_liz	9.615	48.729
ENSG00000258891	XLOC_004149_liz	ENST00000555916	TCONS_00009656_liz	6.654	89.479
ENSG00000280039	XLOC_055927_liz	ENST00000625159	TCONS_00126325_liz	10.874	25.828
ENSG00000272729	XLOC_042742_liz	ENST00000608941	TCONS_00095209_liz	5.53	30.822
ENSG00000228274	XLOC_025709_liz	ENST00000422408	TCONS_00057815_liz	9.64	55.356
ENSG00000267446	XLOC_029440_liz	ENST00000589730	TCONS_00066305_liz	3.594	18.912
ENSG00000224821	XLOC_005521_liz	ENST00000458403	TCONS_00012603_liz	4.164	45.23
ENSG00000261971	XLOC_053388_liz	ENST00000573130	TCONS_00119646_liz	8.971	79.943
ENSG00000237174	XLOC_006407_liz	ENST00000628384	TCONS_00014287_liz	7.115	25.495
ENSG00000249695	XLOC_025521_liz	ENST00000508953	TCONS_00057270_liz	5.589	44.043
ENSG00000256008	XLOC_041961_liz	ENST00000540369	TCONS_00093468_liz	6.224	24.095
ENSG00000261449	XLOC_048925_liz	ENST00000564481	TCONS_00108939_liz	7.02	26.384
ENSG00000231133	XLOC_023342_liz	ENST00000447910	TCONS_00052257_liz	3.609	27.409
ENSG00000260910	XLOC_017661_liz	ENST00000562710	TCONS_00039543_liz	4.25	15.46
ENSG00000280323	XLOC_004864_liz	ENST00000623864	TCONS_00011203_liz	5.257	89.27
ENSG00000240006	XLOC_013990_liz	ENST00000482019	TCONS_00032466_liz	4.124	28.714
ENSG00000235527	XLOC_020977_liz	ENST00000450706	TCONS_00047042_liz	4.995	45.875
ENSG00000261799	XLOC_023596_liz	ENST00000570140	TCONS_00053285_liz	4.495	21.249
ENSG00000257252	XLOC_023895_liz	ENST00000552835	TCONS_00054084_liz	8.588	40.866
ENSG00000226208	XLOC_041358_liz	ENST00000423187	TCONS_00092067_liz	3.335	96.302
ENSG00000260573	XLOC_034910_liz	ENST00000637635	TCONS_00077926_liz	6.829	26.019
ENSG00000222017	XLOC_045738_liz	ENST00000409845	TCONS_00101759_liz	3.497	27.111
ENSG00000278716	XLOC_046308_liz	ENST00000620845	TCONS_00102821_liz	9.565	86.948
ENSG00000263753	XLOC_021862_liz	ENST00000581471	TCONS_00048954_liz	4.741	35.572
ENSG00000260148	XLOC_051483_liz	ENST00000565829	TCONS_00115045_liz	3.414	26.58
ENSG00000198454	XLOC_053920_liz	ENST00000371629	TCONS_00120999_liz	5.393	41.942
ENSG00000225329	XLOC_026580_liz	ENST00000631061	TCONS_00059637_liz	4.533	53.115
ENSG00000272221	XLOC_054903_liz	ENST00000606743	TCONS_00123498_liz	4.637	12.345
ENSG00000224536	XLOC_020982_liz	ENST00000454651	TCONS_00047054_liz	3.919	58.243
ENSG00000236753	XLOC_025385_liz	ENST00000429067	TCONS_00056991_liz	6.866	22.206
ENSG00000269834	XLOC_040494_liz	ENST00000594119	TCONS_00090047_liz	9.678	35.978
ENSG00000280422	XLOC_009642_liz	ENST00000624646	TCONS_00022351_liz	4.664	50.164
ENSG00000259380	XLOC_004056_liz	ENST00000561320	TCONS_00009461_liz	5.359	89.977
ENSG00000261959	XLOC_029662_liz	ENST00000572855	TCONS_00066868_liz	5.542	62.542
ENSG00000279266	XLOC_000789_liz	ENST00000623701	TCONS_00002564_liz	7.405	48.797
ENSG00000235262	XLOC_002842_liz	ENST00000412242	TCONS_00006909_liz	4.238	51.573
ENSG00000212694	XLOC_049035_liz	ENST00000537157	TCONS_00109217_liz	6.579	24.678
ENSG00000267219	XLOC_052826_liz	ENST00000591311	TCONS_00118197_liz	5.558	61.893
ENSG00000240990	XLOC_038125_liz	ENST00000520360	TCONS_00084941_liz	7.713	19.853
ENSG00000254885	XLOC_041909_liz	ENST00000527440	TCONS_00093321_liz	5.177	29.863
ENSG00000253552	XLOC_038125_liz	ENST00000517550	TCONS_00084941_liz	5.527	70.195
ENSG00000266538	XLOC_012007_liz	ENST00000584643	TCONS_00027589_liz	9.192	31.73
ENSG00000236311	XLOC_035774_liz	ENST00000445873	TCONS_00079931_liz	5.386	50.028
ENSG00000215386	XLOC_018363_liz	ENST00000602339	TCONS_00031347_liz	3.58	12.517
ENSG00000214970	XLOC_012045_liz	ENST00000577181	TCONS_00027660_liz	3.045	37.63
ENSG00000223525	XLOC_020090_liz	ENST00000414890	TCONS_00044916_liz	6.638	26.904
ENSG00000237037	XLOC_023812_liz	ENST00000617009	TCONS_00053840_liz	3.722	60.545
ENSG00000279108	XLOC_030409_liz	ENST00000623128	TCONS_00068597_liz	4.811	28.996
ENSG00000215386	XLOC_018373_liz	ENST00000619222	TCONS_00040941_liz	6.917	65.574
ENSG00000262188	XLOC_008774_liz	ENST00000574526	TCONS_00020215_liz	3.882	45.905
ENSG00000268218	XLOC_006692_liz	ENST00000602042	TCONS_00014882_liz	5.8	34.142
ENSG00000267727	XLOC_048063_liz	ENST00000587312	TCONS_00106760_liz	4.812	34.249
ENSG00000263167	XLOC_008796_liz	ENST00000570413	TCONS_00020273_liz	7.343	53.173
ENSG00000276728	XLOC_029454_liz	ENST00000612013	TCONS_00066346_liz	4.573	73.099
ENSG00000230550	XLOC_022865_liz	ENST00000433869	TCONS_00051214_liz	3.952	145.178
ENSG00000254485	XLOC_037981_liz	ENST00000491930	TCONS_00084664_liz	3.905	41.379
ENSG00000212694	XLOC_049035_liz	ENST00000541694	TCONS_00109217_liz	4.058	44.077
ENSG00000267395	XLOC_049533_liz	ENST00000590076	TCONS_00110334_liz	6.673	55.399
ENSG00000232093	XLOC_054764_liz	ENST00000452962	TCONS_00123156_liz	8.86	127.186
ENSG00000259605	XLOC_049534_liz	ENST00000592217	TCONS_00110339_liz	6.294	164.085
ENSG00000280023	XLOC_038276_liz	ENST00000624007	TCONS_00085193_liz	7.121	54.435
ENSG00000260790	XLOC_053573_liz	ENST00000568827	TCONS_00120117_liz	7.008	54.914
ENSG00000264451	XLOC_029625_liz	ENST00000579972	TCONS_00066756_liz	8.298	62.094
ENSG00000251249	XLOC_027103_liz	ENST00000515329	TCONS_00060602_liz	5.577	61.631
ENSG00000257178	XLOC_029628_liz	ENST00000548801	TCONS_00066768_liz	7.937	77.124
ENSG00000280269	XLOC_049943_liz	ENST00000624366	TCONS_00111230_liz	4.954	27.595
ENSG00000223774	XLOC_020982_liz	ENST00000414927	TCONS_00047054_liz	4.212	48.826
ENSG00000260032	XLOC_021047_liz	ENST00000565493	TCONS_00047252_liz	5.354	66.287
ENSG00000253552	XLOC_038125_liz	ENST00000518088	TCONS_00084941_liz	5.562	23.829
ENSG00000269941	XLOC_015328_liz	ENST00000602481	TCONS_00035007_liz	5.654	57.526
ENSG00000234327	XLOC_050448_liz	ENST00000623522	TCONS_00112307_liz	8.337	109.219
ENSG00000278901	XLOC_020212_liz	ENST00000625195	TCONS_00045164_liz	3.477	47.195
ENSG00000203327	XLOC_007208_liz	ENST00000366153	TCONS_00015890_liz	5.696	27.734
ENSG00000279361	XLOC_037204_liz	ENST00000623200	TCONS_00083088_liz	3.829	70.706
ENSG00000276272	XLOC_008651_liz	ENST00000610448	TCONS_00019822_liz	4.425	42.24
ENSG00000272821	XLOC_053491_liz	ENST00000608319	TCONS_00119944_liz	3.732	71.13
ENSG00000259453	XLOC_053825_liz	ENST00000558757	TCONS_00120747_liz	5.099	32.915
ENSG00000272506	XLOC_020500_liz	ENST00000607528	TCONS_00042497_liz	5.205	127.39
ENSG00000272729	XLOC_042742_liz	ENST00000608941	TCONS_00095209_liz	5.942	28.015
ENSG00000279425	XLOC_045689_liz	ENST00000623742	TCONS_00101633_liz	5.178	33.073
ENSG00000267882	XLOC_023247_liz	ENST00000599904	TCONS_00052090_liz	9.48	16.217
ENSG00000274425	XLOC_008475_liz	ENST00000612689	TCONS_00019373_liz	7.567	88.215
ENSG00000203999	XLOC_021136_liz	ENST00000371639	TCONS_00047450_liz	3.875	45.188
ENSG00000246582	XLOC_052572_liz	ENST00000500853	TCONS_00117514_liz	7.52	33.675
ENSG00000177340	XLOC_023561_liz	ENST00000313737	TCONS_00053172_liz	3.624	28.062
ENSG00000263709	XLOC_046506_liz	ENST00000582196	TCONS_00103281_liz	6.733	58.116
ENSG00000271858	XLOC_012765_liz	ENST00000607121	TCONS_00029250_liz	4.708	49.982
ENSG00000223576	XLOC_016065_liz	ENST00000422148	TCONS_00036413_liz	4.704	63.857
ENSG00000226510	XLOC_038548_liz	ENST00000443196	TCONS_00085918_liz	7.042	28.896
ENSG00000242659	XLOC_018686_liz	ENST00000492981	TCONS_00041555_liz	3.832	68.62
ENSG00000257702	XLOC_049678_liz	ENST00000548978	TCONS_00110703_liz	3.973	45.785
ENSG00000248954	XLOC_029625_liz	ENST00000515692	TCONS_00066756_liz	4.981	14.738
ENSG00000274833	XLOC_008796_liz	ENST00000611501	TCONS_00020275_liz	5.693	37.523
ENSG00000225399	XLOC_009570_liz	ENST00000440528	TCONS_00022180_liz	5.771	35.221
ENSG00000235908	XLOC_012699_liz	ENST00000428083	TCONS_00029129_liz	5.133	12.474
ENSG00000279861	XLOC_049417_liz	ENST00000624088	TCONS_00110097_liz	6.411	31.067
ENSG00000267049	XLOC_038219_liz	ENST00000589397	TCONS_00085090_liz	4.814	20.224
ENSG00000277007	XLOC_003321_liz	ENST00000612055	TCONS_00008040_liz	3.794	81.392
ENSG00000272906	XLOC_020081_liz	ENST00000610272	TCONS_00044905_liz	4.781	71.865
ENSG00000231485	XLOC_020500_liz	ENST00000448344	TCONS_00042497_liz	8.338	52.996
ENSG00000224888	XLOC_047377_liz	ENST00000567968	TCONS_00105247_liz	6.598	55.487
ENSG00000245869	XLOC_055149_liz	ENST00000498872	TCONS_00124255_liz	7.647	40.066
ENSG00000251615	XLOC_035563_liz	ENST00000505448	TCONS_00079398_liz	4.404	55.624
ENSG00000267278	XLOC_028300_liz	ENST00000585780	TCONS_00061256_liz	4.171	98.68
ENSG00000260949	XLOC_044737_liz	ENST00000563059	TCONS_00099438_liz	8.612	68.132
ENSG00000254586	XLOC_042670_liz	ENST00000524885	TCONS_00095032_liz	3.926	14.663
ENSG00000267874	XLOC_054608_liz	ENST00000601692	TCONS_00122748_liz	4.866	60.659
ENSG00000253390	XLOC_052572_liz	ENST00000521021	TCONS_00117516_liz	6.054	31.699
ENSG00000225978	XLOC_021211_liz	ENST00000433161	TCONS_00047632_liz	4.278	180.368
ENSG00000233429	XLOC_038125_liz	ENST00000425358	TCONS_00084942_liz	7.835	51.671
ENSG00000224152	XLOC_043648_liz	ENST00000418474	TCONS_00097107_liz	4.334	65.98
ENSG00000235560	XLOC_038380_liz	ENST00000457283	TCONS_00085417_liz	5.059	51.125
ENSG00000259031	XLOC_037856_liz	ENST00000553301	TCONS_00084372_liz	7.107	26.295
ENSG00000274292	XLOC_045337_liz	ENST00000613093	TCONS_00100627_liz	16.036	77.914
ENSG00000283128	XLOC_028668_liz	ENST00000636307	TCONS_00064539_liz	4.627	38.778
ENSG00000262877	XLOC_008775_liz	ENST00000571724	TCONS_00020221_liz	10.231	88.727
ENSG00000227516	XLOC_003177_liz	ENST00000417465	TCONS_00007722_liz	5.41	31.093
ENSG00000214894	XLOC_013400_liz	ENST00000399196	TCONS_00030520_liz	5.251	57.534
ENSG00000264920	XLOC_029603_liz	ENST00000580459	TCONS_00066711_liz	7.144	43.726
ENSG00000282977	XLOC_011472_liz	ENST00000634357	TCONS_00026355_liz	3.506	29.95
ENSG00000279655	XLOC_038124_liz	ENST00000624160	TCONS_00084932_liz	3.618	5.033
ENSG00000250999	XLOC_012559_liz	ENST00000514793	TCONS_00028739_liz	4.42	20.652
ENSG00000179818	XLOC_051285_liz	ENST00000628102	TCONS_00114509_liz	4.598	33.356
ENSG00000270118	XLOC_038380_liz	ENST00000602838	TCONS_00085415_liz	5.433	36.747
ENSG00000256540	XLOC_023598_liz	ENST00000537961	TCONS_00053299_liz	8.202	46.699
