human gene	frog gene	human transcript	frog transcript	motif-pattern similarity score	gap penalty score
ENSG00000234608	XLOC_000422_frg	ENST00000442119	TCONS_00001496_frg	5.574	71.874
ENSG00000279833	XLOC_013082_frg	ENST00000624656	TCONS_00041751_frg	4.946	44.77
ENSG00000269898	XLOC_010966_frg	ENST00000602789	TCONS_00034779_frg	6.652	56.777
ENSG00000260148	XLOC_010811_frg	ENST00000565829	TCONS_00034401_frg	3.315	35.562
ENSG00000215424	XLOC_025280_frg	ENST00000590829	TCONS_00080676_frg	3.314	26.16
ENSG00000239911	XLOC_018534_frg	ENST00000467458	TCONS_00058569_frg	5.822	42.042
ENSG00000235236	XLOC_013527_frg	ENST00000415982	TCONS_00043167_frg	4	29.473
ENSG00000254369	XLOC_018289_frg	ENST00000518848	TCONS_00057833_frg	4.274	29.077
ENSG00000188477	XLOC_025462_frg	ENST00000468219	TCONS_00081233_frg	4.278	95.034
ENSG00000224152	XLOC_024932_frg	ENST00000418474	TCONS_00079528_frg	4.471	28.192
ENSG00000163597	XLOC_027864_frg	ENST00000587743	TCONS_00089231_frg	7.123	41.633
ENSG00000273891	XLOC_020373_frg	ENST00000620490	TCONS_00064624_frg	6.222	141.555
ENSG00000260566	XLOC_026714_frg	ENST00000563129	TCONS_00085304_frg	4.793	41.09
ENSG00000275120	XLOC_034867_frg	ENST00000618330	TCONS_00110425_frg	3.804	26.091
ENSG00000255537	XLOC_019451_frg	ENST00000527818	TCONS_00061752_frg	3.435	29.917
ENSG00000229854	XLOC_022971_frg	ENST00000434375	TCONS_00073157_frg	6.874	66.879
ENSG00000231057	XLOC_013469_frg	ENST00000421933	TCONS_00043014_frg	4.634	48.708
ENSG00000273356	XLOC_011823_frg	ENST00000608605	TCONS_00037576_frg	6.563	38.28
ENSG00000260942	XLOC_025136_frg	ENST00000567819	TCONS_00080171_frg	5.883	52.884
ENSG00000248242	XLOC_001699_frg	ENST00000515127	TCONS_00005392_frg	4.87	17.292
ENSG00000263718	XLOC_027140_frg	ENST00000582422	TCONS_00087088_frg	5.807	61.68
ENSG00000279925	XLOC_002642_frg	ENST00000625111	TCONS_00008240_frg	3.911	12.793
ENSG00000275741	XLOC_005345_frg	ENST00000615635	TCONS_00017032_frg	3.753	122.464
ENSG00000205500	XLOC_016132_frg	ENST00000380387	TCONS_00051589_frg	7.64	36.623
ENSG00000276791	XLOC_026772_frg	ENST00000621230	TCONS_00085591_frg	6.487	53.628
ENSG00000258858	XLOC_024077_frg	ENST00000555524	TCONS_00076591_frg	8.981	35.198
ENSG00000226913	XLOC_011881_frg	ENST00000421598	TCONS_00037715_frg	8.653	16.956
ENSG00000257252	XLOC_009698_frg	ENST00000552835	TCONS_00031261_frg	4.395	9.354
ENSG00000228274	XLOC_011470_frg	ENST00000422408	TCONS_00036467_frg	5.906	35.756
ENSG00000214293	XLOC_009878_frg	ENST00000440088	TCONS_00031986_frg	11.779	78.044
ENSG00000234912	XLOC_027858_frg	ENST00000566583	TCONS_00089203_frg	5.587	77.623
ENSG00000268895	XLOC_013065_frg	ENST00000595302	TCONS_00041649_frg	6.088	71.185
ENSG00000204283	XLOC_027140_frg	ENST00000374983	TCONS_00087088_frg	12.578	32.464
ENSG00000269825	XLOC_033233_frg	ENST00000598322	TCONS_00106644_frg	5.956	31.166
ENSG00000254907	XLOC_012296_frg	ENST00000526220	TCONS_00039196_frg	4.229	49.386
ENSG00000282057	XLOC_011258_frg	ENST00000498304	TCONS_00035657_frg	5.935	20.611
ENSG00000255571	XLOC_009164_frg	ENST00000536780	TCONS_00029544_frg	6.303	102.753
ENSG00000268499	XLOC_022318_frg	ENST00000598146	TCONS_00071081_frg	5.805	51.97
ENSG00000233611	XLOC_025271_frg	ENST00000415226	TCONS_00080579_frg	5.318	21.76
ENSG00000225903	XLOC_006173_frg	ENST00000424418	TCONS_00019332_frg	4.474	54.411
ENSG00000235499	XLOC_009053_frg	ENST00000441217	TCONS_00029140_frg	4.465	39.389
ENSG00000277147	XLOC_022912_frg	ENST00000610297	TCONS_00073034_frg	3.519	44.37
ENSG00000266990	XLOC_003587_frg	ENST00000588380	TCONS_00011171_frg	8.538	52.899
ENSG00000272720	XLOC_013091_frg	ENST00000609162	TCONS_00041799_frg	4.337	47.087
ENSG00000228288	XLOC_002897_frg	ENST00000417262	TCONS_00009265_frg	5.599	56.021
ENSG00000252690	XLOC_009113_frg	ENST00000607520	TCONS_00029377_frg	4.613	38.62
ENSG00000267665	XLOC_027856_frg	ENST00000592572	TCONS_00089197_frg	5.558	74.939
ENSG00000229498	XLOC_002146_frg	ENST00000366278	TCONS_00006817_frg	5.002	36.927
ENSG00000273391	XLOC_032539_frg	ENST00000608266	TCONS_00104633_frg	3.741	25.353
ENSG00000184608	XLOC_015991_frg	ENST00000533578	TCONS_00051067_frg	5.546	29.151
ENSG00000269935	XLOC_009510_frg	ENST00000602388	TCONS_00030714_frg	4.662	226.291
ENSG00000260448	XLOC_025589_frg	ENST00000563962	TCONS_00081596_frg	7.66	40.694
ENSG00000179818	XLOC_019000_frg	ENST00000628102	TCONS_00060455_frg	3.743	40.62
ENSG00000265800	XLOC_027174_frg	ENST00000584339	TCONS_00087228_frg	5.442	96.022
ENSG00000229191	XLOC_031032_frg	ENST00000458003	TCONS_00099735_frg	5.072	33.445
ENSG00000232283	XLOC_003229_frg	ENST00000448857	TCONS_00010056_frg	4.602	37.55
ENSG00000260231	XLOC_007602_frg	ENST00000566699	TCONS_00024497_frg	5.119	38.556
ENSG00000229807	XLOC_020191_frg	ENST00000434839	TCONS_00064155_frg	4.456	17.123
ENSG00000223534	XLOC_022303_frg	ENST00000419852	TCONS_00071034_frg	4.399	50.907
ENSG00000196756	XLOC_027260_frg	ENST00000449469	TCONS_00087512_frg	4.001	17.854
ENSG00000223525	XLOC_011727_frg	ENST00000414890	TCONS_00037259_frg	6.525	63.206
ENSG00000223774	XLOC_000915_frg	ENST00000414927	TCONS_00003067_frg	5.115	36.878
ENSG00000261334	XLOC_021672_frg	ENST00000565882	TCONS_00069185_frg	6.114	75.299
ENSG00000269939	XLOC_007340_frg	ENST00000602322	TCONS_00023308_frg	5.973	18.184
ENSG00000255468	XLOC_012815_frg	ENST00000580881	TCONS_00040744_frg	6.333	37.597
ENSG00000279180	XLOC_002693_frg	ENST00000624053	TCONS_00008541_frg	6.569	53.158
ENSG00000235888	XLOC_005680_frg	ENST00000417335	TCONS_00017931_frg	3.558	52.817
ENSG00000246851	XLOC_023044_frg	ENST00000502188	TCONS_00073411_frg	5.308	53.301
ENSG00000226137	XLOC_021379_frg	ENST00000573167	TCONS_00068104_frg	8.362	24.754
ENSG00000225506	XLOC_013272_frg	ENST00000444042	TCONS_00042360_frg	8.156	79.768
ENSG00000255092	XLOC_012302_frg	ENST00000532524	TCONS_00039220_frg	4.595	21.92
ENSG00000231265	XLOC_027311_frg	ENST00000431460	TCONS_00087678_frg	4.498	45.138
ENSG00000235295	XLOC_008879_frg	ENST00000443243	TCONS_00028499_frg	8.773	23.317
ENSG00000264808	XLOC_004738_frg	ENST00000577218	TCONS_00015133_frg	7.913	32.129
ENSG00000259082	XLOC_022590_frg	ENST00000555725	TCONS_00071993_frg	4	6.658
ENSG00000235897	XLOC_014897_frg	ENST00000452051	TCONS_00047815_frg	4.344	39.029
ENSG00000267432	XLOC_027147_frg	ENST00000588565	TCONS_00087123_frg	3.81	31.237
ENSG00000275265	XLOC_000444_frg	ENST00000619123	TCONS_00001558_frg	4.567	99.74
ENSG00000272477	XLOC_016949_frg	ENST00000607148	TCONS_00053909_frg	4.43	23.942
ENSG00000272483	XLOC_011908_frg	ENST00000606330	TCONS_00037760_frg	4.129	30.802
ENSG00000258727	XLOC_001011_frg	ENST00000555968	TCONS_00003292_frg	6.989	47.191
ENSG00000280138	XLOC_002666_frg	ENST00000623210	TCONS_00008354_frg	8.984	16.869
ENSG00000268388	XLOC_010966_frg	ENST00000597578	TCONS_00034780_frg	8.177	54.545
ENSG00000259219	XLOC_009208_frg	ENST00000559400	TCONS_00029662_frg	5.406	38.678
ENSG00000269937	XLOC_025444_frg	ENST00000569852	TCONS_00081200_frg	5.052	23.503
ENSG00000207955	XLOC_023082_frg	ENST00000608502	TCONS_00073611_frg	3.761	41.773
ENSG00000257176	XLOC_030368_frg	ENST00000553105	TCONS_00097202_frg	3.747	32.047
ENSG00000260005	XLOC_021362_frg	ENST00000575922	TCONS_00068049_frg	4.949	254.921
ENSG00000236437	XLOC_020916_frg	ENST00000452629	TCONS_00066515_frg	4.434	11.662
ENSG00000226872	XLOC_032877_frg	ENST00000450652	TCONS_00105606_frg	4.199	66.598
ENSG00000267213	XLOC_012517_frg	ENST00000592680	TCONS_00039885_frg	8.998	64.207
ENSG00000268798	XLOC_001585_frg	ENST00000594262	TCONS_00005013_frg	6.246	60.106
ENSG00000259004	XLOC_022581_frg	ENST00000557121	TCONS_00071967_frg	4.065	28.544
ENSG00000269504	XLOC_032468_frg	ENST00000596778	TCONS_00104433_frg	4.11	86.042
ENSG00000242207	XLOC_027616_frg	ENST00000480386	TCONS_00088513_frg	3.876	26.749
ENSG00000248019	XLOC_001671_frg	ENST00000500765	TCONS_00005298_frg	4.02	54.585
ENSG00000214999	XLOC_029980_frg	ENST00000399413	TCONS_00096463_frg	8.785	53.184
ENSG00000249429	XLOC_008316_frg	ENST00000340585	TCONS_00026697_frg	6.487	29.294
ENSG00000225969	XLOC_004884_frg	ENST00000427153	TCONS_00015600_frg	9.494	95.585
ENSG00000245261	XLOC_014840_frg	ENST00000500590	TCONS_00047563_frg	5.044	80.732
ENSG00000260565	XLOC_026746_frg	ENST00000568395	TCONS_00085408_frg	5.692	56.782
ENSG00000093100	XLOC_008892_frg	ENST00000476405	TCONS_00028551_frg	7.735	101.828
ENSG00000258301	XLOC_023858_frg	ENST00000556072	TCONS_00075840_frg	4.118	26.589
ENSG00000262585	XLOC_009294_frg	ENST00000576738	TCONS_00029974_frg	3.372	27.282
ENSG00000271869	XLOC_003736_frg	ENST00000607315	TCONS_00011626_frg	3.47	41.609
ENSG00000248019	XLOC_001672_frg	ENST00000500765	TCONS_00005321_frg	3.932	26.319
ENSG00000272720	XLOC_013094_frg	ENST00000609162	TCONS_00041805_frg	6.779	29.476
ENSG00000259291	XLOC_007950_frg	ENST00000558334	TCONS_00025598_frg	5.091	11.018
ENSG00000223403	XLOC_022581_frg	ENST00000429368	TCONS_00071967_frg	7.477	37.172
ENSG00000233061	XLOC_011532_frg	ENST00000455929	TCONS_00036642_frg	4.053	60.448
ENSG00000214548	XLOC_022581_frg	ENST00000522771	TCONS_00071967_frg	6.131	67.342
ENSG00000260156	XLOC_013412_frg	ENST00000567186	TCONS_00042831_frg	3.878	47.82
ENSG00000256577	XLOC_008081_frg	ENST00000539568	TCONS_00025996_frg	5.419	53.824
ENSG00000249241	XLOC_003488_frg	ENST00000510551	TCONS_00010849_frg	7.829	18.876
ENSG00000244675	XLOC_014971_frg	ENST00000455557	TCONS_00048075_frg	7.651	40.875
ENSG00000224729	XLOC_030032_frg	ENST00000442166	TCONS_00096580_frg	4.768	42.847
ENSG00000130600	XLOC_012354_frg	ENST00000431095	TCONS_00039398_frg	5.172	60.41
ENSG00000237775	XLOC_023464_frg	ENST00000458361	TCONS_00074913_frg	10.958	23.614
ENSG00000261578	XLOC_005822_frg	ENST00000566747	TCONS_00018119_frg	4.107	62.147
ENSG00000267458	XLOC_029219_frg	ENST00000589120	TCONS_00094133_frg	4.064	7.314
ENSG00000263167	XLOC_021361_frg	ENST00000570413	TCONS_00068048_frg	6.109	61.396
ENSG00000214353	XLOC_013410_frg	ENST00000562507	TCONS_00042820_frg	5.95	59.611
ENSG00000267395	XLOC_022145_frg	ENST00000590076	TCONS_00070782_frg	6.783	49.49
ENSG00000267152	XLOC_023967_frg	ENST00000588040	TCONS_00076223_frg	3.738	18.628
ENSG00000262877	XLOC_021372_frg	ENST00000571724	TCONS_00068079_frg	5.715	36.613
ENSG00000239552	XLOC_028263_frg	ENST00000464382	TCONS_00090624_frg	8.589	65.864
ENSG00000267278	XLOC_027361_frg	ENST00000586450	TCONS_00087827_frg	5.154	19.251
ENSG00000280217	XLOC_000492_frg	ENST00000623628	TCONS_00001719_frg	4.902	30.588
ENSG00000223714	XLOC_004916_frg	ENST00000452501	TCONS_00015676_frg	7.41	58.936
ENSG00000231551	XLOC_027049_frg	ENST00000445243	TCONS_00086551_frg	4.863	16.785
ENSG00000255571	XLOC_009168_frg	ENST00000561327	TCONS_00029553_frg	5.838	26.239
ENSG00000260145	XLOC_010811_frg	ENST00000562970	TCONS_00034401_frg	4.947	37.199
ENSG00000262313	XLOC_020024_frg	ENST00000576032	TCONS_00063669_frg	3.677	24.326
ENSG00000273247	XLOC_003928_frg	ENST00000608661	TCONS_00012261_frg	5.497	17.697
ENSG00000237879	XLOC_007070_frg	ENST00000414407	TCONS_00022503_frg	5.555	52.26
ENSG00000249096	XLOC_004024_frg	ENST00000617323	TCONS_00012587_frg	4.387	85.83
ENSG00000226629	XLOC_028359_frg	ENST00000456403	TCONS_00090898_frg	11.476	23.218
ENSG00000198468	XLOC_015847_frg	ENST00000356684	TCONS_00050398_frg	6.582	24.672
ENSG00000277182	XLOC_027636_frg	ENST00000610658	TCONS_00088572_frg	4.987	40.403
ENSG00000245468	XLOC_004145_frg	ENST00000499242	TCONS_00013020_frg	4.959	27.06
ENSG00000262413	XLOC_021372_frg	ENST00000576021	TCONS_00068079_frg	7.364	55.681
ENSG00000261771	XLOC_009255_frg	ENST00000565113	TCONS_00029809_frg	9.365	60.521
ENSG00000245385	XLOC_019517_frg	ENST00000501918	TCONS_00062003_frg	5.549	24.107
ENSG00000235875	XLOC_006993_frg	ENST00000425094	TCONS_00022255_frg	4.181	61.99
ENSG00000266980	XLOC_027168_frg	ENST00000586808	TCONS_00087213_frg	6.108	13.26
ENSG00000261043	XLOC_019347_frg	ENST00000561777	TCONS_00061394_frg	5.067	67.08
ENSG00000222000	XLOC_004988_frg	ENST00000467398	TCONS_00015887_frg	5.281	82.756
ENSG00000230174	XLOC_022056_frg	ENST00000430364	TCONS_00070547_frg	5.982	40.18
ENSG00000279220	XLOC_026180_frg	ENST00000623040	TCONS_00083611_frg	6.324	65.521
ENSG00000246582	XLOC_008949_frg	ENST00000500853	TCONS_00028799_frg	5.739	31.762
ENSG00000260219	XLOC_030945_frg	ENST00000563252	TCONS_00099502_frg	5.557	49.361
ENSG00000213888	XLOC_002767_frg	ENST00000504184	TCONS_00008814_frg	5.354	66.17
ENSG00000263218	XLOC_020024_frg	ENST00000576215	TCONS_00063669_frg	3.889	47.005
ENSG00000258057	XLOC_006742_frg	ENST00000548872	TCONS_00021372_frg	3.96	157.678
ENSG00000260121	XLOC_010943_frg	ENST00000564984	TCONS_00034721_frg	6.509	52.182
ENSG00000272702	XLOC_018807_frg	ENST00000608612	TCONS_00059790_frg	4.862	12.097
ENSG00000233427	XLOC_004418_frg	ENST00000418471	TCONS_00014129_frg	6.696	74.968
ENSG00000279187	XLOC_021360_frg	ENST00000624065	TCONS_00068032_frg	6.727	31.645
ENSG00000261467	XLOC_004885_frg	ENST00000567919	TCONS_00015603_frg	10.886	50.943
ENSG00000214894	XLOC_023472_frg	ENST00000399196	TCONS_00074941_frg	3.416	42.194
ENSG00000267288	XLOC_028074_frg	ENST00000589796	TCONS_00089979_frg	3.144	61.882
ENSG00000227543	XLOC_004738_frg	ENST00000554154	TCONS_00015133_frg	4.856	32.738
ENSG00000249743	XLOC_001167_frg	ENST00000427584	TCONS_00003798_frg	3.519	32.427
ENSG00000214548	XLOC_022581_frg	ENST00000455531	TCONS_00071969_frg	8.454	68.704
ENSG00000279488	XLOC_003593_frg	ENST00000624592	TCONS_00011185_frg	4.182	29.572
ENSG00000229848	XLOC_021360_frg	ENST00000442532	TCONS_00068032_frg	5.804	64.406
ENSG00000230084	XLOC_017310_frg	ENST00000445452	TCONS_00055114_frg	6.896	85.98
ENSG00000224090	XLOC_025982_frg	ENST00000441450	TCONS_00082902_frg	4.306	43.301
ENSG00000279604	XLOC_010966_frg	ENST00000624955	TCONS_00034780_frg	5.259	27.417
ENSG00000264019	XLOC_027616_frg	ENST00000582142	TCONS_00088521_frg	4.234	31.718
ENSG00000260492	XLOC_006892_frg	ENST00000570015	TCONS_00021910_frg	3.38	49.736
ENSG00000267353	XLOC_019986_frg	ENST00000588717	TCONS_00063561_frg	4.779	47.233
ENSG00000236098	XLOC_011216_frg	ENST00000414039	TCONS_00035554_frg	5.118	35.04
ENSG00000267512	XLOC_029231_frg	ENST00000591825	TCONS_00094188_frg	5.014	53.049
ENSG00000255135	XLOC_007478_frg	ENST00000530759	TCONS_00023773_frg	4.166	61.616
ENSG00000273137	XLOC_009968_frg	ENST00000608016	TCONS_00032300_frg	4.753	99.279
ENSG00000229196	XLOC_009957_frg	ENST00000470348	TCONS_00032267_frg	3.962	39.906
ENSG00000259623	XLOC_028366_frg	ENST00000560400	TCONS_00090916_frg	4.951	82.116
ENSG00000224397	XLOC_028025_frg	ENST00000622604	TCONS_00089832_frg	4.751	22.5
ENSG00000237101	XLOC_015741_frg	ENST00000420350	TCONS_00050193_frg	3.608	7.55
ENSG00000275830	XLOC_006990_frg	ENST00000614099	TCONS_00022244_frg	4.91	33.514
ENSG00000261663	XLOC_025546_frg	ENST00000565709	TCONS_00081478_frg	8.751	36.379
ENSG00000168367	XLOC_010966_frg	ENST00000594203	TCONS_00034780_frg	12.207	60.044
ENSG00000275936	XLOC_002774_frg	ENST00000617183	TCONS_00008853_frg	3.126	24.993
ENSG00000263412	XLOC_027615_frg	ENST00000578660	TCONS_00088509_frg	4.531	95.255
ENSG00000264769	XLOC_020035_frg	ENST00000580897	TCONS_00063713_frg	4.147	107.04
ENSG00000249604	XLOC_003859_frg	ENST00000512428	TCONS_00012059_frg	3.969	36.476
ENSG00000259895	XLOC_025606_frg	ENST00000563775	TCONS_00081710_frg	3.976	62.151
ENSG00000274292	XLOC_000441_frg	ENST00000613093	TCONS_00001545_frg	8.678	54.556
ENSG00000250748	XLOC_009720_frg	ENST00000355869	TCONS_00031366_frg	5.378	35.067
ENSG00000224730	XLOC_019815_frg	ENST00000456337	TCONS_00063044_frg	4.546	72.585
ENSG00000278239	XLOC_023946_frg	ENST00000614316	TCONS_00076160_frg	6.995	30.183
ENSG00000229950	XLOC_016648_frg	ENST00000443546	TCONS_00053078_frg	5.032	86.264
ENSG00000179219	XLOC_010966_frg	ENST00000366314	TCONS_00034779_frg	8.475	57.544
ENSG00000280039	XLOC_025544_frg	ENST00000625159	TCONS_00081468_frg	5.369	40.015
ENSG00000231327	XLOC_018996_frg	ENST00000414141	TCONS_00060419_frg	5.302	47.476
ENSG00000234476	XLOC_015894_frg	ENST00000428642	TCONS_00050507_frg	8.664	35.912
ENSG00000254614	XLOC_011129_frg	ENST00000526623	TCONS_00035281_frg	5.362	32.462
ENSG00000224307	XLOC_023079_frg	ENST00000455981	TCONS_00073545_frg	4.807	29.36
ENSG00000261055	XLOC_002984_frg	ENST00000565955	TCONS_00009463_frg	3.669	4.69
ENSG00000235475	XLOC_004772_frg	ENST00000430244	TCONS_00015240_frg	4.824	11.124
ENSG00000259555	XLOC_009068_frg	ENST00000559120	TCONS_00029183_frg	6.901	34.532
ENSG00000226416	XLOC_012353_frg	ENST00000419080	TCONS_00039391_frg	5.489	59.801
ENSG00000259438	XLOC_009241_frg	ENST00000561318	TCONS_00029764_frg	4.334	14.361
ENSG00000222043	XLOC_026138_frg	ENST00000428541	TCONS_00083460_frg	6.35	33.499
ENSG00000235527	XLOC_000931_frg	ENST00000450706	TCONS_00003112_frg	3.773	52.096
ENSG00000263278	XLOC_027355_frg	ENST00000611949	TCONS_00087776_frg	8.124	30.7
ENSG00000225733	XLOC_013568_frg	ENST00000417835	TCONS_00043305_frg	4.885	124.574
ENSG00000224635	XLOC_027257_frg	ENST00000422519	TCONS_00087471_frg	5.811	22.847
ENSG00000229989	XLOC_011285_frg	ENST00000436880	TCONS_00035740_frg	8.749	90.802
ENSG00000274460	XLOC_032054_frg	ENST00000616774	TCONS_00103154_frg	3.496	39.522
ENSG00000274828	XLOC_016578_frg	ENST00000616428	TCONS_00052860_frg	4.115	50.264
ENSG00000234921	XLOC_023176_frg	ENST00000429482	TCONS_00073944_frg	3.684	30.418
ENSG00000253390	XLOC_008951_frg	ENST00000521021	TCONS_00028810_frg	5.213	25.42
ENSG00000263859	XLOC_021379_frg	ENST00000579981	TCONS_00068104_frg	4.419	40.488
ENSG00000264589	XLOC_028107_frg	ENST00000579599	TCONS_00090092_frg	4.332	43.078
ENSG00000272345	XLOC_017874_frg	ENST00000607014	TCONS_00056747_frg	4.469	23.543
ENSG00000259307	XLOC_022806_frg	ENST00000559520	TCONS_00072737_frg	7.718	43.649
ENSG00000267065	XLOC_027858_frg	ENST00000585863	TCONS_00089208_frg	6.696	20.142
ENSG00000204650	XLOC_027389_frg	ENST00000591271	TCONS_00087949_frg	4.523	42.036
ENSG00000283341	XLOC_010655_frg	ENST00000636894	TCONS_00033954_frg	8.317	31.768
ENSG00000273093	XLOC_011281_frg	ENST00000608159	TCONS_00035728_frg	4.468	18.283
ENSG00000269148	XLOC_022145_frg	ENST00000601618	TCONS_00070782_frg	8.587	52.434
ENSG00000280132	XLOC_030945_frg	ENST00000622954	TCONS_00099502_frg	3.818	45.362
ENSG00000236304	XLOC_007378_frg	ENST00000447519	TCONS_00023463_frg	5.228	39.776
ENSG00000224397	XLOC_028014_frg	ENST00000425497	TCONS_00089765_frg	5.869	40.363
ENSG00000279954	XLOC_007564_frg	ENST00000623717	TCONS_00024057_frg	6.502	52.456
ENSG00000267080	XLOC_027364_frg	ENST00000592897	TCONS_00087856_frg	5.066	10.611
ENSG00000278901	XLOC_008185_frg	ENST00000625195	TCONS_00026331_frg	9.494	33.957
ENSG00000254369	XLOC_016976_frg	ENST00000518947	TCONS_00053987_frg	7.867	40.939
ENSG00000274565	XLOC_027389_frg	ENST00000611274	TCONS_00087950_frg	8.9	44.67
ENSG00000264548	XLOC_021376_frg	ENST00000581303	TCONS_00068098_frg	9.335	20.818
ENSG00000280122	XLOC_027156_frg	ENST00000625040	TCONS_00087152_frg	7.749	113.372
ENSG00000280758	XLOC_021694_frg	ENST00000630523	TCONS_00069289_frg	7.2	34.316
ENSG00000256742	XLOC_000441_frg	ENST00000541574	TCONS_00001545_frg	3.743	75.229
ENSG00000281649	XLOC_003390_frg	ENST00000625445	TCONS_00010595_frg	3.966	27.773
ENSG00000236754	XLOC_008081_frg	ENST00000611039	TCONS_00025995_frg	7.277	56.258
ENSG00000232593	XLOC_013716_frg	ENST00000604062	TCONS_00043729_frg	3.088	39.724
ENSG00000275888	XLOC_021379_frg	ENST00000620937	TCONS_00068103_frg	4.439	30.121
ENSG00000279160	XLOC_026145_frg	ENST00000623777	TCONS_00083492_frg	5.064	36.111
ENSG00000225174	XLOC_014131_frg	ENST00000441184	TCONS_00045420_frg	5.54	42.518
ENSG00000257605	XLOC_006889_frg	ENST00000550263	TCONS_00021905_frg	4.528	171.318
ENSG00000267285	XLOC_008892_frg	ENST00000537181	TCONS_00028550_frg	3.877	36.023
ENSG00000279692	XLOC_021367_frg	ENST00000624417	TCONS_00068054_frg	5.306	113.133
ENSG00000279821	XLOC_008426_frg	ENST00000623593	TCONS_00027030_frg	10.087	49.617
ENSG00000274272	XLOC_030770_frg	ENST00000485071	TCONS_00098939_frg	8.995	275.919
ENSG00000225929	XLOC_009970_frg	ENST00000449652	TCONS_00032315_frg	5.242	40.443
ENSG00000254501	XLOC_012434_frg	ENST00000528887	TCONS_00039630_frg	5.602	45.021
ENSG00000259456	XLOC_028025_frg	ENST00000558899	TCONS_00089832_frg	4.526	19.987
ENSG00000229893	XLOC_016976_frg	ENST00000441955	TCONS_00053987_frg	6.483	51.415
ENSG00000248508	XLOC_022802_frg	ENST00000504245	TCONS_00072715_frg	4.896	61.816
ENSG00000233427	XLOC_004418_frg	ENST00000418471	TCONS_00014129_frg	4.203	41.331
ENSG00000224635	XLOC_027254_frg	ENST00000422519	TCONS_00087463_frg	5.902	39.646
ENSG00000229971	XLOC_013106_frg	ENST00000433970	TCONS_00041832_frg	5.56	29.387
ENSG00000280061	XLOC_010871_frg	ENST00000623331	TCONS_00034553_frg	4.547	40.14
ENSG00000276259	XLOC_011771_frg	ENST00000622896	TCONS_00037439_frg	5.931	55.107
ENSG00000253200	XLOC_007736_frg	ENST00000521025	TCONS_00024897_frg	5.004	49.035
ENSG00000240801	XLOC_012354_frg	ENST00000430034	TCONS_00039398_frg	3.988	40.339
ENSG00000267395	XLOC_023529_frg	ENST00000586251	TCONS_00075146_frg	6.504	26.867
ENSG00000279801	XLOC_027869_frg	ENST00000624282	TCONS_00089238_frg	6.599	45.793
ENSG00000263843	XLOC_027892_frg	ENST00000585075	TCONS_00089336_frg	4.619	102.799
ENSG00000263110	XLOC_012490_frg	ENST00000573819	TCONS_00039823_frg	7.866	100.945
ENSG00000275557	XLOC_022912_frg	ENST00000617712	TCONS_00073033_frg	3.816	28.665
ENSG00000233429	XLOC_018286_frg	ENST00000429611	TCONS_00057828_frg	6.116	58.017
ENSG00000248550	XLOC_024134_frg	ENST00000534909	TCONS_00076792_frg	6.054	74.032
ENSG00000267505	XLOC_027389_frg	ENST00000585620	TCONS_00087949_frg	4.676	82.467
ENSG00000275389	XLOC_004894_frg	ENST00000621669	TCONS_00015644_frg	10.165	24.04
ENSG00000237187	XLOC_000362_frg	ENST00000513055	TCONS_00001286_frg	3.789	29.331
ENSG00000205913	XLOC_026767_frg	ENST00000571305	TCONS_00085527_frg	5.154	62.731
ENSG00000277186	XLOC_002710_frg	ENST00000613771	TCONS_00008609_frg	4.496	30.36
ENSG00000279759	XLOC_022458_frg	ENST00000622968	TCONS_00071520_frg	8.067	34.415
ENSG00000267535	XLOC_027128_frg	ENST00000589914	TCONS_00087054_frg	5.412	55.447
ENSG00000255928	XLOC_005834_frg	ENST00000538624	TCONS_00018152_frg	4.582	29.958
ENSG00000279785	XLOC_000492_frg	ENST00000624570	TCONS_00001719_frg	7.037	43.111
ENSG00000264647	XLOC_004730_frg	ENST00000584986	TCONS_00015087_frg	5.158	75.581
ENSG00000259037	XLOC_024077_frg	ENST00000556073	TCONS_00076591_frg	6.4	18.685
ENSG00000226791	XLOC_004981_frg	ENST00000623301	TCONS_00015863_frg	3.701	83.483
ENSG00000259831	XLOC_006990_frg	ENST00000569854	TCONS_00022244_frg	7.235	97.556
ENSG00000273618	XLOC_003186_frg	ENST00000622438	TCONS_00009941_frg	6.953	38.011
ENSG00000225206	XLOC_012840_frg	ENST00000602852	TCONS_00040829_frg	7.821	70.81
ENSG00000267122	XLOC_003551_frg	ENST00000585593	TCONS_00011057_frg	4.675	28.892
ENSG00000267898	XLOC_019918_frg	ENST00000594305	TCONS_00063383_frg	4.361	155.343
ENSG00000267892	XLOC_023970_frg	ENST00000602255	TCONS_00076237_frg	4.844	214.218
ENSG00000268199	XLOC_001497_frg	ENST00000594590	TCONS_00004746_frg	3.729	43.023
ENSG00000251173	XLOC_002006_frg	ENST00000510073	TCONS_00006372_frg	3.882	48.294
ENSG00000263218	XLOC_021372_frg	ENST00000576215	TCONS_00068080_frg	5.329	1318.08
ENSG00000205622	XLOC_005680_frg	ENST00000380931	TCONS_00017931_frg	5.128	29.563
ENSG00000258670	XLOC_022661_frg	ENST00000557618	TCONS_00072242_frg	6.073	52.779
ENSG00000218416	XLOC_025137_frg	ENST00000538012	TCONS_00080180_frg	4.241	65.716
ENSG00000234327	XLOC_004775_frg	ENST00000623522	TCONS_00015251_frg	6.619	56.355
